GEN,reach,cum.phi,cum.phi.se,LCI,UCI,group,release,mean_rel_date,GenRKM,GenLat,GenLon,Region,Survival estimate (SE),reach_num,count,release_site
NF_Battle_Creek_Rel,0.5,1,0,0,0,1,2021-03-09_NF_Battle_Creek_Rel,2021-03-09,536.184,40.42459,-121.987305,Battle Ck,1 (NA),0.5,600,NF_Battle_Creek_Rel
MSBC_Baldwin_Pool,1,0.856,0.014,0.82,0.88,1,2021-03-09_NF_Battle_Creek_Rel,2021-03-09,533.305,40.426414,-122.010475,Battle Ck,0.856 (0.014),1,513,NF_Battle_Creek_Rel
MSBC_Intake2,2,0.595,0.02,0.56,0.63,1,2021-03-09_NF_Battle_Creek_Rel,2021-03-09,519.645,40.40305,-122.12544,Battle Ck,0.595 (0.02),2,356,NF_Battle_Creek_Rel
MSBC_OldHatch,3,0.418,0.02,0.38,0.46,1,2021-03-09_NF_Battle_Creek_Rel,2021-03-09,511.454,40.38434,-122.17876,Battle Ck,0.418 (0.02),3,251,NF_Battle_Creek_Rel
Blw_Paynes_Ck,4,0.305,0.019,0.27,0.34,1,2021-03-09_NF_Battle_Creek_Rel,2021-03-09,476.278,40.25534,-122.17332,Upper Sac R,0.305 (0.019),4,183,NF_Battle_Creek_Rel
Altube,5,0.293,0.019,0.26,0.33,1,2021-03-09_NF_Battle_Creek_Rel,2021-03-09,460.4,40.15348,-122.1887,Upper Sac R,0.293 (0.019),5,176,NF_Battle_Creek_Rel
Mill_Ck_Conf,6,0.272,0.018,0.24,0.31,1,2021-03-09_NF_Battle_Creek_Rel,2021-03-09,441.318,40.0327,-122.11987,Upper Sac R,0.272 (0.018),6,163,NF_Battle_Creek_Rel
Abv_WoodsonBr,7,0.235,0.017,0.2,0.27,1,2021-03-09_NF_Battle_Creek_Rel,2021-03-09,425.158,39.920094,-122.08446000000001,Upper Sac R,0.235 (0.017),7,139,NF_Battle_Creek_Rel
GCID,8,0.17,0.015,0.14,0.2,1,2021-03-09_NF_Battle_Creek_Rel,2021-03-09,404.9413333333333,39.796839,-122.049394,Upper Sac R,0.17 (0.015),8,102,NF_Battle_Creek_Rel
Blw_IrvineFinch,9,0.147,0.014,0.12,0.18,1,2021-03-09_NF_Battle_Creek_Rel,2021-03-09,394.668,39.73146,-121.97483,Upper Sac R,0.147 (0.014),9,88,NF_Battle_Creek_Rel
Ord,10,0.125,0.014,0.1,0.15,1,2021-03-09_NF_Battle_Creek_Rel,2021-03-09,371.658,39.63447,-121.98959,Upper Sac R,0.125 (0.014),10,75,NF_Battle_Creek_Rel
BlwOrd,11,0.117,0.013,0.09,0.14,1,2021-03-09_NF_Battle_Creek_Rel,2021-03-09,361.728,39.56548,-122.0018,Upper Sac R,0.117 (0.013),11,70,NF_Battle_Creek_Rel
ButteBr,12,0.102,0.012,0.08,0.13,1,2021-03-09_NF_Battle_Creek_Rel,2021-03-09,344.108,39.4569,-121.995,Lower Sac R,0.102 (0.012),12,57,NF_Battle_Creek_Rel
Colusa AC3,13,0.09,0.012,0.07,0.12,1,2021-03-09_NF_Battle_Creek_Rel,2021-03-09,331.158,39.36038,-122.01373,Lower Sac R,0.09 (0.012),13,54,NF_Battle_Creek_Rel
Colusa AC2,14,0.077,0.011,0.06,0.1,1,2021-03-09_NF_Battle_Creek_Rel,2021-03-09,318.618,39.28007,-122.01891,Lower Sac R,0.077 (0.011),14,46,NF_Battle_Creek_Rel
AbvColusaBr,15,0.07,0.01,0.05,0.09,1,2021-03-09_NF_Battle_Creek_Rel,2021-03-09,307.738,39.2205,-122.00847,Lower Sac R,0.07 (0.01),15,39,NF_Battle_Creek_Rel
Colusa BC2,16,0.068,0.01,0.05,0.09,1,2021-03-09_NF_Battle_Creek_Rel,2021-03-09,296.278,39.184963,-121.943214,Lower Sac R,0.068 (0.01),16,40,NF_Battle_Creek_Rel
Colusa BC3,17,0.068,0.01,0.05,0.09,1,2021-03-09_NF_Battle_Creek_Rel,2021-03-09,287.208,39.13132,-121.936554,Lower Sac R,0.068 (0.01),17,37,NF_Battle_Creek_Rel
AbvTisdale,18,0.053,0.009,0.04,0.07,1,2021-03-09_NF_Battle_Creek_Rel,2021-03-09,269.238,39.0364,-121.82918,Lower Sac R,0.053 (0.009),18,32,NF_Battle_Creek_Rel
BlwChinaBend,19,0.051,0.009,0.04,0.07,1,2021-03-09_NF_Battle_Creek_Rel,2021-03-09,240.618,38.88406,-121.81713,Lower Sac R,0.051 (0.009),19,22,NF_Battle_Creek_Rel
Knights_RST,20,0.047,0.009,0.03,0.07,1,2021-03-09_NF_Battle_Creek_Rel,2021-03-09,222.05,38.79248,-121.69087,Lower Sac R,0.047 (0.009),20,28,NF_Battle_Creek_Rel
Blw_Elkhorn_GS1,21,0.043,0.008,0.03,0.06,1,2021-03-09_NF_Battle_Creek_Rel,2021-03-09,191.92,38.64737,-121.57771,Lower Sac R,0.043 (0.008),21,26,NF_Battle_Creek_Rel
TowerBridge,22,0.038,0.008,0.03,0.06,1,2021-03-09_NF_Battle_Creek_Rel,2021-03-09,172,38.5802,-121.508,Lower Sac R,0.038 (0.008),22,23,NF_Battle_Creek_Rel
Freeport,23,0.028,0.007,0.02,0.04,1,2021-03-09_NF_Battle_Creek_Rel,2021-03-09,152.23149999999998,38.46467,-121.50501,Lower Sac R,0.028 (0.007),23,17,NF_Battle_Creek_Rel
Chipps,24,0.003,0.002,0,0.01,1,2021-03-09_NF_Battle_Creek_Rel,2021-03-09,71.48599999999999,38.046132,-121.912643,West Delta,0.003 (0.002),24,2,NF_Battle_Creek_Rel
NF_Battle_Creek_Rel,0.5,1,0,0,0,2,2021-03-18_NF_Battle_Creek_Rel,2021-03-18,536.184,40.42459,-121.987305,Battle Ck,1 (NA),0.5,300,NF_Battle_Creek_Rel
MSBC_Baldwin_Pool,1,0.797,0.023,0.75,0.84,2,2021-03-18_NF_Battle_Creek_Rel,2021-03-18,533.305,40.426414,-122.010475,Battle Ck,0.797 (0.023),1,238,NF_Battle_Creek_Rel
MSBC_Intake2,2,0.54,0.029,0.48,0.6,2,2021-03-18_NF_Battle_Creek_Rel,2021-03-18,519.645,40.40305,-122.12544,Battle Ck,0.54 (0.029),2,162,NF_Battle_Creek_Rel
MSBC_OldHatch,3,0.387,0.028,0.33,0.44,2,2021-03-18_NF_Battle_Creek_Rel,2021-03-18,511.454,40.38434,-122.17876,Battle Ck,0.387 (0.028),3,116,NF_Battle_Creek_Rel
Blw_Paynes_Ck,4,0.313,0.027,0.26,0.37,2,2021-03-18_NF_Battle_Creek_Rel,2021-03-18,476.278,40.25534,-122.17332,Upper Sac R,0.313 (0.027),4,94,NF_Battle_Creek_Rel
Altube,5,0.293,0.026,0.24,0.35,2,2021-03-18_NF_Battle_Creek_Rel,2021-03-18,460.4,40.15348,-122.1887,Upper Sac R,0.293 (0.026),5,88,NF_Battle_Creek_Rel
Mill_Ck_Conf,6,0.28,0.026,0.23,0.33,2,2021-03-18_NF_Battle_Creek_Rel,2021-03-18,441.318,40.0327,-122.11987,Upper Sac R,0.28 (0.026),6,84,NF_Battle_Creek_Rel
Abv_WoodsonBr,7,0.234,0.025,0.19,0.29,2,2021-03-18_NF_Battle_Creek_Rel,2021-03-18,425.158,39.920094,-122.08446000000001,Upper Sac R,0.234 (0.025),7,68,NF_Battle_Creek_Rel
GCID,8,0.183,0.022,0.14,0.23,2,2021-03-18_NF_Battle_Creek_Rel,2021-03-18,404.9413333333333,39.796839,-122.049394,Upper Sac R,0.183 (0.022),8,55,NF_Battle_Creek_Rel
Blw_IrvineFinch,9,0.173,0.022,0.14,0.22,2,2021-03-18_NF_Battle_Creek_Rel,2021-03-18,394.668,39.73146,-121.97483,Upper Sac R,0.173 (0.022),9,52,NF_Battle_Creek_Rel
Ord,10,0.13,0.019,0.1,0.17,2,2021-03-18_NF_Battle_Creek_Rel,2021-03-18,371.658,39.63447,-121.98959,Upper Sac R,0.13 (0.019),10,39,NF_Battle_Creek_Rel
BlwOrd,11,0.113,0.018,0.08,0.15,2,2021-03-18_NF_Battle_Creek_Rel,2021-03-18,361.728,39.56548,-122.0018,Upper Sac R,0.113 (0.018),11,34,NF_Battle_Creek_Rel
ButteBr,12,0.091,0.017,0.06,0.13,2,2021-03-18_NF_Battle_Creek_Rel,2021-03-18,344.108,39.4569,-121.995,Lower Sac R,0.091 (0.017),12,27,NF_Battle_Creek_Rel
Colusa AC3,13,0.077,0.015,0.05,0.11,2,2021-03-18_NF_Battle_Creek_Rel,2021-03-18,331.158,39.36038,-122.01373,Lower Sac R,0.077 (0.015),13,23,NF_Battle_Creek_Rel
Colusa AC2,14,0.073,0.015,0.05,0.11,2,2021-03-18_NF_Battle_Creek_Rel,2021-03-18,318.618,39.28007,-122.01891,Lower Sac R,0.073 (0.015),14,22,NF_Battle_Creek_Rel
AbvColusaBr,15,0.07,0.015,0.05,0.1,2,2021-03-18_NF_Battle_Creek_Rel,2021-03-18,307.738,39.2205,-122.00847,Lower Sac R,0.07 (0.015),15,21,NF_Battle_Creek_Rel
Colusa BC2,16,0.067,0.014,0.04,0.1,2,2021-03-18_NF_Battle_Creek_Rel,2021-03-18,296.278,39.184963,-121.943214,Lower Sac R,0.067 (0.014),16,20,NF_Battle_Creek_Rel
Colusa BC3,17,0.067,0.014,0.04,0.1,2,2021-03-18_NF_Battle_Creek_Rel,2021-03-18,287.208,39.13132,-121.936554,Lower Sac R,0.067 (0.014),17,20,NF_Battle_Creek_Rel
AbvTisdale,18,0.053,0.013,0.03,0.09,2,2021-03-18_NF_Battle_Creek_Rel,2021-03-18,269.238,39.0364,-121.82918,Lower Sac R,0.053 (0.013),18,16,NF_Battle_Creek_Rel
BlwChinaBend,19,0.053,0.013,0.03,0.09,2,2021-03-18_NF_Battle_Creek_Rel,2021-03-18,240.618,38.88406,-121.81713,Lower Sac R,0.053 (0.013),19,14,NF_Battle_Creek_Rel
Knights_RST,20,0.04,0.011,0.02,0.07,2,2021-03-18_NF_Battle_Creek_Rel,2021-03-18,222.05,38.79248,-121.69087,Lower Sac R,0.04 (0.011),20,12,NF_Battle_Creek_Rel
Blw_Elkhorn_GS1,21,0.023,0.009,0.01,0.05,2,2021-03-18_NF_Battle_Creek_Rel,2021-03-18,191.92,38.64737,-121.57771,Lower Sac R,0.023 (0.009),21,7,NF_Battle_Creek_Rel
TowerBridge,22,0.02,0.008,0.01,0.04,2,2021-03-18_NF_Battle_Creek_Rel,2021-03-18,172,38.5802,-121.508,Lower Sac R,0.02 (0.008),22,6,NF_Battle_Creek_Rel
Freeport,23,0.02,0.008,0.01,0.04,2,2021-03-18_NF_Battle_Creek_Rel,2021-03-18,152.23149999999998,38.46467,-121.50501,Lower Sac R,0.02 (0.008),23,6,NF_Battle_Creek_Rel
Chipps,24,0.003,0.003,0,0.02,2,2021-03-18_NF_Battle_Creek_Rel,2021-03-18,71.48599999999999,38.046132,-121.912643,West Delta,0.003 (0.003),24,1,NF_Battle_Creek_Rel
