GEN,reach,cum.phi,cum.phi.se,LCI,UCI,group,release,mean_rel_date,studyID,GenRKM,GenLat,GenLon,Region,Survival estimate (SE),reach_num,count,release_site
BattleCk_WilsonBridge_Rel,0.5,1,0,0,0,1,2023-04-24_BattleCk_WilsonBridge_Rel,2023-04-24,BC_Jumpstart_2023,549.004,40.447212,-121.86802,Battle Ck,1 (NA),0.5,595,BattleCk_WilsonBridge_Rel
MSBC_Intake2,1,0.641,0.02,0.6,0.68,1,2023-04-24_BattleCk_WilsonBridge_Rel,2023-04-24,BC_Jumpstart_2023,519.645,40.40305,-122.12544,Battle Ck,0.641 (0.02),1,379,BattleCk_WilsonBridge_Rel
MSBC_OldHatch,2,0.608,0.02,0.57,0.65,1,2023-04-24_BattleCk_WilsonBridge_Rel,2023-04-24,BC_Jumpstart_2023,511.454,40.38434,-122.17876,Battle Ck,0.608 (0.02),2,362,BattleCk_WilsonBridge_Rel
Blw_Paynes_Ck,3,0.59,0.02,0.55,0.63,1,2023-04-24_BattleCk_WilsonBridge_Rel,2023-04-24,BC_Jumpstart_2023,476.278,40.25534,-122.17332,Upper Sac R,0.59 (0.02),3,350,BattleCk_WilsonBridge_Rel
Altube,4,0.588,0.02,0.55,0.63,1,2023-04-24_BattleCk_WilsonBridge_Rel,2023-04-24,BC_Jumpstart_2023,460.4,40.15348,-122.1887,Upper Sac R,0.588 (0.02),4,348,BattleCk_WilsonBridge_Rel
Mill_Ck_Conf,5,0.581,0.02,0.54,0.62,1,2023-04-24_BattleCk_WilsonBridge_Rel,2023-04-24,BC_Jumpstart_2023,441.318,40.0327,-122.11987,Upper Sac R,0.581 (0.02),5,290,BattleCk_WilsonBridge_Rel
Abv_WoodsonBr,6,0.572,0.02,0.53,0.61,1,2023-04-24_BattleCk_WilsonBridge_Rel,2023-04-24,BC_Jumpstart_2023,425.158,39.920094,-122.08446000000001,Upper Sac R,0.572 (0.02),6,329,BattleCk_WilsonBridge_Rel
GCID,7,0.561,0.02,0.52,0.6,1,2023-04-24_BattleCk_WilsonBridge_Rel,2023-04-24,BC_Jumpstart_2023,405.273,39.799051000000006,-122.0471165,Upper Sac R,0.561 (0.02),7,332,BattleCk_WilsonBridge_Rel
Blw_IrvineFinch,8,0.545,0.021,0.5,0.58,1,2023-04-24_BattleCk_WilsonBridge_Rel,2023-04-24,BC_Jumpstart_2023,394.668,39.73146,-121.97483,Upper Sac R,0.545 (0.021),8,303,BattleCk_WilsonBridge_Rel
Ord,9,0.509,0.02,0.47,0.55,1,2023-04-24_BattleCk_WilsonBridge_Rel,2023-04-24,BC_Jumpstart_2023,371.658,39.634564999999995,-121.98939,Upper Sac R,0.509 (0.02),9,302,BattleCk_WilsonBridge_Rel
BlwOrd,10,0.491,0.021,0.45,0.53,1,2023-04-24_BattleCk_WilsonBridge_Rel,2023-04-24,BC_Jumpstart_2023,361.728,39.56548,-122.0018,Upper Sac R,0.491 (0.021),10,291,BattleCk_WilsonBridge_Rel
AbvButteBr,11,0.421,0.02,0.38,0.46,1,2023-04-24_BattleCk_WilsonBridge_Rel,2023-04-24,BC_Jumpstart_2023,347.188,39.4717175,-121.995482,Lower Sac R,0.421 (0.02),11,247,BattleCk_WilsonBridge_Rel
