GEN,reach,cum.phi,cum.phi.se,LCI,UCI,group,release,mean_rel_date,GenRKM,GenLat,GenLon,Region,Survival estimate (SE),reach_num,count,release_site
RBDD_Rel,0.5,1,0,0,0,1,2020-05-14_RBDD_Rel,2020-05-14,461.57,40.15444,-122.20249,Upper Sac R,1 (NA),0.5,400,RBDD_Rel
Altube,1,0.998,0.002,0.98,1,1,2020-05-14_RBDD_Rel,2020-05-14,460.4,40.15348,-122.1887,Upper Sac R,0.998 (0.002),1,399,RBDD_Rel
Blw_Salt,2,0.998,0.002,0.98,1,1,2020-05-14_RBDD_Rel,2020-05-14,456.88,40.1464,-122.15246,Upper Sac R,0.998 (0.002),2,399,RBDD_Rel
Mill_Ck_Conf,3,0.99,0.005,0.97,1,1,2020-05-14_RBDD_Rel,2020-05-14,441.31,40.0327,-122.11987,Upper Sac R,0.99 (0.005),3,396,RBDD_Rel
Abv_WoodsonBr,4,0.981,0.007,0.96,0.99,1,2020-05-14_RBDD_Rel,2020-05-14,425.15,39.920094,-122.08446000000001,Upper Sac R,0.981 (0.007),4,391,RBDD_Rel
GCID,5,0.893,0.015,0.86,0.92,1,2020-05-14_RBDD_Rel,2020-05-14,404.93333333333334,39.796839,-122.049394,Upper Sac R,0.893 (0.015),5,357,RBDD_Rel
Blw_IrvineFinch,6,0.755,0.022,0.71,0.8,1,2020-05-14_RBDD_Rel,2020-05-14,394.66,39.73146,-121.97483,Upper Sac R,0.755 (0.022),6,302,RBDD_Rel
Ord,7,0.635,0.024,0.59,0.68,1,2020-05-14_RBDD_Rel,2020-05-14,371.65,39.63447,-121.98959,Upper Sac R,0.635 (0.024),7,253,RBDD_Rel
BlwOrd,8,0.603,0.025,0.55,0.65,1,2020-05-14_RBDD_Rel,2020-05-14,361.72,39.56548,-122.0018,Upper Sac R,0.603 (0.025),8,240,RBDD_Rel
ButteBr,9,0.507,0.025,0.46,0.56,1,2020-05-14_RBDD_Rel,2020-05-14,344.1,39.4569,-121.995,Lower Sac R,0.507 (0.025),9,193,RBDD_Rel
Colusa AC3,10,0.401,0.025,0.35,0.45,1,2020-05-14_RBDD_Rel,2020-05-14,331.15,39.359877499999996,-122.01365999999999,Lower Sac R,0.401 (0.025),10,160,RBDD_Rel
Colusa AC2,11,0.318,0.023,0.27,0.36,1,2020-05-14_RBDD_Rel,2020-05-14,318.61,39.28007,-122.01891,Lower Sac R,0.318 (0.023),11,127,RBDD_Rel
AbvColusaBr,12,0.278,0.023,0.24,0.32,1,2020-05-14_RBDD_Rel,2020-05-14,307.73,39.2205,-122.00847,Lower Sac R,0.278 (0.023),12,100,RBDD_Rel
Colusa BC4,13,0.242,0.021,0.2,0.29,1,2020-05-14_RBDD_Rel,2020-05-14,280.4,39.09362,-121.89405,Lower Sac R,0.242 (0.021),13,97,RBDD_Rel
Knights_RST,14,0.197,0.02,0.16,0.24,1,2020-05-14_RBDD_Rel,2020-05-14,222.05,38.79248,-121.69087,Lower Sac R,0.197 (0.02),14,79,RBDD_Rel
