cum.phi,cum.phi.se,LCI,UCI,StudyID,GEN,RKM,reach_num,Region,Survival estimate (SE),Reach #,count,GenLat,GenLon
1,0,0,0,CNFH_FMR_2021,RBDD_Rel,461.579,0,Upper Sac R,1 (NA),0,961,40.15444,-122.20249
0.99,0,0.98,1,CNFH_FMR_2021,Abv_Altube1,460.4,1,Upper Sac R,0.99 (0),1,951,40.15348,-122.1887
0.97,0.01,0.95,0.98,CNFH_FMR_2021,Blw_Salt,456.888,2,Upper Sac R,0.97 (0.01),2,927,40.1464,-122.15246
0.86,0.03,0.8,0.91,CNFH_FMR_2021,Abv_WoodsonBr,425.158,3,Upper Sac R,0.86 (0.03),3,362,39.920094,-122.08446000000001
0.55,0.02,0.52,0.58,CNFH_FMR_2021,GCID_abv,406.118,4,Upper Sac R,0.55 (0.02),4,531,39.806767,-122.05846
0.5,0.02,0.47,0.54,CNFH_FMR_2021,GCID_blw,404.428,5,Upper Sac R,0.5 (0.02),5,484,39.79114,-122.036026
0.46,0.02,0.43,0.49,CNFH_FMR_2021,Blw_IrvineFinch,394.668,6,Upper Sac R,0.46 (0.02),6,428,39.73146,-121.97483
0.3,0.01,0.28,0.33,CNFH_FMR_2021,Ord,371.658,7,Upper Sac R,0.3 (0.01),7,289,39.63447,-121.98959
0.24,0.01,0.22,0.27,CNFH_FMR_2021,BlwOrd,361.728,8,Upper Sac R,0.24 (0.01),8,234,39.56548,-122.0018
0.18,0.01,0.16,0.21,CNFH_FMR_2021,ButteBr,344.108,9,Lower Sac R,0.18 (0.01),9,158,39.4569,-121.995
0.12,0.01,0.1,0.14,CNFH_FMR_2021,Colusa AC3,331.158,10,Lower Sac R,0.12 (0.01),10,115,39.36038,-122.01373
0.08,0.01,0.07,0.1,CNFH_FMR_2021,Colusa AC2,318.618,11,Lower Sac R,0.08 (0.01),11,79,39.28007,-122.01891
0.06,0.01,0.05,0.08,CNFH_FMR_2021,AbvColusaBr,307.738,12,Lower Sac R,0.06 (0.01),12,55,39.2205,-122.00847
0.05,0.01,0.04,0.07,CNFH_FMR_2021,Colusa BC2,296.278,13,Lower Sac R,0.05 (0.01),13,50,39.184963,-121.943214
0.04,0.01,0.03,0.06,CNFH_FMR_2021,Colusa BC3,287.208,14,Lower Sac R,0.04 (0.01),14,43,39.13132,-121.936554
0.04,0.01,0.03,0.06,CNFH_FMR_2021,AbvTisdale,269.238,15,Lower Sac R,0.04 (0.01),15,39,39.0364,-121.82918
0.04,0.01,0.03,0.05,CNFH_FMR_2021,BlwTisdale,261.408,16,Lower Sac R,0.04 (0.01),16,38,38.98941,-121.80463
0.03,0,0.02,0.04,CNFH_FMR_2021,BlwChinaBend,240.618,17,Lower Sac R,0.03 (0),17,24,38.88406,-121.81713
0.02,0,0.01,0.03,CNFH_FMR_2021,Knights_RST,222.05,18,Lower Sac R,0.02 (0),18,19,38.79248,-121.69087
0.02,0,0.01,0.03,CNFH_FMR_2021,KnightsBlwRST,221.58,19,Lower Sac R,0.02 (0),19,19,38.78877,-121.694
0.02,0,0.01,0.03,CNFH_FMR_2021,Abv_FremontWeir,215.18,20,Lower Sac R,0.02 (0),20,19,38.76009,-121.67145
0.02,0,0.01,0.03,CNFH_FMR_2021,Blw_FremontWeir,210.36,21,Lower Sac R,0.02 (0),21,3,38.77015,-121.6322
0.02,0,0.01,0.03,CNFH_FMR_2021,Blw_FRConf,203.468,22,Lower Sac R,0.02 (0),22,2,38.78212,-121.61526
0.02,0,0.01,0.03,CNFH_FMR_2021,Blw_FR_GS2,199,23,Lower Sac R,0.02 (0),23,11,38.73505,-121.60267
0.02,0.01,0.01,0.04,CNFH_FMR_2021,Blw_Elkhorn_GS1,191.92,24,Lower Sac R,0.02 (0.01),24,10,38.64737,-121.57771
0,0,0,0.01,CNFH_FMR_2021,TowerBridge,172,25,Lower Sac R,0 (0),25,3,38.5802,-121.508
0,0,0,0.01,CNFH_FMR_2021,I80-50_Br,170.748,26,Lower Sac R,0 (0),26,3,38.571133,-121.5164
0,0,0,0.01,CNFH_FMR_2021,SacTrawl,166.8225,27,Lower Sac R,0 (0),27,1,38.539519999999996,-121.51444000000001
0,0,0,0.01,CNFH_FMR_2021,Little Pocket_DS of I80,164.387,28,Lower Sac R,0 (0),28,1,38.52448,-121.52849
0,0,0,0.01,CNFH_FMR_2021,Freeport,152.438,29,Lower Sac R,0 (0),29,1,38.46467,-121.50501
0,0,0,0.01,CNFH_FMR_2021,Abv_Clarksburg,147.668,30,Lower Sac R,0 (0),30,1,38.43443,-121.52448
