GEN,reach,cum.phi,cum.phi.se,LCI,UCI,group,release,mean_rel_date,GenRKM,GenLat,GenLon,Region,Survival estimate (SE),reach_num,count,release_site
SacRiver_ButteCity_Rel,9.5,1,0,0,0,1,2021-03-27_SacRiver_ButteCity_Rel,2021-03-27,344.918,39.464386,-121.99266,Lower Sac R,1 (NA),9.5,300,SacRiver_ButteCity_Rel
Colusa AC3,10,0.883,0.019,0.84,0.92,1,2021-03-27_SacRiver_ButteCity_Rel,2021-03-27,331.158,39.36038,-122.01373,Lower Sac R,0.883 (0.019),10,265,SacRiver_ButteCity_Rel
Colusa AC2,11,0.783,0.024,0.73,0.83,1,2021-03-27_SacRiver_ButteCity_Rel,2021-03-27,318.618,39.28007,-122.01891,Lower Sac R,0.783 (0.024),11,235,SacRiver_ButteCity_Rel
AbvColusaBr,12,0.674,0.027,0.62,0.72,1,2021-03-27_SacRiver_ButteCity_Rel,2021-03-27,307.738,39.2205,-122.00847,Lower Sac R,0.674 (0.027),12,198,SacRiver_ButteCity_Rel
Colusa BC2,13,0.647,0.028,0.59,0.7,1,2021-03-27_SacRiver_ButteCity_Rel,2021-03-27,296.278,39.184963,-121.943214,Lower Sac R,0.647 (0.028),13,194,SacRiver_ButteCity_Rel
Colusa BC3,14,0.583,0.028,0.53,0.64,1,2021-03-27_SacRiver_ButteCity_Rel,2021-03-27,287.208,39.13132,-121.936554,Lower Sac R,0.583 (0.028),14,175,SacRiver_ButteCity_Rel
AbvTisdale,15,0.523,0.029,0.47,0.58,1,2021-03-27_SacRiver_ButteCity_Rel,2021-03-27,269.238,39.0364,-121.82918,Lower Sac R,0.523 (0.029),15,157,SacRiver_ButteCity_Rel
BlwTisdale,16,0.513,0.029,0.46,0.57,1,2021-03-27_SacRiver_ButteCity_Rel,2021-03-27,261.408,38.98941,-121.80463,Lower Sac R,0.513 (0.029),16,154,SacRiver_ButteCity_Rel
BlwChinaBend,17,0.477,0.029,0.42,0.53,1,2021-03-27_SacRiver_ButteCity_Rel,2021-03-27,240.618,38.88406,-121.81713,Lower Sac R,0.477 (0.029),17,142,SacRiver_ButteCity_Rel
Knights_RST,18,0.401,0.028,0.35,0.46,1,2021-03-27_SacRiver_ButteCity_Rel,2021-03-27,222.05,38.79248,-121.69087,Lower Sac R,0.401 (0.028),18,119,SacRiver_ButteCity_Rel
