cum.phi,cum.phi.se,LCI,UCI,StudyID,GEN,RKM,reach_num,Region,count,GenLat,GenLon
1,0,1,1,ColemanFall_2013,BattleCk_CNFH_Rel,517.34,0,Battle Ck,300,40.398155,-122.14556
0.99,0.006,0.969,0.997,ColemanFall_2013,Battle_Conf,507.48,1,Upper Sac R,296,40.35371,-122.17734
0.973,0.009,0.948,0.987,ColemanFall_2013,Blw_Paynes_Ck,476.27,2,Upper Sac R,292,40.25534,-122.17332
0.957,0.012,0.927,0.975,ColemanFall_2013,Blw_Salt,456.88,3,Upper Sac R,286,40.1464,-122.15246
0.957,0.012,0.927,0.975,ColemanFall_2013,Mill_Ck_Conf,441.31,4,Upper Sac R,286,40.0327,-122.11987
0.928,0.017,0.887,0.955,ColemanFall_2013,Abv_WoodsonBr,425.15,5,Upper Sac R,215,39.920094,-122.08446000000001
0.864,0.02,0.82,0.898,ColemanFall_2013,Blw_IrvineFinch,394.66,6,Upper Sac R,257,39.73146,-121.97483
0.798,0.024,0.748,0.84,ColemanFall_2013,BlwOrd,361.72,7,Upper Sac R,223,39.56548,-122.0018
0.746,0.026,0.691,0.794,ColemanFall_2013,BlwButteBr,338.28,8,Lower Sac R,210,39.41913,-122.00943
0.746,0.026,0.691,0.794,ColemanFall_2013,AbvColusaBr,307.73,9,Lower Sac R,35,39.2205,-122.00847
0.674,0.124,0.406,0.862,ColemanFall_2013,Abv Grimes,281.17,10,Lower Sac R,11,39.0971,-121.89676
0.491,0.029,0.434,0.547,ColemanFall_2013,AbvTisdale,269.23,11,Lower Sac R,146,39.0364,-121.82918
0.436,0.032,0.375,0.499,ColemanFall_2013,BlwTisdale,261.4,12,Lower Sac R,88,38.98941,-121.80463
0.351,0.028,0.299,0.408,ColemanFall_2013,BlwChinaBend,240.61,13,Lower Sac R,99,38.88406,-121.81713
0.279,0.026,0.231,0.333,ColemanFall_2013,KnightsLanding,224.06,14,Lower Sac R,81,38.82341,-121.72388
0.231,0.027,0.183,0.288,ColemanFall_2013,Blw_FRConf,203.46,15,Lower Sac R,50,38.78212,-121.61526
0.167,0.022,0.129,0.214,ColemanFall_2013,TowerBridge,172,16,Lower Sac R,49,38.5802,-121.508
0.145,0.021,0.108,0.191,ColemanFall_2013,FreeportDiv,153.13,17,Lower Sac R,24,38.47223,-121.50639
0.145,0.021,0.108,0.191,ColemanFall_2013,Hood,138.22,18,Lower Sac R,38,38.3617,-121.52033
0.145,0.021,0.108,0.191,ColemanFall_2013,Benicia,52.04,19,Carquinez Strait,15,38.041233,-122.12382
0.013,0.007,0.005,0.035,ColemanFall_2013,GoldenGateE,1.71,20,SF Bay,4,37.82794,-122.46168
