GEN,reach,cum.phi,cum.phi.se,LCI,UCI,group,release,mean_rel_date,GenRKM,GenLat,GenLon,Region,Survival estimate (SE),reach_num,count,release_site
BattleCk_CNFH_Rel,0.5,1,0,0,0,1,2016-04-09_BattleCk_CNFH_Rel,2016-04-09,517.34,40.398155,-122.14556,Battle Ck,1 (NA),0.5,400,BattleCk_CNFH_Rel
BattleCk1,1,0.996,0.004,0.98,1,1,2016-04-09_BattleCk_CNFH_Rel,2016-04-09,516.98,40.39827,-122.14959,Battle Ck,0.996 (0.004),1,381,BattleCk_CNFH_Rel
BattleCk2,2,0.991,0.005,0.97,1,1,2016-04-09_BattleCk_CNFH_Rel,2016-04-09,515.33,40.3954,-122.16553,Battle Ck,0.991 (0.005),2,394,BattleCk_CNFH_Rel
BattleCk3,3,0.978,0.007,0.96,0.99,1,2016-04-09_BattleCk_CNFH_Rel,2016-04-09,511.45,40.38434,-122.17876,Battle Ck,0.978 (0.007),3,389,BattleCk_CNFH_Rel
Battle_Conf,4,0.963,0.01,0.94,0.98,1,2016-04-09_BattleCk_CNFH_Rel,2016-04-09,507.48,40.35371,-122.17734,Upper Sac R,0.963 (0.01),4,367,BattleCk_CNFH_Rel
Blw_Paynes_Ck,5,0.945,0.011,0.92,0.96,1,2016-04-09_BattleCk_CNFH_Rel,2016-04-09,476.27,40.25534,-122.17332,Upper Sac R,0.945 (0.011),5,378,BattleCk_CNFH_Rel
Blw_Salt,6,0.938,0.012,0.91,0.96,1,2016-04-09_BattleCk_CNFH_Rel,2016-04-09,456.88,40.1464,-122.15246,Upper Sac R,0.938 (0.012),6,375,BattleCk_CNFH_Rel
Abv_WoodsonBr,7,0.885,0.016,0.85,0.91,1,2016-04-09_BattleCk_CNFH_Rel,2016-04-09,425.15,39.920094,-122.08446000000001,Upper Sac R,0.885 (0.016),7,354,BattleCk_CNFH_Rel
GCID,8,0.825,0.019,0.78,0.86,1,2016-04-09_BattleCk_CNFH_Rel,2016-04-09,404.42,39.79114,-122.036026,Upper Sac R,0.825 (0.019),8,330,BattleCk_CNFH_Rel
Blw_IrvineFinch,9,0.79,0.02,0.75,0.83,1,2016-04-09_BattleCk_CNFH_Rel,2016-04-09,394.66,39.73146,-121.97483,Upper Sac R,0.79 (0.02),9,316,BattleCk_CNFH_Rel
BlwOrd,10,0.707,0.023,0.66,0.75,1,2016-04-09_BattleCk_CNFH_Rel,2016-04-09,361.72,39.56548,-122.0018,Upper Sac R,0.707 (0.023),10,283,BattleCk_CNFH_Rel
ButteBr,11,0.66,0.024,0.61,0.7,1,2016-04-09_BattleCk_CNFH_Rel,2016-04-09,344.1,39.4569,-121.995,Lower Sac R,0.66 (0.024),11,264,BattleCk_CNFH_Rel
AbvColusaBrRT,12,0.576,0.025,0.53,0.62,1,2016-04-09_BattleCk_CNFH_Rel,2016-04-09,314.43,39.2647,-122,Lower Sac R,0.576 (0.025),12,229,BattleCk_CNFH_Rel
AbvColusaBr,13,0.548,0.025,0.5,0.6,1,2016-04-09_BattleCk_CNFH_Rel,2016-04-09,307.73,39.2205,-122.00847,Lower Sac R,0.548 (0.025),13,216,BattleCk_CNFH_Rel
MeridanBr,14,0.501,0.026,0.45,0.55,1,2016-04-09_BattleCk_CNFH_Rel,2016-04-09,290.84,39.145542,-121.917984,Lower Sac R,0.501 (0.026),14,181,BattleCk_CNFH_Rel
AbvTisdale,15,0.41,0.025,0.36,0.46,1,2016-04-09_BattleCk_CNFH_Rel,2016-04-09,269.23,39.0364,-121.82918,Lower Sac R,0.41 (0.025),15,164,BattleCk_CNFH_Rel
BlwChinaBend,16,0.298,0.023,0.26,0.34,1,2016-04-09_BattleCk_CNFH_Rel,2016-04-09,240.61,38.88406,-121.81713,Lower Sac R,0.298 (0.023),16,119,BattleCk_CNFH_Rel
KnightsLandingBr,17,0.233,0.021,0.19,0.28,1,2016-04-09_BattleCk_CNFH_Rel,2016-04-09,224.05,38.8021,-121.72,Lower Sac R,0.233 (0.021),17,93,BattleCk_CNFH_Rel
TowerBridge,18,0.13,0.017,0.1,0.17,1,2016-04-09_BattleCk_CNFH_Rel,2016-04-09,172,38.5802,-121.508,Lower Sac R,0.13 (0.017),18,51,BattleCk_CNFH_Rel
SacTrawl,19,0.123,0.016,0.09,0.16,1,2016-04-09_BattleCk_CNFH_Rel,2016-04-09,166.815,38.539519999999996,-121.51444000000001,Lower Sac R,0.123 (0.016),19,49,BattleCk_CNFH_Rel
Freeport,20,0.123,0.016,0.09,0.16,1,2016-04-09_BattleCk_CNFH_Rel,2016-04-09,152.43,38.46467,-121.50501,Lower Sac R,0.123 (0.016),20,46,BattleCk_CNFH_Rel
Hood_RT,21,0.108,0.015,0.08,0.14,1,2016-04-09_BattleCk_CNFH_Rel,2016-04-09,139,38.3741,-121.523,Lower Sac R,0.108 (0.015),21,43,BattleCk_CNFH_Rel
