GEN,reach,cum.phi,cum.phi.se,LCI,UCI,group,release,mean_rel_date,GenRKM,GenLat,GenLon,Region,Survival estimate (SE),reach_num,count,release_site
BattleCk_CNFH_Rel,0.5,1,0,0,0,1,2017-12-21_BattleCk_CNFH_Rel,2017-12-21,517.34,40.398155,-122.14556,Battle Ck,1 (NA),0.5,228,BattleCk_CNFH_Rel
BattleCk1,1,0.923,0.019,0.88,0.95,1,2017-12-21_BattleCk_CNFH_Rel,2017-12-21,516.98,40.39827,-122.14959,Battle Ck,0.923 (0.019),1,206,BattleCk_CNFH_Rel
Blw_Paynes_Ck,2,0.769,0.028,0.71,0.82,1,2017-12-21_BattleCk_CNFH_Rel,2017-12-21,476.27,40.25534,-122.17332,Upper Sac R,0.769 (0.028),2,171,BattleCk_CNFH_Rel
Abv_RBPP,3,0.729,0.029,0.67,0.78,1,2017-12-21_BattleCk_CNFH_Rel,2017-12-21,463.22,40.153008,-122.198235,Upper Sac R,0.729 (0.029),3,162,BattleCk_CNFH_Rel
Mill_Ck_Conf,4,0.706,0.031,0.64,0.76,1,2017-12-21_BattleCk_CNFH_Rel,2017-12-21,441.31,40.0327,-122.11987,Upper Sac R,0.706 (0.031),4,152,BattleCk_CNFH_Rel
Abv_WoodsonBr,5,0.678,0.031,0.61,0.74,1,2017-12-21_BattleCk_CNFH_Rel,2017-12-21,425.15,39.920094,-122.08446000000001,Upper Sac R,0.678 (0.031),5,150,BattleCk_CNFH_Rel
GCID,6,0.603,0.033,0.54,0.66,1,2017-12-21_BattleCk_CNFH_Rel,2017-12-21,405.265,39.798953499999996,-122.04724300000001,Upper Sac R,0.603 (0.033),6,134,BattleCk_CNFH_Rel
Blw_IrvineFinch,7,0.517,0.034,0.45,0.58,1,2017-12-21_BattleCk_CNFH_Rel,2017-12-21,394.66,39.73146,-121.97483,Upper Sac R,0.517 (0.034),7,111,BattleCk_CNFH_Rel
BlwOrd,8,0.365,0.032,0.3,0.43,1,2017-12-21_BattleCk_CNFH_Rel,2017-12-21,361.72,39.56548,-122.0018,Upper Sac R,0.365 (0.032),8,79,BattleCk_CNFH_Rel
ButteBr,9,0.331,0.032,0.27,0.4,1,2017-12-21_BattleCk_CNFH_Rel,2017-12-21,344.1,39.4569,-121.995,Lower Sac R,0.331 (0.032),9,60,BattleCk_CNFH_Rel
Colusa AC3,10,0.304,0.031,0.25,0.37,1,2017-12-21_BattleCk_CNFH_Rel,2017-12-21,331.15,39.359877499999996,-122.01365999999999,Lower Sac R,0.304 (0.031),10,62,BattleCk_CNFH_Rel
Colusa AC2,11,0.295,0.03,0.24,0.36,1,2017-12-21_BattleCk_CNFH_Rel,2017-12-21,318.61,39.28007,-122.01891,Lower Sac R,0.295 (0.03),11,62,BattleCk_CNFH_Rel
Colusa BC2,12,0.278,0.03,0.22,0.34,1,2017-12-21_BattleCk_CNFH_Rel,2017-12-21,296.27,39.184963,-121.943214,Lower Sac R,0.278 (0.03),12,57,BattleCk_CNFH_Rel
Colusa BC4,13,0.255,0.029,0.2,0.32,1,2017-12-21_BattleCk_CNFH_Rel,2017-12-21,280.4,39.09362,-121.89405,Lower Sac R,0.255 (0.029),13,54,BattleCk_CNFH_Rel
AbvTisdale,14,0.247,0.029,0.2,0.31,1,2017-12-21_BattleCk_CNFH_Rel,2017-12-21,269.23,39.0364,-121.82918,Lower Sac R,0.247 (0.029),14,55,BattleCk_CNFH_Rel
BlwTisdale,15,0.236,0.028,0.18,0.3,1,2017-12-21_BattleCk_CNFH_Rel,2017-12-21,261.4,38.98941,-121.80463,Lower Sac R,0.236 (0.028),15,44,BattleCk_CNFH_Rel
Knights_RST,16,0.211,0.027,0.16,0.27,1,2017-12-21_BattleCk_CNFH_Rel,2017-12-21,222.05,38.79248,-121.69087,Lower Sac R,0.211 (0.027),16,48,BattleCk_CNFH_Rel
Abv_FremontWeir,17,0.211,0.027,0.16,0.27,1,2017-12-21_BattleCk_CNFH_Rel,2017-12-21,215.18,38.76009,-121.67145,Lower Sac R,0.211 (0.027),17,45,BattleCk_CNFH_Rel
Blw_Elkhorn_GS1,18,0.208,0.027,0.16,0.26,1,2017-12-21_BattleCk_CNFH_Rel,2017-12-21,191.92,38.647935000000004,-121.578205,Lower Sac R,0.208 (0.027),18,37,BattleCk_CNFH_Rel
SacTrawl,19,0.197,0.026,0.15,0.25,1,2017-12-21_BattleCk_CNFH_Rel,2017-12-21,166.815,38.539519999999996,-121.51444000000001,Lower Sac R,0.197 (0.026),19,45,BattleCk_CNFH_Rel
Freeport,20,0.193,0.026,0.15,0.25,1,2017-12-21_BattleCk_CNFH_Rel,2017-12-21,152.43,38.46467,-121.50501,Lower Sac R,0.193 (0.026),20,44,BattleCk_CNFH_Rel
Hood,21,0.193,0.026,0.15,0.25,1,2017-12-21_BattleCk_CNFH_Rel,2017-12-21,138.22,38.3617,-121.52033,Lower Sac R,0.193 (0.026),21,38,BattleCk_CNFH_Rel
Chipps,22,0.08,0.018,0.05,0.12,1,2017-12-21_BattleCk_CNFH_Rel,2017-12-21,71.47999999999999,38.046132,-121.912643,West Delta,0.08 (0.018),22,18,BattleCk_CNFH_Rel
Benicia,23,0.056,0.016,0.03,0.1,1,2017-12-21_BattleCk_CNFH_Rel,2017-12-21,52.04,38.041233,-122.12382,Carquinez Strait,0.056 (0.016),23,12,BattleCk_CNFH_Rel
GoldenGateE,24,0.046,0.023,0.02,0.12,1,2017-12-21_BattleCk_CNFH_Rel,2017-12-21,1.71,37.82794,-122.46168,SF Bay,0.046 (0.023),24,4,BattleCk_CNFH_Rel
BattleCk_CNFH_Rel,0.5,1,0,0,0,2,2018-01-05_BattleCk_CNFH_Rel,2018-01-05,517.34,40.398155,-122.14556,Battle Ck,1 (NA),0.5,356,BattleCk_CNFH_Rel
BattleCk1,1,0.94,0.013,0.91,0.96,2,2018-01-05_BattleCk_CNFH_Rel,2018-01-05,516.98,40.39827,-122.14959,Battle Ck,0.94 (0.013),1,316,BattleCk_CNFH_Rel
Blw_Paynes_Ck,2,0.826,0.02,0.78,0.86,2,2018-01-05_BattleCk_CNFH_Rel,2018-01-05,476.27,40.25534,-122.17332,Upper Sac R,0.826 (0.02),2,287,BattleCk_CNFH_Rel
Abv_RBPP,3,0.801,0.021,0.76,0.84,2,2018-01-05_BattleCk_CNFH_Rel,2018-01-05,463.22,40.153008,-122.198235,Upper Sac R,0.801 (0.021),3,278,BattleCk_CNFH_Rel
Mill_Ck_Conf,4,0.783,0.022,0.74,0.82,2,2018-01-05_BattleCk_CNFH_Rel,2018-01-05,441.31,40.0327,-122.11987,Upper Sac R,0.783 (0.022),4,222,BattleCk_CNFH_Rel
Abv_WoodsonBr,5,0.771,0.022,0.72,0.81,2,2018-01-05_BattleCk_CNFH_Rel,2018-01-05,425.15,39.920094,-122.08446000000001,Upper Sac R,0.771 (0.022),5,267,BattleCk_CNFH_Rel
GCID,6,0.734,0.023,0.69,0.78,2,2018-01-05_BattleCk_CNFH_Rel,2018-01-05,405.265,39.798953499999996,-122.04724300000001,Upper Sac R,0.734 (0.023),6,255,BattleCk_CNFH_Rel
Blw_IrvineFinch,7,0.709,0.024,0.66,0.75,2,2018-01-05_BattleCk_CNFH_Rel,2018-01-05,394.66,39.73146,-121.97483,Upper Sac R,0.709 (0.024),7,240,BattleCk_CNFH_Rel
BlwOrd,8,0.639,0.026,0.59,0.69,2,2018-01-05_BattleCk_CNFH_Rel,2018-01-05,361.72,39.56548,-122.0018,Upper Sac R,0.639 (0.026),8,222,BattleCk_CNFH_Rel
ButteBr,9,0.599,0.026,0.55,0.65,2,2018-01-05_BattleCk_CNFH_Rel,2018-01-05,344.1,39.4569,-121.995,Lower Sac R,0.599 (0.026),9,166,BattleCk_CNFH_Rel
Colusa AC3,10,0.588,0.026,0.54,0.64,2,2018-01-05_BattleCk_CNFH_Rel,2018-01-05,331.15,39.359877499999996,-122.01365999999999,Lower Sac R,0.588 (0.026),10,184,BattleCk_CNFH_Rel
Colusa AC2,11,0.56,0.026,0.51,0.61,2,2018-01-05_BattleCk_CNFH_Rel,2018-01-05,318.61,39.28007,-122.01891,Lower Sac R,0.56 (0.026),11,194,BattleCk_CNFH_Rel
Colusa BC2,12,0.535,0.026,0.48,0.59,2,2018-01-05_BattleCk_CNFH_Rel,2018-01-05,296.27,39.184963,-121.943214,Lower Sac R,0.535 (0.026),12,180,BattleCk_CNFH_Rel
Colusa BC4,13,0.52,0.026,0.47,0.57,2,2018-01-05_BattleCk_CNFH_Rel,2018-01-05,280.4,39.09362,-121.89405,Lower Sac R,0.52 (0.026),13,178,BattleCk_CNFH_Rel
AbvTisdale,14,0.515,0.027,0.46,0.57,2,2018-01-05_BattleCk_CNFH_Rel,2018-01-05,269.23,39.0364,-121.82918,Lower Sac R,0.515 (0.027),14,165,BattleCk_CNFH_Rel
BlwTisdale,15,0.514,0.027,0.46,0.57,2,2018-01-05_BattleCk_CNFH_Rel,2018-01-05,261.4,38.98941,-121.80463,Lower Sac R,0.514 (0.027),15,159,BattleCk_CNFH_Rel
Knights_RST,16,0.478,0.026,0.43,0.53,2,2018-01-05_BattleCk_CNFH_Rel,2018-01-05,222.05,38.79248,-121.69087,Lower Sac R,0.478 (0.026),16,163,BattleCk_CNFH_Rel
Abv_FremontWeir,17,0.477,0.027,0.43,0.53,2,2018-01-05_BattleCk_CNFH_Rel,2018-01-05,215.18,38.76009,-121.67145,Lower Sac R,0.477 (0.027),17,149,BattleCk_CNFH_Rel
Blw_Elkhorn_GS1,18,0.454,0.026,0.4,0.51,2,2018-01-05_BattleCk_CNFH_Rel,2018-01-05,191.92,38.647935000000004,-121.578205,Lower Sac R,0.454 (0.026),18,143,BattleCk_CNFH_Rel
SacTrawl,19,0.444,0.026,0.39,0.5,2,2018-01-05_BattleCk_CNFH_Rel,2018-01-05,166.815,38.539519999999996,-121.51444000000001,Lower Sac R,0.444 (0.026),19,153,BattleCk_CNFH_Rel
Freeport,20,0.442,0.026,0.39,0.49,2,2018-01-05_BattleCk_CNFH_Rel,2018-01-05,152.43,38.46467,-121.50501,Lower Sac R,0.442 (0.026),20,153,BattleCk_CNFH_Rel
