GEN,reach,cum.phi,cum.phi.se,LCI,UCI,group,release,mean_rel_date,studyID,GenRKM,GenLat,GenLon,Region,Survival estimate (SE),reach_num,count,release_site
BattleCk_CNFH_Rel,0.5,1,0,0,0,1,2018-11-29_BattleCk_CNFH_Rel,2018-11-29,ColemanLateFall_2019,517.34,40.398155,-122.14556,Battle Ck,1 (NA),0.5,440,BattleCk_CNFH_Rel
BattleCk3,1,0.928,0.013,0.9,0.95,1,2018-11-29_BattleCk_CNFH_Rel,2018-11-29,ColemanLateFall_2019,511.45,40.38434,-122.17876,Battle Ck,0.928 (0.013),1,396,BattleCk_CNFH_Rel
Abv_RBPP,2,0.831,0.018,0.79,0.86,1,2018-11-29_BattleCk_CNFH_Rel,2018-11-29,ColemanLateFall_2019,463.22,40.153008,-122.198235,Upper Sac R,0.831 (0.018),2,330,BattleCk_CNFH_Rel
Altube,3,0.821,0.018,0.78,0.85,1,2018-11-29_BattleCk_CNFH_Rel,2018-11-29,ColemanLateFall_2019,460.235,40.15348,-122.1887,Upper Sac R,0.821 (0.018),3,343,BattleCk_CNFH_Rel
JV_Glide1,4,0.816,0.018,0.78,0.85,1,2018-11-29_BattleCk_CNFH_Rel,2018-11-29,ColemanLateFall_2019,458.67,40.146988,-122.17251,Upper Sac R,0.816 (0.018),4,341,BattleCk_CNFH_Rel
BankRobber,5,0.809,0.019,0.77,0.84,1,2018-11-29_BattleCk_CNFH_Rel,2018-11-29,ColemanLateFall_2019,452.55,40.112935,-122.13424499999999,Upper Sac R,0.809 (0.019),5,326,BattleCk_CNFH_Rel
Hunters,6,0.807,0.019,0.77,0.84,1,2018-11-29_BattleCk_CNFH_Rel,2018-11-29,ColemanLateFall_2019,450.35,40.096165,-122.130165,Upper Sac R,0.807 (0.019),6,336,BattleCk_CNFH_Rel
Oat_Creek,7,0.805,0.019,0.76,0.84,1,2018-11-29_BattleCk_CNFH_Rel,2018-11-29,ColemanLateFall_2019,447.2,40.07802,-122.11694,Upper Sac R,0.805 (0.019),7,337,BattleCk_CNFH_Rel
Mill_Ck_Conf,8,0.798,0.019,0.76,0.83,1,2018-11-29_BattleCk_CNFH_Rel,2018-11-29,ColemanLateFall_2019,441.31,40.0327,-122.11987,Upper Sac R,0.798 (0.019),8,322,BattleCk_CNFH_Rel
Abv_WoodsonBr,9,0.771,0.02,0.73,0.81,1,2018-11-29_BattleCk_CNFH_Rel,2018-11-29,ColemanLateFall_2019,425.15,39.920094,-122.08446000000001,Upper Sac R,0.771 (0.02),9,331,BattleCk_CNFH_Rel
Blw_Woodson,10,0.75,0.021,0.7,0.79,1,2018-11-29_BattleCk_CNFH_Rel,2018-11-29,ColemanLateFall_2019,421.4,39.898,-122.06787,Upper Sac R,0.75 (0.021),10,303,BattleCk_CNFH_Rel
Blw_IrvineFinch,11,0.619,0.024,0.57,0.66,1,2018-11-29_BattleCk_CNFH_Rel,2018-11-29,ColemanLateFall_2019,394.66,39.73146,-121.97483,Upper Sac R,0.619 (0.024),11,262,BattleCk_CNFH_Rel
BlwOrd,12,0.481,0.024,0.43,0.53,1,2018-11-29_BattleCk_CNFH_Rel,2018-11-29,ColemanLateFall_2019,361.72,39.56548,-122.0018,Upper Sac R,0.481 (0.024),12,201,BattleCk_CNFH_Rel
ButteBr,13,0.409,0.023,0.36,0.46,1,2018-11-29_BattleCk_CNFH_Rel,2018-11-29,ColemanLateFall_2019,344.1,39.4569,-121.995,Lower Sac R,0.409 (0.023),13,179,BattleCk_CNFH_Rel
Colusa AC3,14,0.397,0.029,0.34,0.46,1,2018-11-29_BattleCk_CNFH_Rel,2018-11-29,ColemanLateFall_2019,331.15,39.359877499999996,-122.01365999999999,Lower Sac R,0.397 (0.029),14,163,BattleCk_CNFH_Rel
Chipps,15,0.068,0.012,0.05,0.1,1,2018-11-29_BattleCk_CNFH_Rel,2018-11-29,ColemanLateFall_2019,71.47999999999999,38.046132,-121.912643,West Delta,0.068 (0.012),15,30,BattleCk_CNFH_Rel
Benicia,16,0.05,0.01,0.03,0.07,1,2018-11-29_BattleCk_CNFH_Rel,2018-11-29,ColemanLateFall_2019,52.14,38.0423015,-122.1236,Carquinez Strait,0.05 (0.01),16,22,BattleCk_CNFH_Rel
GoldenGateE,17,0.039,0.011,0.02,0.07,1,2018-11-29_BattleCk_CNFH_Rel,2018-11-29,ColemanLateFall_2019,1.71,37.82794,-122.46168,SF Bay,0.039 (0.011),17,13,BattleCk_CNFH_Rel
