cum.phi,cum.phi.se,LCI,UCI,StudyID,GEN,RKM,reach_num,Region,count,GenLat,GenLon
1,0,1,1,ColemanLateFall_2020,BattleCk_CNFH_Rel,517.34,0,Battle Ck,603,40.398155,-122.14556
0.997,0.002,0.985,1,ColemanLateFall_2020,BattleCk250BlwFL,517.26,1,Battle Ck,570,40.39818,-122.14665
0.984,0.005,0.97,0.992,ColemanLateFall_2020,BattleCk2,515.33,2,Battle Ck,562,40.3954,-122.16553
0.97,0.007,0.953,0.981,ColemanLateFall_2020,BattleCk3,511.45,3,Battle Ck,570,40.38434,-122.17876
0.96,0.008,0.941,0.973,ColemanLateFall_2020,Battle_Conf,507.48,4,Upper Sac R,575,40.35371,-122.17734
0.937,0.01,0.915,0.954,ColemanLateFall_2020,Blw_Paynes_Ck,476.27,5,Upper Sac R,556,40.25534,-122.17332
0.934,0.01,0.911,0.951,ColemanLateFall_2020,RB_Elks,464.5,6,Upper Sac R,484,40.17122,-122.22523
0.934,0.01,0.911,0.951,ColemanLateFall_2020,Abv_RBPP,463.22,7,Upper Sac R,345,40.153008,-122.198235
0.932,0.01,0.909,0.95,ColemanLateFall_2020,Abv_Altube1,460.4,8,Upper Sac R,498,40.15348,-122.1887
0.93,0.01,0.907,0.948,ColemanLateFall_2020,JV_Glide1,458.67,9,Upper Sac R,331,40.146988,-122.17251
0.93,0.01,0.907,0.948,ColemanLateFall_2020,Blw_Salt,456.88,10,Upper Sac R,473,40.1464,-122.15246
0.93,0.01,0.907,0.948,ColemanLateFall_2020,BankRobber,452.55,11,Upper Sac R,348,40.112935,-122.13424499999999
0.928,0.011,0.904,0.946,ColemanLateFall_2020,Hunters,450.35,12,Upper Sac R,440,40.096165,-122.130165
0.928,0.011,0.904,0.946,ColemanLateFall_2020,Oat_Creek,447.2,13,Upper Sac R,279,40.07802,-122.11694
0.928,0.011,0.904,0.946,ColemanLateFall_2020,Mill_Ck_Conf,441.31,14,Upper Sac R,326,40.0327,-122.11987
0.911,0.012,0.885,0.931,ColemanLateFall_2020,Abv_WoodsonBr,425.15,15,Upper Sac R,440,39.920094,-122.08446000000001
0.901,0.012,0.874,0.922,ColemanLateFall_2020,Blw_Woodson,421.4,16,Upper Sac R,440,39.898,-122.06787
0.9,0.012,0.873,0.922,ColemanLateFall_2020,Abv_Otter_Island,419.39,17,Upper Sac R,516,39.882027,-122.064445
0.876,0.013,0.847,0.9,ColemanLateFall_2020,GCID_abv,406.11,18,Upper Sac R,517,39.806767,-122.05846
0.866,0.014,0.836,0.891,ColemanLateFall_2020,GCID_blw,404.42,19,Upper Sac R,472,39.79114,-122.036026
0.858,0.015,0.825,0.885,ColemanLateFall_2020,Blw_IrvineFinch,394.66,20,Upper Sac R,441,39.73146,-121.97483
0.765,0.017,0.729,0.797,ColemanLateFall_2020,BlwOrd,361.72,21,Upper Sac R,458,39.56548,-122.0018
0.741,0.018,0.705,0.775,ColemanLateFall_2020,ButteBr,344.1,22,Lower Sac R,406,39.4569,-121.995
0.725,0.018,0.688,0.759,ColemanLateFall_2020,Colusa AC3,331.15,23,Lower Sac R,418,39.359877499999996,-122.01365999999999
0.713,0.018,0.676,0.748,ColemanLateFall_2020,Colusa AC2,318.61,24,Lower Sac R,427,39.28007,-122.01891
0.709,0.019,0.672,0.744,ColemanLateFall_2020,AbvColusaBr,307.73,25,Lower Sac R,336,39.2205,-122.00847
0.703,0.019,0.665,0.738,ColemanLateFall_2020,Colusa BC2,296.27,26,Lower Sac R,424,39.184963,-121.943214
0.702,0.019,0.664,0.737,ColemanLateFall_2020,Colusa BC3,287.2,27,Lower Sac R,422,39.13132,-121.936554
0.692,0.019,0.654,0.727,ColemanLateFall_2020,Colusa BC4,280.4,28,Lower Sac R,417,39.09362,-121.89405
0.678,0.019,0.64,0.714,ColemanLateFall_2020,AbvTisdale,269.23,29,Lower Sac R,409,39.0364,-121.82918
0.675,0.019,0.637,0.711,ColemanLateFall_2020,BlwTisdale,261.4,30,Lower Sac R,399,38.98941,-121.80463
0.663,0.019,0.625,0.7,ColemanLateFall_2020,BlwChinaBend,240.61,31,Lower Sac R,399,38.88406,-121.81713
0.634,0.02,0.594,0.671,ColemanLateFall_2020,Knights_RST,222.05,32,Lower Sac R,382,38.79248,-121.69087
0.629,0.02,0.589,0.666,ColemanLateFall_2020,Abv_FremontWeir,215.18,33,Lower Sac R,376,38.76009,-121.67145
0.629,0.02,0.589,0.666,ColemanLateFall_2020,Blw_Knights_GS3,212.8,34,Lower Sac R,379,38.760085000000004,-121.67328499999999
0.627,0.02,0.588,0.665,ColemanLateFall_2020,Blw_FremontWeir,210.36,35,Lower Sac R,371,38.77015,-121.6322
0.622,0.02,0.583,0.66,ColemanLateFall_2020,Blw_FRConf,203.46,36,Lower Sac R,323,38.78212,-121.61526
0.62,0.02,0.581,0.658,ColemanLateFall_2020,Blw_FR_GS2,199,37,Lower Sac R,364,38.735055,-121.603635
0.615,0.02,0.576,0.653,ColemanLateFall_2020,Blw_Elkhorn_GS1,191.92,38,Lower Sac R,371,38.647935000000004,-121.578205
0.602,0.02,0.562,0.64,ColemanLateFall_2020,TowerBridge,172,39,Lower Sac R,363,38.5802,-121.508
0.602,0.02,0.562,0.64,ColemanLateFall_2020,I80-50_Br,170.74,40,Lower Sac R,362,38.571133,-121.5164
0.6,0.02,0.561,0.639,ColemanLateFall_2020,SacTrawl1,167,41,Lower Sac R,362,38.54081,-121.51331
0.6,0.02,0.561,0.639,ColemanLateFall_2020,SacTrawl2,166.63,42,Lower Sac R,362,38.53823,-121.51557
0.594,0.02,0.554,0.632,ColemanLateFall_2020,Freeport,152.43,43,Lower Sac R,358,38.46467,-121.50501
0.587,0.02,0.547,0.626,ColemanLateFall_2020,Abv_Clarksburg,147.66,44,Lower Sac R,354,38.43443,-121.52448
0.379,0.104,0.205,0.592,ColemanLateFall_2020,Hood,138.22,45,Lower Sac R,8,38.3617,-121.52033
0.237,0.017,0.205,0.273,ColemanLateFall_2020,Chipps,71.47999999999999,46,West Delta,143,38.046132,-121.912643
0.169,0.015,0.141,0.201,ColemanLateFall_2020,Benicia,52.14,47,Carquinez Strait,102,38.0423015,-122.1236
0.118,0.015,0.092,0.149,ColemanLateFall_2020,GoldenGateE,1.71,48,SF Bay,42,37.82794,-122.46168
