cum.phi,cum.phi.se,LCI,UCI,StudyID,GEN,RKM,reach_num,Region,Survival estimate (SE),Reach #,count,GenLat,GenLon
1,0,0,0,ColemanLateFall_2021,BattleCk_CNFH_Rel,517.344,0,Battle Ck,1 (NA),0,601,40.398155,-122.14556
0.97,0.01,0.95,0.98,ColemanLateFall_2021,BattleCk2,515.334,1,Battle Ck,0.97 (0.01),1,564,40.3954,-122.16553
0.94,0.01,0.91,0.95,ColemanLateFall_2021,BattleCk3,511.454,2,Battle Ck,0.94 (0.01),2,561,40.38434,-122.17876
0.93,0.01,0.91,0.95,ColemanLateFall_2021,Battle_Conf,507.488,3,Upper Sac R,0.93 (0.01),3,559,40.35371,-122.17734
0.88,0.01,0.85,0.9,ColemanLateFall_2021,Blw_Paynes_Ck,476.278,4,Upper Sac R,0.88 (0.01),4,529,40.25534,-122.17332
0.84,0.01,0.81,0.87,ColemanLateFall_2021,Abv_Altube1,460.4,5,Upper Sac R,0.84 (0.01),5,507,40.15348,-122.1887
0.84,0.01,0.81,0.87,ColemanLateFall_2021,Blw_Salt,456.888,6,Upper Sac R,0.84 (0.01),6,504,40.1464,-122.15246
0.72,0.02,0.69,0.76,ColemanLateFall_2021,Abv_WoodsonBr,425.158,7,Upper Sac R,0.72 (0.02),7,436,39.920094,-122.08446000000001
0.61,0.02,0.57,0.64,ColemanLateFall_2021,GCID_abv,406.118,8,Upper Sac R,0.61 (0.02),8,364,39.806767,-122.05846
0.57,0.02,0.53,0.6,ColemanLateFall_2021,GCID_blw,404.428,9,Upper Sac R,0.57 (0.02),9,340,39.79114,-122.036026
0.53,0.02,0.49,0.56,ColemanLateFall_2021,Blw_IrvineFinch,394.668,10,Upper Sac R,0.53 (0.02),10,316,39.73146,-121.97483
0.45,0.02,0.41,0.49,ColemanLateFall_2021,Ord,371.658,11,Upper Sac R,0.45 (0.02),11,269,39.63447,-121.98959
0.42,0.02,0.38,0.46,ColemanLateFall_2021,BlwOrd,361.728,12,Upper Sac R,0.42 (0.02),12,253,39.56548,-122.0018
0.37,0.02,0.33,0.41,ColemanLateFall_2021,ButteBr,344.108,13,Lower Sac R,0.37 (0.02),13,212,39.4569,-121.995
0.32,0.02,0.28,0.36,ColemanLateFall_2021,Colusa AC3,331.158,14,Lower Sac R,0.32 (0.02),14,182,39.36038,-122.01373
0.29,0.02,0.25,0.33,ColemanLateFall_2021,Colusa AC2,318.618,15,Lower Sac R,0.29 (0.02),15,172,39.28007,-122.01891
0.26,0.02,0.23,0.3,ColemanLateFall_2021,AbvColusaBr,307.738,16,Lower Sac R,0.26 (0.02),16,155,39.2205,-122.00847
0.25,0.02,0.21,0.28,ColemanLateFall_2021,Colusa BC2,296.278,17,Lower Sac R,0.25 (0.02),17,147,39.184963,-121.943214
0.24,0.02,0.21,0.28,ColemanLateFall_2021,Colusa BC3,287.208,18,Lower Sac R,0.24 (0.02),18,145,39.13132,-121.936554
0.22,0.02,0.19,0.26,ColemanLateFall_2021,AbvTisdale,269.238,19,Lower Sac R,0.22 (0.02),19,129,39.0364,-121.82918
0.22,0.02,0.19,0.26,ColemanLateFall_2021,BlwTisdale,261.408,20,Lower Sac R,0.22 (0.02),20,129,38.98941,-121.80463
0.21,0.02,0.18,0.25,ColemanLateFall_2021,BlwChinaBend,240.618,21,Lower Sac R,0.21 (0.02),21,107,38.88406,-121.81713
0.18,0.02,0.15,0.21,ColemanLateFall_2021,Knights_RST,222.05,22,Lower Sac R,0.18 (0.02),22,92,38.79248,-121.69087
0.18,0.02,0.15,0.21,ColemanLateFall_2021,KnightsBlwRST,221.58,23,Lower Sac R,0.18 (0.02),23,13,38.78877,-121.694
0.17,0.01,0.15,0.21,ColemanLateFall_2021,Abv_FremontWeir,215.18,24,Lower Sac R,0.17 (0.01),24,104,38.76009,-121.67145
0.17,0.01,0.14,0.2,ColemanLateFall_2021,Blw_FremontWeir,210.36,25,Lower Sac R,0.17 (0.01),25,101,38.77015,-121.6322
0.17,0.01,0.14,0.2,ColemanLateFall_2021,Blw_FRConf,203.468,26,Lower Sac R,0.17 (0.01),26,55,38.78212,-121.61526
0.14,0.01,0.12,0.17,ColemanLateFall_2021,TowerBridge,172,27,Lower Sac R,0.14 (0.01),27,87,38.5802,-121.508
0.14,0.01,0.12,0.17,ColemanLateFall_2021,I80-50_Br,170.748,28,Lower Sac R,0.14 (0.01),28,84,38.571133,-121.5164
0.14,0.01,0.11,0.17,ColemanLateFall_2021,SacTrawl,166.8225,29,Lower Sac R,0.14 (0.01),29,84,38.539519999999996,-121.51444000000001
0.13,0.01,0.11,0.16,ColemanLateFall_2021,Freeport,152.438,30,Lower Sac R,0.13 (0.01),30,79,38.46467,-121.50501
0.13,0.01,0.1,0.16,ColemanLateFall_2021,Hood,138.228,31,Lower Sac R,0.13 (0.01),31,77,38.3617,-121.52033
0.13,0.01,0.1,0.16,ColemanLateFall_2021,Chipps,71.48599999999999,32,West Delta,0.13 (0.01),32,34,38.046132,-121.912643
0.13,0.01,0.1,0.16,ColemanLateFall_2021,Benicia,52.144000000000005,33,Carquinez Strait,0.13 (0.01),33,28,38.0423015,-122.1236
0.02,0.01,0.01,0.04,ColemanLateFall_2021,GoldenGateE,1.71,34,SF Bay,0.02 (0.01),34,9,37.82794,-122.46168
