GEN,reach,cum.phi,cum.phi.se,LCI,UCI,group,release,mean_rel_date,GenRKM,GenLat,GenLon,Region,Survival estimate (SE),reach_num,count,release_site
DeerCk_RST_Rel,0.5,1,0,0,0,1,2021-03-19_DeerCk_RST_Rel,2021-03-19,441.728,39.9974,-121.967735,DeerCk,1 (NA),0.5,12,DeerCk_RST_Rel
GCID,1,0.69,0.144,0.37,0.89,1,2021-03-19_DeerCk_RST_Rel,2021-03-19,404.9413333333333,39.796839,-122.049394,Upper Sac R,0.69 (0.144),1,7,DeerCk_RST_Rel
Blw_IrvineFinch,2,0.521,0.153,0.25,0.78,1,2021-03-19_DeerCk_RST_Rel,2021-03-19,394.668,39.73146,-121.97483,Upper Sac R,0.521 (0.153),2,5,DeerCk_RST_Rel
Ord,3,0.417,0.142,0.18,0.69,1,2021-03-19_DeerCk_RST_Rel,2021-03-19,371.658,39.63447,-121.98959,Upper Sac R,0.417 (0.142),3,4,DeerCk_RST_Rel
BlwOrd,4,0.417,0.142,0.18,0.69,1,2021-03-19_DeerCk_RST_Rel,2021-03-19,361.728,39.56548,-122.0018,Upper Sac R,0.417 (0.142),4,4,DeerCk_RST_Rel
Colusa AC2,5,0.417,0.142,0.18,0.69,1,2021-03-19_DeerCk_RST_Rel,2021-03-19,318.618,39.28007,-122.01891,Lower Sac R,0.417 (0.142),5,4,DeerCk_RST_Rel
AbvColusaBr,6,0.417,0.142,0.18,0.69,1,2021-03-19_DeerCk_RST_Rel,2021-03-19,307.738,39.2205,-122.00847,Lower Sac R,0.417 (0.142),6,4,DeerCk_RST_Rel
Colusa BC2,7,0.417,0.142,0.18,0.69,1,2021-03-19_DeerCk_RST_Rel,2021-03-19,296.278,39.184963,-121.943214,Lower Sac R,0.417 (0.142),7,4,DeerCk_RST_Rel
Colusa BC3,8,0.417,0.142,0.18,0.69,1,2021-03-19_DeerCk_RST_Rel,2021-03-19,287.208,39.13132,-121.936554,Lower Sac R,0.417 (0.142),8,4,DeerCk_RST_Rel
AbvTisdale,9,0.417,0.142,0.18,0.69,1,2021-03-19_DeerCk_RST_Rel,2021-03-19,269.238,39.0364,-121.82918,Lower Sac R,0.417 (0.142),9,4,DeerCk_RST_Rel
BlwTisdale,10,0.417,0.142,0.18,0.69,1,2021-03-19_DeerCk_RST_Rel,2021-03-19,261.408,38.98941,-121.80463,Lower Sac R,0.417 (0.142),10,4,DeerCk_RST_Rel
BlwChinaBend,11,0.417,0.142,0.18,0.69,1,2021-03-19_DeerCk_RST_Rel,2021-03-19,240.618,38.88406,-121.81713,Lower Sac R,0.417 (0.142),11,4,DeerCk_RST_Rel
Knights_RST,12,0.417,0.142,0.18,0.69,1,2021-03-19_DeerCk_RST_Rel,2021-03-19,222.05,38.79248,-121.69087,Lower Sac R,0.417 (0.142),12,4,DeerCk_RST_Rel
KnightsBlwRST,13,0.417,0.142,0.18,0.69,1,2021-03-19_DeerCk_RST_Rel,2021-03-19,221.58,38.78877,-121.694,Lower Sac R,0.417 (0.142),13,4,DeerCk_RST_Rel
Abv_FremontWeir,14,0.417,0.142,0.18,0.69,1,2021-03-19_DeerCk_RST_Rel,2021-03-19,215.18,38.76009,-121.67145,Lower Sac R,0.417 (0.142),14,4,DeerCk_RST_Rel
Blw_Elkhorn_GS1,15,0.417,0.142,0.18,0.69,1,2021-03-19_DeerCk_RST_Rel,2021-03-19,191.92,38.64737,-121.57771,Lower Sac R,0.417 (0.142),15,4,DeerCk_RST_Rel
TowerBridge,16,0.417,0.142,0.18,0.69,1,2021-03-19_DeerCk_RST_Rel,2021-03-19,172,38.5802,-121.508,Lower Sac R,0.417 (0.142),16,4,DeerCk_RST_Rel
SacTrawl,17,0.417,0.142,0.18,0.69,1,2021-03-19_DeerCk_RST_Rel,2021-03-19,166.8225,38.539519999999996,-121.51444000000001,Lower Sac R,0.417 (0.142),17,4,DeerCk_RST_Rel
Little Pocket_DS of I80,18,0.417,0.142,0.18,0.69,1,2021-03-19_DeerCk_RST_Rel,2021-03-19,164.387,38.52448,-121.52849,Lower Sac R,0.417 (0.142),18,4,DeerCk_RST_Rel
Freeport,19,0.417,0.142,0.18,0.69,1,2021-03-19_DeerCk_RST_Rel,2021-03-19,152.438,38.46467,-121.50501,Lower Sac R,0.417 (0.142),19,4,DeerCk_RST_Rel
Chipps,20,0.333,0.136,0.13,0.62,1,2021-03-19_DeerCk_RST_Rel,2021-03-19,71.48599999999999,38.046132,-121.912643,West Delta,0.333 (0.136),20,4,DeerCk_RST_Rel
Benicia,21,0.25,0.125,0.08,0.55,1,2021-03-19_DeerCk_RST_Rel,2021-03-19,52.144000000000005,38.0423015,-122.1236,Carquinez Strait,0.25 (0.125),21,3,DeerCk_RST_Rel
GoldenGateE,22,0.25,0.125,0.08,0.55,1,2021-03-19_DeerCk_RST_Rel,2021-03-19,1.71,37.82794,-122.46168,SF Bay,0.25 (0.125),22,2,DeerCk_RST_Rel
DeerCk_RST_Rel,0.5,1,0,0,0,2,2021-04-24_DeerCk_RST_Rel,2021-04-24,441.728,39.9974,-121.967735,DeerCk,1 (NA),0.5,8,DeerCk_RST_Rel
GCID,1,0.393,0.181,0.13,0.74,2,2021-04-24_DeerCk_RST_Rel,2021-04-24,404.9413333333333,39.796839,-122.049394,Upper Sac R,0.393 (0.181),1,3,DeerCk_RST_Rel
Blw_IrvineFinch,2,0.313,0.204,0.07,0.74,2,2021-04-24_DeerCk_RST_Rel,2021-04-24,394.668,39.73146,-121.97483,Upper Sac R,0.313 (0.204),2,2,DeerCk_RST_Rel
