GEN,reach,cum.phi,cum.phi.se,LCI,UCI,group,release,mean_rel_date,studyID,GenRKM,GenLat,GenLon,Region,Survival estimate (SE),reach_num,count,release_site
FR_Gridley_Rel,0.5,1,0,0,0,1,2023-04-21_FR_Gridley_Rel,2023-04-21,FR_Fall_Chinook_2023,287.387,39.357876,-121.63604,Feather_R,1 (NA),0.5,352,FR_Gridley_Rel
Gridley,1,0.971,0.01,0.94,0.98,1,2023-04-21_FR_Gridley_Rel,2023-04-21,FR_Fall_Chinook_2023,287.027,39.35455,-121.63422,Feather_R,0.971 (0.01),1,258,FR_Gridley_Rel
CoxRiffle,2,0.952,0.011,0.92,0.97,1,2023-04-21_FR_Gridley_Rel,2023-04-21,FR_Fall_Chinook_2023,283.87,39.333267,-121.632675,Feather_R,0.952 (0.011),2,333,FR_Gridley_Rel
FR_Herringer,3,0.936,0.014,0.9,0.96,1,2023-04-21_FR_Gridley_Rel,2023-04-21,FR_Fall_Chinook_2023,282.673,39.325356,-121.62361,Feather_R,0.936 (0.014),3,280,FR_Gridley_Rel
FR_Abv_Honcut_Ck,4,0.917,0.016,0.88,0.94,1,2023-04-21_FR_Gridley_Rel,2023-04-21,FR_Fall_Chinook_2023,278.823,39.296703,-121.628456,Feather_R,0.917 (0.016),4,292,FR_Gridley_Rel
SunsetPumps,5,0.858,0.02,0.81,0.89,1,2023-04-21_FR_Gridley_Rel,2023-04-21,FR_Fall_Chinook_2023,269.756,39.251724,-121.63522,Feather_R,0.858 (0.02),5,233,FR_Gridley_Rel
Blw_SunsetPumps,6,0.858,0.02,0.81,0.89,1,2023-04-21_FR_Gridley_Rel,2023-04-21,FR_Fall_Chinook_2023,268.791,39.24316,-121.635475,Feather_R,0.858 (0.02),6,228,FR_Gridley_Rel
BC_Beach,7,0.514,0.028,0.46,0.57,1,2023-04-21_FR_Gridley_Rel,2023-04-21,FR_Fall_Chinook_2023,217.314,38.877506,-121.61404,Feather_R,0.514 (0.028),7,142,FR_Gridley_Rel
TowerBridge,8,0.437,0.027,0.38,0.49,1,2023-04-21_FR_Gridley_Rel,2023-04-21,FR_Fall_Chinook_2023,172,38.5802,-121.508,Lower Sac R,0.437 (0.027),8,115,FR_Gridley_Rel
I80-50_Br,9,0.434,0.027,0.38,0.49,1,2023-04-21_FR_Gridley_Rel,2023-04-21,FR_Fall_Chinook_2023,170.748,38.571133,-121.5164,Lower Sac R,0.434 (0.027),9,126,FR_Gridley_Rel
Freeport,10,0.431,0.029,0.38,0.49,1,2023-04-21_FR_Gridley_Rel,2023-04-21,FR_Fall_Chinook_2023,152.23149999999998,38.46467,-121.50501,Lower Sac R,0.431 (0.029),10,128,FR_Gridley_Rel
Benicia,11,0.257,0.023,0.21,0.3,1,2023-04-21_FR_Gridley_Rel,2023-04-21,FR_Fall_Chinook_2023,52.144000000000005,38.0423015,-122.1236,Carquinez Strait,0.257 (0.023),11,89,FR_Gridley_Rel
GoldenGateE,12,0.205,0.022,0.16,0.25,1,2023-04-21_FR_Gridley_Rel,2023-04-21,FR_Fall_Chinook_2023,1.71,37.82794,-122.46168,SF Bay,0.205 (0.022),12,56,FR_Gridley_Rel
