cum.phi,cum.phi.se,LCI,UCI,StudyID,GEN,RKM,reach_num,Region,release,count,GenLat,GenLon
1,0,1,1,FR_Spring_2014,FR_Gridley_Rel,287.38,0,Feather_R,FR_Gridley_Rel,150,39.357876,-121.63604
0.885,0.027,0.82,0.929,FR_Spring_2014,CoxRiffle,283.87,1,Feather_R,FR_Gridley_Rel,131,39.333267,-121.632675
0.5,0.041,0.421,0.579,FR_Spring_2014,SunsetPumps,269.75,2,Feather_R,FR_Gridley_Rel,75,39.251724,-121.63522
0.123,0.027,0.078,0.187,FR_Spring_2014,ShanghaiBend,245.45,3,Feather_R,FR_Gridley_Rel,13,39.094635,-121.59285
0.123,0.027,0.078,0.187,FR_Spring_2014,FR_Boyds_Rel,240.75,4,Feather_R,FR_Gridley_Rel,0,39.057335,-121.61066
0.113,0.026,0.072,0.175,FR_Spring_2014,BoydsPump,240.27,5,Feather_R,FR_Gridley_Rel,17,39.0518,-121.61039
0.1,0.024,0.061,0.159,FR_Spring_2014,StarBend,234.92,6,Feather_R,FR_Gridley_Rel,15,39.009884,-121.59382
0.067,0.02,0.036,0.119,FR_Spring_2014,BC_Beach,217.31,7,Feather_R,FR_Gridley_Rel,10,38.877506,-121.61404
0.047,0.017,0.022,0.095,FR_Spring_2014,Blw_FRConf,203.46,8,Lower Sac R,FR_Gridley_Rel,7,38.78212,-121.61526
0.047,0.017,0.022,0.095,FR_Spring_2014,TowerBridge,172,9,Lower Sac R,FR_Gridley_Rel,7,38.5802,-121.508
0.02,0.011,0.006,0.06,FR_Spring_2014,FreeportBr,151.1,10,Lower Sac R,FR_Gridley_Rel,3,38.45568,-121.501976
0.018,0.158,0,1,FR_Spring_2014,Hood,138.22,11,Lower Sac R,FR_Gridley_Rel,2,38.3617,-121.52033
0,0,0,0,FR_Spring_2014,Benicia,52.04,12,Carquinez Strait,FR_Gridley_Rel,0,38.041233,-122.12382
1,0,1,1,FR_Spring_2014,FR_Boyds_Rel,240.75,4,Feather_R,FR_Boyds_Rel,150,39.057335,-121.61066
1,0,0,0,FR_Spring_2014,BoydsPump,240.27,5,Feather_R,FR_Boyds_Rel,5,39.0518,-121.61039
0.909,0.024,0.85,0.947,FR_Spring_2014,StarBend,234.92,6,Feather_R,FR_Boyds_Rel,135,39.009884,-121.59382
0.643,0.039,0.562,0.716,FR_Spring_2014,BC_Beach,217.31,7,Feather_R,FR_Boyds_Rel,94,38.877506,-121.61404
0.566,0.045,0.477,0.651,FR_Spring_2014,Blw_FRConf,203.46,8,Lower Sac R,FR_Boyds_Rel,63,38.78212,-121.61526
0.443,0.041,0.365,0.524,FR_Spring_2014,TowerBridge,172,9,Lower Sac R,FR_Boyds_Rel,64,38.5802,-121.508
0.36,0.039,0.287,0.44,FR_Spring_2014,FreeportBr,151.1,10,Lower Sac R,FR_Boyds_Rel,54,38.45568,-121.501976
0.36,0.039,0.287,0.44,FR_Spring_2014,Hood,138.22,11,Lower Sac R,FR_Boyds_Rel,38,38.3617,-121.52033
0.36,2.661,0,1,FR_Spring_2014,Benicia,52.04,12,Carquinez Strait,FR_Boyds_Rel,1,38.041233,-122.12382
