GEN,reach,cum.phi,cum.phi.se,LCI,UCI,group,release,mean_rel_date,GenRKM,GenLat,GenLon,Region,Survival estimate (SE),reach_num,count,release_site
FR_Boyds_Rel,3.5,1,0,0,0,1,2019-04-22_FR_Boyds_Rel,2019-04-22,240.75,39.057335,-121.61066,Feather_R,1 (NA),3.5,300,FR_Boyds_Rel
BC_Beach,4,0.731,0.026,0.68,0.78,1,2019-04-22_FR_Boyds_Rel,2019-04-22,217.31,38.877506,-121.61404,Feather_R,0.731 (0.026),4,219,FR_Boyds_Rel
TowerBridge,5,0.637,0.028,0.58,0.69,1,2019-04-22_FR_Boyds_Rel,2019-04-22,172,38.5802,-121.508,Lower Sac R,0.637 (0.028),5,175,FR_Boyds_Rel
I80-50_Br,6,0.637,0.028,0.58,0.69,1,2019-04-22_FR_Boyds_Rel,2019-04-22,170.74,38.571133,-121.5164,Lower Sac R,0.637 (0.028),6,180,FR_Boyds_Rel
SacTrawl,7,0.631,0.028,0.58,0.69,1,2019-04-22_FR_Boyds_Rel,2019-04-22,166.815,38.539519999999996,-121.51444000000001,Lower Sac R,0.631 (0.028),7,172,FR_Boyds_Rel
Hood,8,0.631,0.028,0.58,0.69,1,2019-04-22_FR_Boyds_Rel,2019-04-22,138.22,38.3617,-121.52033,Lower Sac R,0.631 (0.028),8,146,FR_Boyds_Rel
Chipps,9,0.35,0.028,0.3,0.41,1,2019-04-22_FR_Boyds_Rel,2019-04-22,71.47999999999999,38.046132,-121.912643,West Delta,0.35 (0.028),9,104,FR_Boyds_Rel
Benicia,10,0.327,0.027,0.28,0.38,1,2019-04-22_FR_Boyds_Rel,2019-04-22,52.14,38.0423015,-122.1236,Carquinez Strait,0.327 (0.027),10,98,FR_Boyds_Rel
GoldenGateE,11,0.255,0.026,0.21,0.31,1,2019-04-22_FR_Boyds_Rel,2019-04-22,1.71,37.82794,-122.46168,SF Bay,0.255 (0.026),11,65,FR_Boyds_Rel
FR_Gridley_Rel,0.5,1,0,0,0,2,2019-04-22_FR_Gridley_Rel,2019-04-22,287.38,39.357876,-121.63604,Feather_R,1 (NA),0.5,300,FR_Gridley_Rel
Gridley,1,0.993,0.005,0.97,1,2,2019-04-22_FR_Gridley_Rel,2019-04-22,287.02,39.35455,-121.63422,Feather_R,0.993 (0.005),1,298,FR_Gridley_Rel
CoxRiffle,2,0.97,0.01,0.94,0.98,2,2019-04-22_FR_Gridley_Rel,2019-04-22,283.87,39.333267,-121.632675,Feather_R,0.97 (0.01),2,291,FR_Gridley_Rel
SunsetPumps,3,0.87,0.019,0.83,0.9,2,2019-04-22_FR_Gridley_Rel,2019-04-22,269.75,39.251724,-121.63522,Feather_R,0.87 (0.019),3,261,FR_Gridley_Rel
BC_Beach,4,0.403,0.028,0.35,0.46,2,2019-04-22_FR_Gridley_Rel,2019-04-22,217.31,38.877506,-121.61404,Feather_R,0.403 (0.028),4,119,FR_Gridley_Rel
TowerBridge,5,0.38,0.028,0.33,0.44,2,2019-04-22_FR_Gridley_Rel,2019-04-22,172,38.5802,-121.508,Lower Sac R,0.38 (0.028),5,106,FR_Gridley_Rel
I80-50_Br,6,0.38,0.028,0.33,0.44,2,2019-04-22_FR_Gridley_Rel,2019-04-22,170.74,38.571133,-121.5164,Lower Sac R,0.38 (0.028),6,111,FR_Gridley_Rel
SacTrawl,7,0.379,0.028,0.32,0.44,2,2019-04-22_FR_Gridley_Rel,2019-04-22,166.815,38.539519999999996,-121.51444000000001,Lower Sac R,0.379 (0.028),7,109,FR_Gridley_Rel
Hood,8,0.334,0.03,0.28,0.4,2,2019-04-22_FR_Gridley_Rel,2019-04-22,138.22,38.3617,-121.52033,Lower Sac R,0.334 (0.03),8,76,FR_Gridley_Rel
Chipps,9,0.203,0.023,0.16,0.25,2,2019-04-22_FR_Gridley_Rel,2019-04-22,71.47999999999999,38.046132,-121.912643,West Delta,0.203 (0.023),9,60,FR_Gridley_Rel
Benicia,10,0.197,0.023,0.16,0.25,2,2019-04-22_FR_Gridley_Rel,2019-04-22,52.14,38.0423015,-122.1236,Carquinez Strait,0.197 (0.023),10,59,FR_Gridley_Rel
GoldenGateE,11,0.161,0.021,0.12,0.21,2,2019-04-22_FR_Gridley_Rel,2019-04-22,1.71,37.82794,-122.46168,SF Bay,0.161 (0.021),11,41,FR_Gridley_Rel
