cum.phi,cum.phi.se,LCI,UCI,StudyID,GEN,RKM,reach_num,Region,Survival estimate (SE),Reach #,count,GenLat,GenLon
1,0,0,0,FR_Spring_2021,FR_Boyds_Rel,240.755,0,Feather_R,1 (NA),0,590,39.057335,-121.61066
0.98,0.01,0.97,0.99,FR_Spring_2021,FR_Boyds_Rel_Rec,240.754,1,Feather_R,0.98 (0.01),1,261,39.057335,-121.61066
0.98,0.01,0.96,0.99,FR_Spring_2021,BoydsPump,240.277,2,Feather_R,0.98 (0.01),2,577,39.0518,-121.61039
0.91,0.01,0.89,0.93,FR_Spring_2021,StarBend,234.926,3,Feather_R,0.91 (0.01),3,539,39.009884,-121.59382
0.58,0.02,0.54,0.62,FR_Spring_2021,BC_Beach,217.314,4,Feather_R,0.58 (0.02),4,345,38.877506,-121.61404
0.5,0.02,0.46,0.54,FR_Spring_2021,FR_Verona_Top,206.984,5,Feather_R,0.5 (0.02),5,286,38.79492,-121.63128
0.48,0.02,0.44,0.52,FR_Spring_2021,FR_Verona_Bot,205.959,6,Feather_R,0.48 (0.02),6,248,38.78821,-121.62324
0.47,0.02,0.43,0.51,FR_Spring_2021,Blw_FRConf,203.468,7,Lower Sac R,0.47 (0.02),7,276,38.78212,-121.61526
0.46,0.02,0.42,0.5,FR_Spring_2021,Blw_FR_GS2,199,8,Lower Sac R,0.46 (0.02),8,191,38.73505,-121.60267
0.37,0.02,0.33,0.41,FR_Spring_2021,Blw_Elkhorn_GS1,191.92,9,Lower Sac R,0.37 (0.02),9,218,38.64737,-121.57771
0.29,0.02,0.25,0.32,FR_Spring_2021,TowerBridge,172,10,Lower Sac R,0.29 (0.02),10,169,38.5802,-121.508
0.28,0.02,0.25,0.32,FR_Spring_2021,I80-50_Br,170.748,11,Lower Sac R,0.28 (0.02),11,162,38.571133,-121.5164
0.28,0.02,0.24,0.31,FR_Spring_2021,SacTrawl,166.8225,12,Lower Sac R,0.28 (0.02),12,163,38.539519999999996,-121.51444000000001
0.27,0.02,0.23,0.31,FR_Spring_2021,Little Pocket_DS of I80,164.387,13,Lower Sac R,0.27 (0.02),13,159,38.52448,-121.52849
0.22,0.02,0.18,0.25,FR_Spring_2021,Freeport,152.438,14,Lower Sac R,0.22 (0.02),14,127,38.46467,-121.50501
0.22,0.02,0.18,0.25,FR_Spring_2021,Abv_Clarksburg,147.668,15,Lower Sac R,0.22 (0.02),15,117,38.43443,-121.52448
0.03,0.01,0.02,0.05,FR_Spring_2021,Chipps,71.48599999999999,16,West Delta,0.03 (0.01),16,17,38.046132,-121.912643
0.02,0.01,0.01,0.04,FR_Spring_2021,Benicia,52.144000000000005,17,Carquinez Strait,0.02 (0.01),17,13,38.0423015,-122.1236
0.01,0,0.01,0.03,FR_Spring_2021,GoldenGateE,1.71,18,SF Bay,0.01 (0),18,7,37.82794,-122.46168
