GEN,reach,cum.phi,cum.phi.se,LCI,UCI,group,release,mean_rel_date,studyID,GenRKM,GenLat,GenLon,Region,Survival estimate (SE),reach_num,count,release_site
MillCk_RST_Rel,0.5,1,0,0,0,1,2014-05-01_MillCk_RST_Rel,2014-05-01,MillCk_Wild_CHK_2014,450.7,40.05479,-122.032104,Mill Ck,1 (NA),0.5,35,MillCk_RST_Rel
MillCk2,1,0.831,0.064,0.67,0.92,1,2014-05-01_MillCk_RST_Rel,2014-05-01,MillCk_Wild_CHK_2014,444.47,40.046066,-122.09443,Mill Ck,0.831 (0.064),1,28,MillCk_RST_Rel
Mill_Ck_Conf,2,0.774,0.071,0.61,0.88,1,2014-05-01_MillCk_RST_Rel,2014-05-01,MillCk_Wild_CHK_2014,441.31,40.0327,-122.11987,Upper Sac R,0.774 (0.071),2,26,MillCk_RST_Rel
Abv_WoodsonBr,3,0.714,0.076,0.55,0.84,1,2014-05-01_MillCk_RST_Rel,2014-05-01,MillCk_Wild_CHK_2014,425.15,39.920094,-122.08446000000001,Upper Sac R,0.714 (0.076),3,25,MillCk_RST_Rel
Blw_IrvineFinch,4,0.486,0.084,0.33,0.65,1,2014-05-01_MillCk_RST_Rel,2014-05-01,MillCk_Wild_CHK_2014,394.66,39.73146,-121.97483,Upper Sac R,0.486 (0.084),4,17,MillCk_RST_Rel
BlwOrd,5,0.257,0.074,0.14,0.42,1,2014-05-01_MillCk_RST_Rel,2014-05-01,MillCk_Wild_CHK_2014,361.72,39.56548,-122.0018,Upper Sac R,0.257 (0.074),5,9,MillCk_RST_Rel
BlwButteBr,6,0.2,0.068,0.1,0.36,1,2014-05-01_MillCk_RST_Rel,2014-05-01,MillCk_Wild_CHK_2014,338.28,39.41913,-122.00943,Lower Sac R,0.2 (0.068),6,7,MillCk_RST_Rel
AbvColusaBr,7,0.086,0.047,0.03,0.23,1,2014-05-01_MillCk_RST_Rel,2014-05-01,MillCk_Wild_CHK_2014,307.73,39.2205,-122.00847,Lower Sac R,0.086 (0.047),7,3,MillCk_RST_Rel
AbvTisdale,8,0.029,0.028,0,0.18,1,2014-05-01_MillCk_RST_Rel,2014-05-01,MillCk_Wild_CHK_2014,269.23,39.0364,-121.82918,Lower Sac R,0.029 (0.028),8,1,MillCk_RST_Rel
BlwChinaBend,9,0.029,0.028,0,0.18,1,2014-05-01_MillCk_RST_Rel,2014-05-01,MillCk_Wild_CHK_2014,240.61,38.88406,-121.81713,Lower Sac R,0.029 (0.028),9,1,MillCk_RST_Rel
KnightsLanding,10,0.029,0.028,0,0.18,1,2014-05-01_MillCk_RST_Rel,2014-05-01,MillCk_Wild_CHK_2014,224.06,38.82341,-121.72388,Lower Sac R,0.029 (0.028),10,1,MillCk_RST_Rel
