GEN,reach,cum.phi,cum.phi.se,LCI,UCI,group,release,mean_rel_date,GenRKM,GenLat,GenLon,Region,Survival estimate (SE),reach_num,count,release_site
MillCk_RST_Rel,0.5,1,0,0,0,1,2015-04-28_MillCk_RST_Rel,2015-04-28,450.7,40.05479,-122.032104,Mill Ck,1 (NA),0.5,177,MillCk_RST_Rel
MillCk1,1,0.987,0.014,0.9,1,1,2015-04-28_MillCk_RST_Rel,2015-04-28,449.92,40.055504,-122.04123,Mill Ck,0.987 (0.014),1,164,MillCk_RST_Rel
MillCk2,2,0.777,0.037,0.7,0.84,1,2015-04-28_MillCk_RST_Rel,2015-04-28,444.47,40.046066,-122.09443,Mill Ck,0.777 (0.037),2,103,MillCk_RST_Rel
Mill_Ck_Conf,3,0.605,0.037,0.53,0.67,1,2015-04-28_MillCk_RST_Rel,2015-04-28,441.31,40.0327,-122.11987,Upper Sac R,0.605 (0.037),3,107,MillCk_RST_Rel
Abv_WoodsonBr,4,0.576,0.037,0.5,0.65,1,2015-04-28_MillCk_RST_Rel,2015-04-28,425.15,39.920094,-122.08446000000001,Upper Sac R,0.576 (0.037),4,102,MillCk_RST_Rel
Blw_IrvineFinch,5,0.412,0.037,0.34,0.49,1,2015-04-28_MillCk_RST_Rel,2015-04-28,394.66,39.73146,-121.97483,Upper Sac R,0.412 (0.037),5,73,MillCk_RST_Rel
BlwOrd,6,0.223,0.032,0.17,0.29,1,2015-04-28_MillCk_RST_Rel,2015-04-28,361.72,39.56548,-122.0018,Upper Sac R,0.223 (0.032),6,36,MillCk_RST_Rel
ButteBr,7,0.192,0.03,0.14,0.26,1,2015-04-28_MillCk_RST_Rel,2015-04-28,344.1,39.4569,-121.995,Lower Sac R,0.192 (0.03),7,34,MillCk_RST_Rel
AbvColusaBr,8,0.073,0.02,0.04,0.12,1,2015-04-28_MillCk_RST_Rel,2015-04-28,307.73,39.2205,-122.00847,Lower Sac R,0.073 (0.02),8,13,MillCk_RST_Rel
MeridanBr,9,0.068,0.019,0.04,0.12,1,2015-04-28_MillCk_RST_Rel,2015-04-28,290.84,39.145542,-121.917984,Lower Sac R,0.068 (0.019),9,12,MillCk_RST_Rel
AbvTisdale,10,0.056,0.017,0.03,0.1,1,2015-04-28_MillCk_RST_Rel,2015-04-28,269.23,39.0364,-121.82918,Lower Sac R,0.056 (0.017),10,10,MillCk_RST_Rel
BlwChinaBend,11,0.051,0.017,0.03,0.1,1,2015-04-28_MillCk_RST_Rel,2015-04-28,240.61,38.88406,-121.81713,Lower Sac R,0.051 (0.017),11,9,MillCk_RST_Rel
KnightsLanding,12,0.051,0.017,0.03,0.1,1,2015-04-28_MillCk_RST_Rel,2015-04-28,224.06,38.82341,-121.72388,Lower Sac R,0.051 (0.017),12,9,MillCk_RST_Rel
Blw_FRConf,13,0.034,0.014,0.01,0.07,1,2015-04-28_MillCk_RST_Rel,2015-04-28,203.46,38.78212,-121.61526,Lower Sac R,0.034 (0.014),13,6,MillCk_RST_Rel
MillCk_RST_Rel,0.5,1,0,0,0,2,2015-05-15_MillCk_RST_Rel,2015-05-15,450.7,40.05479,-122.032104,Mill Ck,1 (NA),0.5,8,MillCk_RST_Rel
MillCk1,1,0.899,0.121,0.4,0.99,2,2015-05-15_MillCk_RST_Rel,2015-05-15,449.92,40.055504,-122.04123,Mill Ck,0.899 (0.121),1,7,MillCk_RST_Rel
MillCk2,2,0.541,0.195,0.2,0.84,2,2015-05-15_MillCk_RST_Rel,2015-05-15,444.47,40.046066,-122.09443,Mill Ck,0.541 (0.195),2,4,MillCk_RST_Rel
Mill_Ck_Conf,3,0.375,0.171,0.12,0.72,2,2015-05-15_MillCk_RST_Rel,2015-05-15,441.31,40.0327,-122.11987,Upper Sac R,0.375 (0.171),3,3,MillCk_RST_Rel
Abv_WoodsonBr,4,0.375,0.171,0.12,0.72,2,2015-05-15_MillCk_RST_Rel,2015-05-15,425.15,39.920094,-122.08446000000001,Upper Sac R,0.375 (0.171),4,3,MillCk_RST_Rel
