cum.phi,cum.phi.se,LCI,UCI,StudyID,GEN,RKM,reach_num,Region,Survival estimate (SE),Reach #,count,GenLat,GenLon
1,0,0,0,MillCk_Wild_STH_2019,Mill_Ck_Conf,441.318,0,Upper Sac R,1 (NA),0,17,40.0327,-122.11987
0.69,0.08,0.51,0.82,MillCk_Wild_STH_2019,Abv_WoodsonBr,425.158,1,Upper Sac R,0.69 (0.08),1,21,39.920094,-122.08446000000001
0.69,0.08,0.51,0.82,MillCk_Wild_STH_2019,Abv_Otter_Island,419.398,2,Upper Sac R,0.69 (0.08),2,2,39.882027,-122.064445
0.69,0.08,0.51,0.82,MillCk_Wild_STH_2019,Blw_IrvineFinch,394.668,3,Upper Sac R,0.69 (0.08),3,21,39.73146,-121.97483
0.59,0.09,0.42,0.75,MillCk_Wild_STH_2019,BlwOrd,361.728,4,Upper Sac R,0.59 (0.09),4,15,39.56548,-122.0018
0.59,0.09,0.42,0.75,MillCk_Wild_STH_2019,ButteBr,344.108,5,Lower Sac R,0.59 (0.09),5,18,39.4569,-121.995
0.59,0.09,0.42,0.75,MillCk_Wild_STH_2019,Colusa AC3,331.158,6,Lower Sac R,0.59 (0.09),6,18,39.36038,-122.01373
0.59,0.09,0.42,0.75,MillCk_Wild_STH_2019,Colusa AC2,318.618,7,Lower Sac R,0.59 (0.09),7,19,39.28007,-122.01891
0.59,0.09,0.42,0.75,MillCk_Wild_STH_2019,AbvColusaBr,307.738,8,Lower Sac R,0.59 (0.09),8,9,39.2205,-122.00847
0.59,0.09,0.42,0.75,MillCk_Wild_STH_2019,Colusa BC2,296.278,9,Lower Sac R,0.59 (0.09),9,19,39.184963,-121.943214
0.59,0.09,0.42,0.75,MillCk_Wild_STH_2019,Colusa BC3,287.208,10,Lower Sac R,0.59 (0.09),10,18,39.13132,-121.936554
0.59,0.09,0.42,0.75,MillCk_Wild_STH_2019,Colusa BC4,280.4,11,Lower Sac R,0.59 (0.09),11,19,39.09362,-121.89405
0.59,0.09,0.42,0.75,MillCk_Wild_STH_2019,AbvTisdale,269.238,12,Lower Sac R,0.59 (0.09),12,19,39.0364,-121.82918
0.59,0.09,0.42,0.75,MillCk_Wild_STH_2019,BlwTisdale,261.408,13,Lower Sac R,0.59 (0.09),13,13,38.98941,-121.80463
0.59,0.09,0.42,0.75,MillCk_Wild_STH_2019,BlwChinaBend,240.618,14,Lower Sac R,0.59 (0.09),14,19,38.88406,-121.81713
0.56,0.09,0.39,0.72,MillCk_Wild_STH_2019,Knights_RST,222.05,15,Lower Sac R,0.56 (0.09),15,18,38.79348,-121.6914625
0.56,0.09,0.39,0.72,MillCk_Wild_STH_2019,KnightsBlwRST,221.58,16,Lower Sac R,0.56 (0.09),16,18,38.78877,-121.694
0.56,0.09,0.39,0.72,MillCk_Wild_STH_2019,Abv_FremontWeir,215.18,17,Lower Sac R,0.56 (0.09),17,18,38.76009,-121.67145
0.56,0.09,0.39,0.72,MillCk_Wild_STH_2019,Blw_Knights_GS3,212.8,18,Lower Sac R,0.56 (0.09),18,1,38.75972,-121.67329
0.56,0.09,0.39,0.72,MillCk_Wild_STH_2019,Blw_FremontWeir,210.36,19,Lower Sac R,0.56 (0.09),19,18,38.77015,-121.6322
0.56,0.09,0.39,0.72,MillCk_Wild_STH_2019,Blw_FRConf,203.468,20,Lower Sac R,0.56 (0.09),20,13,38.778105,-121.607845
0.53,0.09,0.36,0.7,MillCk_Wild_STH_2019,TowerBridge,172,21,Lower Sac R,0.53 (0.09),21,14,38.5802,-121.508
0.53,0.09,0.36,0.7,MillCk_Wild_STH_2019,I80-50_Br,170.748,22,Lower Sac R,0.53 (0.09),22,16,38.571133,-121.5164
0.5,0.09,0.33,0.67,MillCk_Wild_STH_2019,SacTrawl,166.8225,23,Lower Sac R,0.5 (0.09),23,15,38.539519999999996,-121.51444000000001
0.5,0.09,0.33,0.67,MillCk_Wild_STH_2019,Freeport,152.438,24,Lower Sac R,0.5 (0.09),24,10,38.46467,-121.50501
0.5,0.09,0.33,0.67,MillCk_Wild_STH_2019,Hood,138.228,25,Lower Sac R,0.5 (0.09),25,11,38.3617,-121.52033
0.47,0.09,0.31,0.64,MillCk_Wild_STH_2019,Benicia,52.144000000000005,26,Carquinez Strait,0.47 (0.09),26,15,38.0423015,-122.1236
0.34,0.08,0.2,0.52,MillCk_Wild_STH_2019,GoldenGateE,1.71,27,SF Bay,0.34 (0.08),27,5,37.82794,-122.46168
