GEN,reach,cum.phi,cum.phi.se,LCI,UCI,group,release,mean_rel_date,GenRKM,GenLat,GenLon,Region,Survival estimate (SE),reach_num,count,release_site
MillCk_RST_Rel,0.5,1,0,0,0,1,2020-04-19_MillCk_RST_Rel,2020-04-19,450.703,40.05479,-122.032104,Mill Ck,1 (NA),0.5,62,MillCk_RST_Rel
Mill_Ck_Conf,1,0.74,0.058,0.61,0.84,1,2020-04-19_MillCk_RST_Rel,2020-04-19,441.318,40.0327,-122.11987,Upper Sac R,0.74 (0.058),1,42,MillCk_RST_Rel
Abv_WoodsonBr,2,0.567,0.063,0.44,0.69,1,2020-04-19_MillCk_RST_Rel,2020-04-19,425.158,39.920094,-122.08446000000001,Upper Sac R,0.567 (0.063),2,34,MillCk_RST_Rel
GCID,3,0.484,0.063,0.36,0.61,1,2020-04-19_MillCk_RST_Rel,2020-04-19,404.9413333333333,39.796839,-122.049394,Upper Sac R,0.484 (0.063),3,30,MillCk_RST_Rel
Blw_IrvineFinch,4,0.419,0.063,0.3,0.54,1,2020-04-19_MillCk_RST_Rel,2020-04-19,394.668,39.73146,-121.97483,Upper Sac R,0.419 (0.063),4,26,MillCk_RST_Rel
Ord,5,0.355,0.061,0.25,0.48,1,2020-04-19_MillCk_RST_Rel,2020-04-19,371.658,39.63447,-121.98959,Upper Sac R,0.355 (0.061),5,22,MillCk_RST_Rel
BlwOrd,6,0.34,0.06,0.23,0.47,1,2020-04-19_MillCk_RST_Rel,2020-04-19,361.728,39.56548,-122.0018,Upper Sac R,0.34 (0.06),6,20,MillCk_RST_Rel
Colusa AC3,7,0.307,0.059,0.2,0.43,1,2020-04-19_MillCk_RST_Rel,2020-04-19,331.158,39.36038,-122.01373,Lower Sac R,0.307 (0.059),7,17,MillCk_RST_Rel
Colusa AC2,8,0.307,0.059,0.2,0.43,1,2020-04-19_MillCk_RST_Rel,2020-04-19,318.618,39.28007,-122.01891,Lower Sac R,0.307 (0.059),8,17,MillCk_RST_Rel
Colusa BC4,9,0.291,0.058,0.19,0.42,1,2020-04-19_MillCk_RST_Rel,2020-04-19,280.4,39.09362,-121.89405,Lower Sac R,0.291 (0.058),9,17,MillCk_RST_Rel
AbvTisdale,10,0.274,0.057,0.18,0.4,1,2020-04-19_MillCk_RST_Rel,2020-04-19,269.238,39.0364,-121.82918,Lower Sac R,0.274 (0.057),10,15,MillCk_RST_Rel
BlwTisdale,11,0.274,0.057,0.18,0.4,1,2020-04-19_MillCk_RST_Rel,2020-04-19,261.408,38.98941,-121.80463,Lower Sac R,0.274 (0.057),11,15,MillCk_RST_Rel
BlwChinaBend,12,0.274,0.057,0.18,0.4,1,2020-04-19_MillCk_RST_Rel,2020-04-19,240.618,38.88406,-121.81713,Lower Sac R,0.274 (0.057),12,12,MillCk_RST_Rel
Knights_RST,13,0.274,0.057,0.18,0.4,1,2020-04-19_MillCk_RST_Rel,2020-04-19,222.05,38.79248,-121.69087,Lower Sac R,0.274 (0.057),13,15,MillCk_RST_Rel
KnightsBlwRST,14,0.274,0.057,0.18,0.4,1,2020-04-19_MillCk_RST_Rel,2020-04-19,221.58,38.78877,-121.694,Lower Sac R,0.274 (0.057),14,16,MillCk_RST_Rel
Blw_FremontWeir,15,0.274,0.057,0.18,0.4,1,2020-04-19_MillCk_RST_Rel,2020-04-19,210.36,38.77015,-121.6322,Lower Sac R,0.274 (0.057),15,13,MillCk_RST_Rel
Blw_FRConf,16,0.274,0.057,0.18,0.4,1,2020-04-19_MillCk_RST_Rel,2020-04-19,203.468,38.77409,-121.60043,Lower Sac R,0.274 (0.057),16,17,MillCk_RST_Rel
Blw_FR_GS2,17,0.274,0.057,0.18,0.4,1,2020-04-19_MillCk_RST_Rel,2020-04-19,199,38.73505,-121.60267,Lower Sac R,0.274 (0.057),17,12,MillCk_RST_Rel
Blw_Elkhorn_GS1,18,0.258,0.056,0.16,0.38,1,2020-04-19_MillCk_RST_Rel,2020-04-19,191.92,38.64737,-121.57771,Lower Sac R,0.258 (0.056),18,16,MillCk_RST_Rel
TowerBridge,19,0.258,0.056,0.16,0.38,1,2020-04-19_MillCk_RST_Rel,2020-04-19,172,38.5802,-121.508,Lower Sac R,0.258 (0.056),19,16,MillCk_RST_Rel
I80-50_Br,20,0.258,0.056,0.16,0.38,1,2020-04-19_MillCk_RST_Rel,2020-04-19,170.748,38.571133,-121.5164,Lower Sac R,0.258 (0.056),20,16,MillCk_RST_Rel
Benicia,21,0.194,0.05,0.11,0.31,1,2020-04-19_MillCk_RST_Rel,2020-04-19,52.144000000000005,38.0423015,-122.1236,Carquinez Strait,0.194 (0.05),21,12,MillCk_RST_Rel
GoldenGateE,22,0.155,0.049,0.08,0.28,1,2020-04-19_MillCk_RST_Rel,2020-04-19,1.71,37.82794,-122.46168,SF Bay,0.155 (0.049),22,6,MillCk_RST_Rel
MillCk_RST_Rel,0.5,1,0,0,0,2,2020-05-19_MillCk_RST_Rel,2020-05-19,450.703,40.05479,-122.032104,Mill Ck,1 (NA),0.5,9,MillCk_RST_Rel
Mill_Ck_Conf,1,0.454,0.169,0.18,0.76,2,2020-05-19_MillCk_RST_Rel,2020-05-19,441.318,40.0327,-122.11987,Upper Sac R,0.454 (0.169),1,4,MillCk_RST_Rel
Abv_WoodsonBr,2,0.333,0.157,0.11,0.67,2,2020-05-19_MillCk_RST_Rel,2020-05-19,425.158,39.920094,-122.08446000000001,Upper Sac R,0.333 (0.157),2,3,MillCk_RST_Rel
GCID,3,0.333,0.157,0.11,0.67,2,2020-05-19_MillCk_RST_Rel,2020-05-19,404.9413333333333,39.796839,-122.049394,Upper Sac R,0.333 (0.157),3,3,MillCk_RST_Rel
Blw_IrvineFinch,4,0.333,0.157,0.11,0.67,2,2020-05-19_MillCk_RST_Rel,2020-05-19,394.668,39.73146,-121.97483,Upper Sac R,0.333 (0.157),4,3,MillCk_RST_Rel
