GEN,reach,cum.phi,cum.phi.se,LCI,UCI,group,release,mean_rel_date,studyID,GenRKM,GenLat,GenLon,Region,Survival estimate (SE),reach_num,count,release_site
MillCk_RST_Rel,0.5,1,0,0,0,1,2022-05-15_MillCk_RST_Rel,2022-05-15,MillCk_Wild_STH_2022,450.703,40.05479,-122.032104,Mill Ck,1 (NA),0.5,13,MillCk_RST_Rel
Abv_WoodsonBr,1,0.385,0.135,0.17,0.66,1,2022-05-15_MillCk_RST_Rel,2022-05-15,MillCk_Wild_STH_2022,425.158,39.920094,-122.08446000000001,Upper Sac R,0.385 (0.135),1,4,MillCk_RST_Rel
Abv_Otter_Island,2,0.385,0.135,0.17,0.66,1,2022-05-15_MillCk_RST_Rel,2022-05-15,MillCk_Wild_STH_2022,419.398,39.882027,-122.064445,Upper Sac R,0.385 (0.135),2,5,MillCk_RST_Rel
Ord,3,0.154,0.1,0.04,0.45,1,2022-05-15_MillCk_RST_Rel,2022-05-15,MillCk_Wild_STH_2022,371.658,39.63447,-121.98959,Upper Sac R,0.154 (0.1),3,2,MillCk_RST_Rel
BlwOrd,4,0.154,0.1,0.04,0.45,1,2022-05-15_MillCk_RST_Rel,2022-05-15,MillCk_Wild_STH_2022,361.728,39.56548,-122.0018,Upper Sac R,0.154 (0.1),4,2,MillCk_RST_Rel
Colusa AC3,5,0.077,0.074,0.01,0.39,1,2022-05-15_MillCk_RST_Rel,2022-05-15,MillCk_Wild_STH_2022,331.158,39.36038,-122.01373,Lower Sac R,0.077 (0.074),5,1,MillCk_RST_Rel
Colusa AC2,6,0.077,0.074,0.01,0.39,1,2022-05-15_MillCk_RST_Rel,2022-05-15,MillCk_Wild_STH_2022,318.618,39.28007,-122.01891,Lower Sac R,0.077 (0.074),6,1,MillCk_RST_Rel
AbvColusaBr,7,0.077,0.074,0.01,0.39,1,2022-05-15_MillCk_RST_Rel,2022-05-15,MillCk_Wild_STH_2022,307.738,39.2205,-122.00847,Lower Sac R,0.077 (0.074),7,1,MillCk_RST_Rel
Colusa BC2,8,0.077,0.074,0.01,0.39,1,2022-05-15_MillCk_RST_Rel,2022-05-15,MillCk_Wild_STH_2022,296.278,39.184963,-121.943214,Lower Sac R,0.077 (0.074),8,1,MillCk_RST_Rel
MeridanBr,9,0.077,0.074,0.01,0.39,1,2022-05-15_MillCk_RST_Rel,2022-05-15,MillCk_Wild_STH_2022,290.848,39.145542,-121.917984,Lower Sac R,0.077 (0.074),9,1,MillCk_RST_Rel
Colusa BC3,10,0.077,0.074,0.01,0.39,1,2022-05-15_MillCk_RST_Rel,2022-05-15,MillCk_Wild_STH_2022,287.208,39.13132,-121.936554,Lower Sac R,0.077 (0.074),10,1,MillCk_RST_Rel
AbvTisdale,11,0.077,0.074,0.01,0.39,1,2022-05-15_MillCk_RST_Rel,2022-05-15,MillCk_Wild_STH_2022,269.238,39.0364,-121.82918,Lower Sac R,0.077 (0.074),11,1,MillCk_RST_Rel
Knights_RST,12,0.077,0.074,0.01,0.39,1,2022-05-15_MillCk_RST_Rel,2022-05-15,MillCk_Wild_STH_2022,222.05,38.79248,-121.69087,Lower Sac R,0.077 (0.074),12,1,MillCk_RST_Rel
KnightsBlwRST,13,0.077,0.074,0.01,0.39,1,2022-05-15_MillCk_RST_Rel,2022-05-15,MillCk_Wild_STH_2022,221.58,38.78877,-121.694,Lower Sac R,0.077 (0.074),13,1,MillCk_RST_Rel
Abv_FremontWeir,14,0.077,0.074,0.01,0.39,1,2022-05-15_MillCk_RST_Rel,2022-05-15,MillCk_Wild_STH_2022,215.18,38.76009,-121.67145,Lower Sac R,0.077 (0.074),14,1,MillCk_RST_Rel
Blw_Knights_GS3,15,0.077,0.074,0.01,0.39,1,2022-05-15_MillCk_RST_Rel,2022-05-15,MillCk_Wild_STH_2022,212.8,38.75972,-121.67329,Lower Sac R,0.077 (0.074),15,1,MillCk_RST_Rel
Blw_FremontWeir,16,0.077,0.074,0.01,0.39,1,2022-05-15_MillCk_RST_Rel,2022-05-15,MillCk_Wild_STH_2022,210.36,38.77015,-121.6322,Lower Sac R,0.077 (0.074),16,1,MillCk_RST_Rel
SacFeather,17,0.077,0.074,0.01,0.39,1,2022-05-15_MillCk_RST_Rel,2022-05-15,MillCk_Wild_STH_2022,205.76,38.785244,-121.62445,Lower Sac R,0.077 (0.074),17,1,MillCk_RST_Rel
Blw_FRConf,18,0.077,0.074,0.01,0.39,1,2022-05-15_MillCk_RST_Rel,2022-05-15,MillCk_Wild_STH_2022,203.468,38.77409,-121.60043,Lower Sac R,0.077 (0.074),18,1,MillCk_RST_Rel
Blw_Elkhorn_GS1,19,0.077,0.074,0.01,0.39,1,2022-05-15_MillCk_RST_Rel,2022-05-15,MillCk_Wild_STH_2022,191.92,38.64737,-121.57771,Lower Sac R,0.077 (0.074),19,1,MillCk_RST_Rel
TowerBridge,20,0.077,0.074,0.01,0.39,1,2022-05-15_MillCk_RST_Rel,2022-05-15,MillCk_Wild_STH_2022,172,38.5802,-121.508,Lower Sac R,0.077 (0.074),20,1,MillCk_RST_Rel
SacTrawl,21,0.077,0.074,0.01,0.39,1,2022-05-15_MillCk_RST_Rel,2022-05-15,MillCk_Wild_STH_2022,166.8225,38.539519999999996,-121.51444000000001,Lower Sac R,0.077 (0.074),21,1,MillCk_RST_Rel
Little Pocket_DS of I80,22,0.077,0.074,0.01,0.39,1,2022-05-15_MillCk_RST_Rel,2022-05-15,MillCk_Wild_STH_2022,164.387,38.52448,-121.52849,Lower Sac R,0.077 (0.074),22,1,MillCk_RST_Rel
