GEN,reach,cum.phi,cum.phi.se,LCI,UCI,group,release,mean_rel_date,GenRKM,GenLat,GenLon,Region,Survival estimate (SE),reach_num,count,release_site
AR_Sunrise_Ramp_Rel,0.5,1,0,0,0,1,2017-05-24_AR_Sunrise_Ramp_Rel,2017-05-24,206.04,38.63634,-121.26424,Amer R,1 (NA),0.5,146,AR_Sunrise_Ramp_Rel
AR_RanchoCordova,1,0.938,0.02,0.89,0.97,1,2017-05-24_AR_Sunrise_Ramp_Rel,2017-05-24,199.37,38.61468,-121.30276,Amer R,0.938 (0.02),1,137,AR_Sunrise_Ramp_Rel
AR_Downstream_WattAve,2,0.884,0.027,0.82,0.93,1,2017-05-24_AR_Sunrise_Ramp_Rel,2017-05-24,188.07,38.56572,-121.39069,Amer R,0.884 (0.027),2,127,AR_Sunrise_Ramp_Rel
AR_Mouth,3,0.802,0.033,0.73,0.86,1,2017-05-24_AR_Sunrise_Ramp_Rel,2017-05-24,174.27,38.59999,-121.50684,Amer R,0.802 (0.033),3,116,AR_Sunrise_Ramp_Rel
TowerBridge,4,0.754,0.036,0.68,0.82,1,2017-05-24_AR_Sunrise_Ramp_Rel,2017-05-24,172,38.5802,-121.508,Lower Sac R,0.754 (0.036),4,109,AR_Sunrise_Ramp_Rel
I80-50_Br,5,0.737,0.037,0.66,0.8,1,2017-05-24_AR_Sunrise_Ramp_Rel,2017-05-24,170.74,38.571133,-121.5164,Lower Sac R,0.737 (0.037),5,93,AR_Sunrise_Ramp_Rel
SacTrawl,6,0.705,0.038,0.63,0.77,1,2017-05-24_AR_Sunrise_Ramp_Rel,2017-05-24,166.815,38.539519999999996,-121.51444000000001,Lower Sac R,0.705 (0.038),6,103,AR_Sunrise_Ramp_Rel
Chipps,7,0.227,0.035,0.17,0.3,1,2017-05-24_AR_Sunrise_Ramp_Rel,2017-05-24,71.47999999999999,38.046132,-121.912643,West Delta,0.227 (0.035),7,31,AR_Sunrise_Ramp_Rel
Benicia,8,0.199,0.033,0.14,0.27,1,2017-05-24_AR_Sunrise_Ramp_Rel,2017-05-24,52.04,38.041233,-122.12382,Carquinez Strait,0.199 (0.033),8,29,AR_Sunrise_Ramp_Rel
GoldenGateE,9,0.137,0.029,0.09,0.2,1,2017-05-24_AR_Sunrise_Ramp_Rel,2017-05-24,1.71,37.82794,-122.46168,SF Bay,0.137 (0.029),9,20,AR_Sunrise_Ramp_Rel
AR_Sunrise_Ramp_Rel,0.5,1,0,0,0,2,2017-05-31_AR_Sunrise_Ramp_Rel,2017-05-31,206.04,38.63634,-121.26424,Amer R,1 (NA),0.5,146,AR_Sunrise_Ramp_Rel
AR_RanchoCordova,1,0.938,0.02,0.89,0.97,2,2017-05-31_AR_Sunrise_Ramp_Rel,2017-05-31,199.37,38.61468,-121.30276,Amer R,0.938 (0.02),1,137,AR_Sunrise_Ramp_Rel
AR_Downstream_WattAve,2,0.809,0.033,0.74,0.86,2,2017-05-31_AR_Sunrise_Ramp_Rel,2017-05-31,188.07,38.56572,-121.39069,Amer R,0.809 (0.033),2,118,AR_Sunrise_Ramp_Rel
AR_Mouth,3,0.692,0.038,0.61,0.76,2,2017-05-31_AR_Sunrise_Ramp_Rel,2017-05-31,174.27,38.59999,-121.50684,Amer R,0.692 (0.038),3,101,AR_Sunrise_Ramp_Rel
TowerBridge,4,0.658,0.039,0.58,0.73,2,2017-05-31_AR_Sunrise_Ramp_Rel,2017-05-31,172,38.5802,-121.508,Lower Sac R,0.658 (0.039),4,95,AR_Sunrise_Ramp_Rel
I80-50_Br,5,0.651,0.039,0.57,0.72,2,2017-05-31_AR_Sunrise_Ramp_Rel,2017-05-31,170.74,38.571133,-121.5164,Lower Sac R,0.651 (0.039),5,81,AR_Sunrise_Ramp_Rel
SacTrawl,6,0.651,0.039,0.57,0.72,2,2017-05-31_AR_Sunrise_Ramp_Rel,2017-05-31,166.815,38.539519999999996,-121.51444000000001,Lower Sac R,0.651 (0.039),6,95,AR_Sunrise_Ramp_Rel
Chipps,7,0.166,0.031,0.11,0.24,2,2017-05-31_AR_Sunrise_Ramp_Rel,2017-05-31,71.47999999999999,38.046132,-121.912643,West Delta,0.166 (0.031),7,24,AR_Sunrise_Ramp_Rel
Benicia,8,0.123,0.027,0.08,0.19,2,2017-05-31_AR_Sunrise_Ramp_Rel,2017-05-31,52.04,38.041233,-122.12382,Carquinez Strait,0.123 (0.027),8,18,AR_Sunrise_Ramp_Rel
GoldenGateE,9,0.068,0.021,0.04,0.12,2,2017-05-31_AR_Sunrise_Ramp_Rel,2017-05-31,1.71,37.82794,-122.46168,SF Bay,0.068 (0.021),9,9,AR_Sunrise_Ramp_Rel
