GEN,reach,cum.phi,cum.phi.se,LCI,UCI,group,release,mean_rel_date,studyID,GenRKM,GenLat,GenLon,Region,Survival estimate (SE),reach_num,count,release_site
RBDD_Rel,0.5,1,0,0,0,1,2017-06-06_RBDD_Rel,2017-06-06,RBDD_2017,461.57,40.15444,-122.20249,Upper Sac R,1 (NA),0.5,44,RBDD_Rel
RBDD1,1,0.955,0.031,0.84,0.99,1,2017-06-06_RBDD_Rel,2017-06-06,RBDD_2017,461.23,40.153008,-122.198235,Upper Sac R,0.955 (0.031),1,39,RBDD_Rel
RBDD2,2,0.955,0.031,0.84,0.99,1,2017-06-06_RBDD_Rel,2017-06-06,RBDD_2017,460.78,40.1537,-122.19318,Upper Sac R,0.955 (0.031),2,42,RBDD_Rel
Blw_Salt,3,0.944,0.041,0.79,0.99,1,2017-06-06_RBDD_Rel,2017-06-06,RBDD_2017,456.88,40.1464,-122.15246,Upper Sac R,0.944 (0.041),3,40,RBDD_Rel
GCID,4,0.619,0.074,0.47,0.75,1,2017-06-06_RBDD_Rel,2017-06-06,RBDD_2017,404.42,39.79114,-122.036026,Upper Sac R,0.619 (0.074),4,26,RBDD_Rel
Blw_IrvineFinch,5,0.509,0.077,0.36,0.66,1,2017-06-06_RBDD_Rel,2017-06-06,RBDD_2017,394.66,39.73146,-121.97483,Upper Sac R,0.509 (0.077),5,21,RBDD_Rel
BlwOrd,6,0.364,0.073,0.24,0.51,1,2017-06-06_RBDD_Rel,2017-06-06,RBDD_2017,361.72,39.56548,-122.0018,Upper Sac R,0.364 (0.073),6,15,RBDD_Rel
ButteBr,7,0.364,0.073,0.24,0.51,1,2017-06-06_RBDD_Rel,2017-06-06,RBDD_2017,344.1,39.4569,-121.995,Lower Sac R,0.364 (0.073),7,14,RBDD_Rel
Colusa AC3,8,0.295,0.069,0.18,0.44,1,2017-06-06_RBDD_Rel,2017-06-06,RBDD_2017,331.15,39.359877499999996,-122.01365999999999,Lower Sac R,0.295 (0.069),8,12,RBDD_Rel
Colusa AC2,9,0.295,0.069,0.18,0.44,1,2017-06-06_RBDD_Rel,2017-06-06,RBDD_2017,318.61,39.28007,-122.01891,Lower Sac R,0.295 (0.069),9,13,RBDD_Rel
Colusa BC2,10,0.295,0.069,0.18,0.44,1,2017-06-06_RBDD_Rel,2017-06-06,RBDD_2017,296.27,39.184963,-121.943214,Lower Sac R,0.295 (0.069),10,11,RBDD_Rel
Colusa BC3,11,0.273,0.067,0.16,0.42,1,2017-06-06_RBDD_Rel,2017-06-06,RBDD_2017,287.2,39.13132,-121.936554,Lower Sac R,0.273 (0.067),11,10,RBDD_Rel
AbvTisdale,12,0.273,0.067,0.16,0.42,1,2017-06-06_RBDD_Rel,2017-06-06,RBDD_2017,269.23,39.0364,-121.82918,Lower Sac R,0.273 (0.067),12,11,RBDD_Rel
Knights_RST,13,0.273,0.067,0.16,0.42,1,2017-06-06_RBDD_Rel,2017-06-06,RBDD_2017,222.05,38.79248,-121.69087,Lower Sac R,0.273 (0.067),13,12,RBDD_Rel
Blw_FRConf,14,0.273,0.067,0.16,0.42,1,2017-06-06_RBDD_Rel,2017-06-06,RBDD_2017,203.46,38.78212,-121.61526,Lower Sac R,0.273 (0.067),14,11,RBDD_Rel
TowerBridge,15,0.273,0.067,0.16,0.42,1,2017-06-06_RBDD_Rel,2017-06-06,RBDD_2017,172,38.5802,-121.508,Lower Sac R,0.273 (0.067),15,12,RBDD_Rel
SacTrawl,16,0.273,0.067,0.16,0.42,1,2017-06-06_RBDD_Rel,2017-06-06,RBDD_2017,166.815,38.539519999999996,-121.51444000000001,Lower Sac R,0.273 (0.067),16,12,RBDD_Rel
Chipps,17,0.136,0.052,0.06,0.27,1,2017-06-06_RBDD_Rel,2017-06-06,RBDD_2017,71.47999999999999,38.046132,-121.912643,West Delta,0.136 (0.052),17,6,RBDD_Rel
Benicia,18,0.114,0.048,0.05,0.24,1,2017-06-06_RBDD_Rel,2017-06-06,RBDD_2017,52.04,38.041233,-122.12382,Carquinez Strait,0.114 (0.048),18,5,RBDD_Rel
GoldenGateE,19,0.091,0.043,0.04,0.22,1,2017-06-06_RBDD_Rel,2017-06-06,RBDD_2017,1.71,37.82794,-122.46168,SF Bay,0.091 (0.043),19,3,RBDD_Rel
