GEN,reach,cum.phi,cum.phi.se,LCI,UCI,group,release,mean_rel_date,GenRKM,GenLat,GenLon,Region,Survival estimate (SE),reach_num,count,release_site
RBDD_Rel,0.5,1,0,0,0,1,2018-05-12_RBDD_Rel,2018-05-12,461.579,40.15444,-122.20249,Upper Sac R,1 (NA),0.5,18,RBDD_Rel
JV_Glide1,1,1,0,0,0,1,2018-05-12_RBDD_Rel,2018-05-12,458.672,40.146988,-122.17251,Upper Sac R,1 (0),1,18,RBDD_Rel
BankRobber,2,0.944,0.054,0.69,0.99,1,2018-05-12_RBDD_Rel,2018-05-12,452.5,40.11399,-122.13354,Upper Sac R,0.944 (0.054),2,17,RBDD_Rel
Mill_Ck_Conf,3,0.778,0.098,0.54,0.91,1,2018-05-12_RBDD_Rel,2018-05-12,441.318,40.0327,-122.11987,Upper Sac R,0.778 (0.098),3,14,RBDD_Rel
Abv_WoodsonBr,4,0.556,0.117,0.33,0.76,1,2018-05-12_RBDD_Rel,2018-05-12,425.158,39.920094,-122.08446000000001,Upper Sac R,0.556 (0.117),4,10,RBDD_Rel
Blw_Woodson,5,0.444,0.117,0.24,0.67,1,2018-05-12_RBDD_Rel,2018-05-12,421.4,39.898,-122.06787,Upper Sac R,0.444 (0.117),5,8,RBDD_Rel
GCID,6,0.278,0.106,0.12,0.52,1,2018-05-12_RBDD_Rel,2018-05-12,405.273,39.798953499999996,-122.04724300000001,Upper Sac R,0.278 (0.106),6,5,RBDD_Rel
Blw_IrvineFinch,7,0.113,0.075,0.03,0.36,1,2018-05-12_RBDD_Rel,2018-05-12,394.668,39.73146,-121.97483,Upper Sac R,0.113 (0.075),7,2,RBDD_Rel
BlwOrd,8,0.056,0.054,0.01,0.31,1,2018-05-12_RBDD_Rel,2018-05-12,361.728,39.56548,-122.0018,Upper Sac R,0.056 (0.054),8,1,RBDD_Rel
ButteBr,9,0.056,0.054,0.01,0.31,1,2018-05-12_RBDD_Rel,2018-05-12,344.108,39.4569,-121.995,Lower Sac R,0.056 (0.054),9,1,RBDD_Rel
Colusa AC3,10,0.056,0.054,0.01,0.31,1,2018-05-12_RBDD_Rel,2018-05-12,331.158,39.36038,-122.01373,Lower Sac R,0.056 (0.054),10,1,RBDD_Rel
Colusa AC2,11,0.056,0.054,0.01,0.31,1,2018-05-12_RBDD_Rel,2018-05-12,318.618,39.28007,-122.01891,Lower Sac R,0.056 (0.054),11,1,RBDD_Rel
AbvColusaBr,12,0.056,0.054,0.01,0.31,1,2018-05-12_RBDD_Rel,2018-05-12,307.738,39.2205,-122.00847,Lower Sac R,0.056 (0.054),12,1,RBDD_Rel
Colusa BC2,13,0.056,0.054,0.01,0.31,1,2018-05-12_RBDD_Rel,2018-05-12,296.278,39.184963,-121.943214,Lower Sac R,0.056 (0.054),13,1,RBDD_Rel
Colusa BC3,14,0.056,0.054,0.01,0.31,1,2018-05-12_RBDD_Rel,2018-05-12,287.208,39.13132,-121.936554,Lower Sac R,0.056 (0.054),14,1,RBDD_Rel
Colusa BC4,15,0.056,0.054,0.01,0.31,1,2018-05-12_RBDD_Rel,2018-05-12,280.4,39.09362,-121.89405,Lower Sac R,0.056 (0.054),15,1,RBDD_Rel
AbvTisdale,16,0.056,0.054,0.01,0.31,1,2018-05-12_RBDD_Rel,2018-05-12,269.238,39.0364,-121.82918,Lower Sac R,0.056 (0.054),16,1,RBDD_Rel
BlwTisdale,17,0.056,0.054,0.01,0.31,1,2018-05-12_RBDD_Rel,2018-05-12,261.408,38.98941,-121.80463,Lower Sac R,0.056 (0.054),17,1,RBDD_Rel
BlwChinaBend,18,0.056,0.054,0.01,0.31,1,2018-05-12_RBDD_Rel,2018-05-12,240.618,38.88406,-121.81713,Lower Sac R,0.056 (0.054),18,1,RBDD_Rel
Knights_RST,19,0.056,0.054,0.01,0.31,1,2018-05-12_RBDD_Rel,2018-05-12,222.05,38.79248,-121.69087,Lower Sac R,0.056 (0.054),19,1,RBDD_Rel
Abv_FremontWeir,20,0.056,0.054,0.01,0.31,1,2018-05-12_RBDD_Rel,2018-05-12,215.18,38.76009,-121.67145,Lower Sac R,0.056 (0.054),20,1,RBDD_Rel
Blw_FRConf,21,0.056,0.054,0.01,0.31,1,2018-05-12_RBDD_Rel,2018-05-12,203.468,38.77409,-121.60043,Lower Sac R,0.056 (0.054),21,1,RBDD_Rel
TowerBridge,22,0.056,0.054,0.01,0.31,1,2018-05-12_RBDD_Rel,2018-05-12,172,38.5802,-121.508,Lower Sac R,0.056 (0.054),22,1,RBDD_Rel
RBDD_Rel,0.5,1,0,0,0,2,2018-05-21_RBDD_Rel,2018-05-21,461.579,40.15444,-122.20249,Upper Sac R,1 (NA),0.5,84,RBDD_Rel
JV_Glide1,1,0.952,0.023,0.88,0.98,2,2018-05-21_RBDD_Rel,2018-05-21,458.672,40.146988,-122.17251,Upper Sac R,0.952 (0.023),1,80,RBDD_Rel
BankRobber,2,0.845,0.039,0.75,0.91,2,2018-05-21_RBDD_Rel,2018-05-21,452.5,40.11399,-122.13354,Upper Sac R,0.845 (0.039),2,71,RBDD_Rel
Mill_Ck_Conf,3,0.786,0.045,0.69,0.86,2,2018-05-21_RBDD_Rel,2018-05-21,441.318,40.0327,-122.11987,Upper Sac R,0.786 (0.045),3,66,RBDD_Rel
Abv_WoodsonBr,4,0.643,0.052,0.54,0.74,2,2018-05-21_RBDD_Rel,2018-05-21,425.158,39.920094,-122.08446000000001,Upper Sac R,0.643 (0.052),4,54,RBDD_Rel
Blw_Woodson,5,0.56,0.054,0.45,0.66,2,2018-05-21_RBDD_Rel,2018-05-21,421.4,39.898,-122.06787,Upper Sac R,0.56 (0.054),5,47,RBDD_Rel
GCID,6,0.5,0.055,0.4,0.6,2,2018-05-21_RBDD_Rel,2018-05-21,405.273,39.798953499999996,-122.04724300000001,Upper Sac R,0.5 (0.055),6,42,RBDD_Rel
Blw_IrvineFinch,7,0.373,0.053,0.28,0.48,2,2018-05-21_RBDD_Rel,2018-05-21,394.668,39.73146,-121.97483,Upper Sac R,0.373 (0.053),7,30,RBDD_Rel
BlwOrd,8,0.25,0.047,0.17,0.35,2,2018-05-21_RBDD_Rel,2018-05-21,361.728,39.56548,-122.0018,Upper Sac R,0.25 (0.047),8,21,RBDD_Rel
ButteBr,9,0.226,0.046,0.15,0.33,2,2018-05-21_RBDD_Rel,2018-05-21,344.108,39.4569,-121.995,Lower Sac R,0.226 (0.046),9,19,RBDD_Rel
