cum.phi,cum.phi.se,LCI,UCI,StudyID,GEN,RKM,reach_num,Region,count,GenLat,GenLon
1,0,1,1,SB_Spring_2015,SutterBypass_Weir2_RST_Rel,249.54,0,Sutter Bypass,141,39.10239,-121.758804
0.936,0.021,0.882,0.966,SB_Spring_2015,Butte1,249.05,1,Sutter Bypass,132,39.09834,-121.75655
0.667,0.04,0.585,0.739,SB_Spring_2015,Butte2,238.46,2,Sutter Bypass,94,39.00687,-121.72227
0.61,0.041,0.527,0.687,SB_Spring_2015,Butte3,226.46,3,Sutter Bypass,86,38.92734,-121.62995
0.255,0.037,0.19,0.334,SB_Spring_2015,Butte5,216.98,4,Sutter Bypass,36,38.85305,-121.65151
0.191,0.033,0.135,0.265,SB_Spring_2015,Butte6,206.48,5,Sutter Bypass,27,38.78346,-121.63226
0.142,0.029,0.093,0.21,SB_Spring_2015,I80-50_Br,170.74,6,Lower Sac R,20,38.571133,-121.5164
0.099,0.025,0.06,0.161,SB_Spring_2015,Freeport,152.43,7,Lower Sac R,14,38.46467,-121.50501
0.085,0.023,0.049,0.144,SB_Spring_2015,Hood,138.22,8,Lower Sac R,12,38.3617,-121.52033
0.05,0.018,0.024,0.1,SB_Spring_2015,Blw_Hood,134.42,9,Lower Sac R,7,38.34365,-121.5552
0.007,0.007,0.001,0.049,SB_Spring_2015,Benicia,52.04,10,Carquinez Strait,1,38.041233,-122.12382
0.007,0.007,0.001,0.049,SB_Spring_2015,GoldenGateE,1.71,11,SF Bay,1,37.82794,-122.46168
