GEN,reach,cum.phi,cum.phi.se,LCI,UCI,group,release,mean_rel_date,studyID,GenRKM,GenLat,GenLon,Region,Survival estimate (SE),reach_num,count,release_site
SutterBypass_Weir2_RST_Rel,0.5,1,0,0,0,1,2019-05-07_SutterBypass_Weir2_RST_Rel,2019-05-07,SB_Spring_2019,249.54,39.10239,-121.758804,Sutter Bypass,1 (NA),0.5,205,SutterBypass_Weir2_RST_Rel
Blw_FRConf,1,0.212,0,0,0,1,2019-05-07_SutterBypass_Weir2_RST_Rel,2019-05-07,SB_Spring_2019,203.46,38.78212,-121.61526,Lower Sac R,0.212 (NaN),1,41,SutterBypass_Weir2_RST_Rel
TowerBridge,2,0.166,0,0,0,1,2019-05-07_SutterBypass_Weir2_RST_Rel,2019-05-07,SB_Spring_2019,172,38.5802,-121.508,Lower Sac R,0.166 (NaN),2,32,SutterBypass_Weir2_RST_Rel
I80-50_Br,3,0.166,0,0,0,1,2019-05-07_SutterBypass_Weir2_RST_Rel,2019-05-07,SB_Spring_2019,170.74,38.571133,-121.5164,Lower Sac R,0.166 (NaN),3,31,SutterBypass_Weir2_RST_Rel
SacTrawl,4,0.166,0,0,0,1,2019-05-07_SutterBypass_Weir2_RST_Rel,2019-05-07,SB_Spring_2019,166.815,38.539519999999996,-121.51444000000001,Lower Sac R,0.166 (NaN),4,34,SutterBypass_Weir2_RST_Rel
Freeport,5,0.153,0,0,0,1,2019-05-07_SutterBypass_Weir2_RST_Rel,2019-05-07,SB_Spring_2019,152.43,38.46467,-121.50501,Lower Sac R,0.153 (NaN),5,30,SutterBypass_Weir2_RST_Rel
Hood,6,0.153,0,0,0,1,2019-05-07_SutterBypass_Weir2_RST_Rel,2019-05-07,SB_Spring_2019,138.22,38.3617,-121.52033,Lower Sac R,0.153 (NaN),6,22,SutterBypass_Weir2_RST_Rel
Chipps,7,0.024,0,0,0,1,2019-05-07_SutterBypass_Weir2_RST_Rel,2019-05-07,SB_Spring_2019,71.47999999999999,38.046132,-121.912643,West Delta,0.024 (NaN),7,5,SutterBypass_Weir2_RST_Rel
Benicia,8,0.015,0,0,0,1,2019-05-07_SutterBypass_Weir2_RST_Rel,2019-05-07,SB_Spring_2019,52.14,38.0423015,-122.1236,Carquinez Strait,0.015 (NaN),8,3,SutterBypass_Weir2_RST_Rel
GoldenGateE,9,0.01,0,0,0,1,2019-05-07_SutterBypass_Weir2_RST_Rel,2019-05-07,SB_Spring_2019,1.71,37.82794,-122.46168,SF Bay,0.01 (NaN),9,2,SutterBypass_Weir2_RST_Rel
