GEN,reach,cum.phi,cum.phi.se,LCI,UCI,group,release,mean_rel_date,GenRKM,GenLat,GenLon,Region,Survival estimate (SE),reach_num,count,release_site
Stockton_Rel,3.5,1,0,0,0,1,2022-03-16_Stockton_Rel,2022-03-16,135.5,37.937782,-121.33374,South Delta,1 (NA),3.5,100,Stockton_Rel
Chipps,4,0.12,0.032,0.07,0.2,1,2022-03-16_Stockton_Rel,2022-03-16,71.48599999999999,38.046132,-121.912643,West Delta,0.12 (0.032),4,11,Stockton_Rel
Benicia,5,0.12,0.032,0.07,0.2,1,2022-03-16_Stockton_Rel,2022-03-16,52.144000000000005,38.0423015,-122.1236,Carquinez Strait,0.12 (0.032),5,12,Stockton_Rel
GoldenGateE,6,0.093,0.033,0.05,0.18,1,2022-03-16_Stockton_Rel,2022-03-16,1.71,37.82794,-122.46168,SF Bay,0.093 (0.033),6,6,Stockton_Rel
Head_of_Old_River_Rel,3.5,1,0,0,0,2,2022-03-16_Head_of_Old_River_Rel,2022-03-16,156,37.807888,-121.329475,South Delta,1 (NA),3.5,144,Head_of_Old_River_Rel
Chipps,4,0.104,0.025,0.06,0.17,2,2022-03-16_Head_of_Old_River_Rel,2022-03-16,71.48599999999999,38.046132,-121.912643,West Delta,0.104 (0.025),4,15,Head_of_Old_River_Rel
Benicia,5,0.09,0.024,0.05,0.15,2,2022-03-16_Head_of_Old_River_Rel,2022-03-16,52.144000000000005,38.0423015,-122.1236,Carquinez Strait,0.09 (0.024),5,13,Head_of_Old_River_Rel
GoldenGateE,6,0.072,0.024,0.04,0.14,2,2022-03-16_Head_of_Old_River_Rel,2022-03-16,1.71,37.82794,-122.46168,SF Bay,0.072 (0.024),6,9,Head_of_Old_River_Rel
DurhamFerry_Rel,0.5,1,0,0,0,3,2022-03-16_DurhamFerry_Rel,2022-03-16,183.58,37.6878,-121.26219,San Joaquin River,1 (NA),0.5,248,DurhamFerry_Rel
Durhamferry,1,0.694,0.03,0.63,0.75,3,2022-03-16_DurhamFerry_Rel,2022-03-16,181.8,37.69146,-121.27106,San Joaquin River,0.694 (0.03),1,166,DurhamFerry_Rel
SJ_BCA,2,0.464,0.032,0.4,0.53,3,2022-03-16_DurhamFerry_Rel,2022-03-16,171.701,37.73305,-121.29555,San Joaquin River,0.464 (0.032),2,113,DurhamFerry_Rel
SJ_Mossdale_1,3,0.36,0.033,0.3,0.43,3,2022-03-16_DurhamFerry_Rel,2022-03-16,163.141,37.7920615,-121.306925,San Joaquin River,0.36 (0.033),3,87,DurhamFerry_Rel
Chipps,4,0.052,0.014,0.03,0.09,3,2022-03-16_DurhamFerry_Rel,2022-03-16,71.48599999999999,38.046132,-121.912643,West Delta,0.052 (0.014),4,13,DurhamFerry_Rel
Benicia,5,0.052,0.014,0.03,0.09,3,2022-03-16_DurhamFerry_Rel,2022-03-16,52.144000000000005,38.0423015,-122.1236,Carquinez Strait,0.052 (0.014),5,13,DurhamFerry_Rel
GoldenGateE,6,0.04,0.012,0.02,0.07,3,2022-03-16_DurhamFerry_Rel,2022-03-16,1.71,37.82794,-122.46168,SF Bay,0.04 (0.012),6,5,DurhamFerry_Rel
Stockton_Rel,3.5,1,0,0,0,4,2022-04-20_Stockton_Rel,2022-04-20,135.5,37.937782,-121.33374,South Delta,1 (NA),3.5,100,Stockton_Rel
Chipps,4,0.21,0.041,0.14,0.3,4,2022-04-20_Stockton_Rel,2022-04-20,71.48599999999999,38.046132,-121.912643,West Delta,0.21 (0.041),4,21,Stockton_Rel
