GEN,reach,cum.phi,cum.phi.se,LCI,UCI,group,release,mean_rel_date,GenRKM,GenLat,GenLon,Region,Survival estimate (SE),reach_num,count,release_site
RBDD_Rel,0.5,1,0,0,0,1,2022-04-17_RBDD_Rel,2022-04-17,461.579,40.15444,-122.20249,Upper Sac R,1 (NA),0.5,299,RBDD_Rel
Altube,1,0.98,0.008,0.96,0.99,1,2022-04-17_RBDD_Rel,2022-04-17,460.2365,40.15348,-122.1887,Upper Sac R,0.98 (0.008),1,293,RBDD_Rel
Mill_Ck_Conf,2,0.866,0.02,0.82,0.9,1,2022-04-17_RBDD_Rel,2022-04-17,441.318,40.0327,-122.11987,Upper Sac R,0.866 (0.02),2,259,RBDD_Rel
Abv_WoodsonBr,3,0.776,0.024,0.73,0.82,1,2022-04-17_RBDD_Rel,2022-04-17,425.158,39.920094,-122.08446000000001,Upper Sac R,0.776 (0.024),3,231,RBDD_Rel
Abv_Otter_Island,4,0.765,0.025,0.71,0.81,1,2022-04-17_RBDD_Rel,2022-04-17,419.398,39.882027,-122.064445,Upper Sac R,0.765 (0.025),4,221,RBDD_Rel
GCID,5,0.689,0.027,0.63,0.74,1,2022-04-17_RBDD_Rel,2022-04-17,405.273,39.798953499999996,-122.04724300000001,Upper Sac R,0.689 (0.027),5,206,RBDD_Rel
BlwOrd,6,0.506,0.029,0.45,0.56,1,2022-04-17_RBDD_Rel,2022-04-17,361.728,39.56548,-122.0018,Upper Sac R,0.506 (0.029),6,150,RBDD_Rel
Colusa AC3,7,0.418,0.029,0.36,0.48,1,2022-04-17_RBDD_Rel,2022-04-17,331.158,39.36038,-122.01373,Lower Sac R,0.418 (0.029),7,125,RBDD_Rel
Colusa AC2,8,0.408,0.029,0.35,0.47,1,2022-04-17_RBDD_Rel,2022-04-17,318.618,39.28007,-122.01891,Lower Sac R,0.408 (0.029),8,113,RBDD_Rel
AbvColusaBr,9,0.375,0.028,0.32,0.43,1,2022-04-17_RBDD_Rel,2022-04-17,307.738,39.2205,-122.00847,Lower Sac R,0.375 (0.028),9,108,RBDD_Rel
Colusa BC2,10,0.355,0.028,0.3,0.41,1,2022-04-17_RBDD_Rel,2022-04-17,296.278,39.184963,-121.943214,Lower Sac R,0.355 (0.028),10,103,RBDD_Rel
MeridanBr,11,0.333,0.028,0.28,0.39,1,2022-04-17_RBDD_Rel,2022-04-17,290.848,39.145542,-121.917984,Lower Sac R,0.333 (0.028),11,91,RBDD_Rel
AbvTisdale,12,0.248,0.025,0.2,0.3,1,2022-04-17_RBDD_Rel,2022-04-17,269.238,39.0364,-121.82918,Lower Sac R,0.248 (0.025),12,73,RBDD_Rel
BlwTisdale,13,0.244,0.025,0.2,0.3,1,2022-04-17_RBDD_Rel,2022-04-17,261.408,38.98941,-121.80463,Lower Sac R,0.244 (0.025),13,73,RBDD_Rel
BlwChinaBend,14,0.194,0.023,0.15,0.24,1,2022-04-17_RBDD_Rel,2022-04-17,240.618,38.88406,-121.81713,Lower Sac R,0.194 (0.023),14,56,RBDD_Rel
Knights_RST,15,0.181,0.022,0.14,0.23,1,2022-04-17_RBDD_Rel,2022-04-17,222.05,38.79348,-121.6914625,Lower Sac R,0.181 (0.022),15,54,RBDD_Rel
Abv_FremontWeir,16,0.174,0.022,0.14,0.22,1,2022-04-17_RBDD_Rel,2022-04-17,215.18,38.76009,-121.67145,Lower Sac R,0.174 (0.022),16,52,RBDD_Rel
Blw_FRConf,17,0.164,0.021,0.13,0.21,1,2022-04-17_RBDD_Rel,2022-04-17,203.468,38.77409,-121.60043,Lower Sac R,0.164 (0.021),17,49,RBDD_Rel
Blw_Elkhorn_GS1,18,0.152,0.021,0.12,0.2,1,2022-04-17_RBDD_Rel,2022-04-17,191.92,38.64737,-121.57771,Lower Sac R,0.152 (0.021),18,44,RBDD_Rel
TowerBridge,19,0.104,0.018,0.07,0.14,1,2022-04-17_RBDD_Rel,2022-04-17,172,38.5802,-121.508,Lower Sac R,0.104 (0.018),19,31,RBDD_Rel
Freeport,20,0.077,0.015,0.05,0.11,1,2022-04-17_RBDD_Rel,2022-04-17,152.438,38.46467,-121.50501,Lower Sac R,0.077 (0.015),20,23,RBDD_Rel
Hood,21,0.067,0.014,0.04,0.1,1,2022-04-17_RBDD_Rel,2022-04-17,138.228,38.3617,-121.52033,Lower Sac R,0.067 (0.014),21,20,RBDD_Rel
Chipps,22,0.02,0.008,0.01,0.04,1,2022-04-17_RBDD_Rel,2022-04-17,71.48599999999999,38.046132,-121.912643,West Delta,0.02 (0.008),22,6,RBDD_Rel
