GEN,reach,cum.phi,cum.phi.se,LCI,UCI,group,release,mean_rel_date,GenRKM,GenLat,GenLon,Region,Survival estimate (SE),reach_num,count,release_site
RBDD_Rel,0.5,1,0,0,0,1,2021-12-15_RBDD_Rel,2021-12-15,461.579,40.15444,-122.20249,Upper Sac R,1 (NA),0.5,200,RBDD_Rel
Blw_Salt,1,0.949,0.017,0.9,0.97,1,2021-12-15_RBDD_Rel,2021-12-15,456.888,40.1464,-122.15246,Upper Sac R,0.949 (0.017),1,142,RBDD_Rel
Colusa AC2,2,0.829,0.027,0.77,0.88,1,2021-12-15_RBDD_Rel,2021-12-15,318.618,39.28007,-122.01891,Lower Sac R,0.829 (0.027),2,125,RBDD_Rel
AbvColusaBr,3,0.796,0.029,0.74,0.85,1,2021-12-15_RBDD_Rel,2021-12-15,307.738,39.2205,-122.00847,Lower Sac R,0.796 (0.029),3,146,RBDD_Rel
AbvTisdale,4,0.775,0.03,0.71,0.83,1,2021-12-15_RBDD_Rel,2021-12-15,269.238,39.0364,-121.82918,Lower Sac R,0.775 (0.03),4,155,RBDD_Rel
BlwChinaBend,5,0.77,0.03,0.71,0.82,1,2021-12-15_RBDD_Rel,2021-12-15,240.618,38.88406,-121.81713,Lower Sac R,0.77 (0.03),5,130,RBDD_Rel
Knights_RST,6,0.77,0.03,0.71,0.82,1,2021-12-15_RBDD_Rel,2021-12-15,222.05,38.79348,-121.6914625,Lower Sac R,0.77 (0.03),6,153,RBDD_Rel
KnightsBlwRST,7,0.77,0.03,0.71,0.82,1,2021-12-15_RBDD_Rel,2021-12-15,221.58,38.78877,-121.694,Lower Sac R,0.77 (0.03),7,149,RBDD_Rel
Abv_FremontWeir,8,0.77,0.03,0.71,0.82,1,2021-12-15_RBDD_Rel,2021-12-15,215.18,38.76009,-121.67145,Lower Sac R,0.77 (0.03),8,154,RBDD_Rel
Blw_Knights_GS3,9,0.77,0.03,0.71,0.82,1,2021-12-15_RBDD_Rel,2021-12-15,212.8,38.75972,-121.67329,Lower Sac R,0.77 (0.03),9,147,RBDD_Rel
