GEN,reach,cum.phi,cum.phi.se,LCI,UCI,group,release,mean_rel_date,GenRKM,GenLat,GenLon,Region,Survival estimate (SE),reach_num,count,release_site
RBDD_Rel,0.5,1,0,0,0,1,2023-04-18_RBDD_Rel,2023-04-18,461.579,40.15444,-122.20249,Upper Sac R,1 (NA),0.5,251,RBDD_Rel
Altube,1,0.93,0.016,0.89,0.96,1,2023-04-18_RBDD_Rel,2023-04-18,460.4,40.15348,-122.1887,Upper Sac R,0.93 (0.016),1,206,RBDD_Rel
Blw_Salt,2,0.909,0.018,0.87,0.94,1,2023-04-18_RBDD_Rel,2023-04-18,456.888,40.1464,-122.15246,Upper Sac R,0.909 (0.018),2,227,RBDD_Rel
Abv_WoodsonBr,3,0.856,0.022,0.81,0.89,1,2023-04-18_RBDD_Rel,2023-04-18,425.158,39.920094,-122.08446000000001,Upper Sac R,0.856 (0.022),3,213,RBDD_Rel
GCID,4,0.793,0.026,0.74,0.84,1,2023-04-18_RBDD_Rel,2023-04-18,405.273,39.799051000000006,-122.0471165,Upper Sac R,0.793 (0.026),4,198,RBDD_Rel
Ord,5,0.745,0.028,0.69,0.8,1,2023-04-18_RBDD_Rel,2023-04-18,371.658,39.634564999999995,-121.98939,Upper Sac R,0.745 (0.028),5,183,RBDD_Rel
BlwOrd,6,0.73,0.028,0.67,0.78,1,2023-04-18_RBDD_Rel,2023-04-18,361.728,39.56548,-122.0018,Upper Sac R,0.73 (0.028),6,179,RBDD_Rel
AbvButteBr,7,0.699,0.029,0.64,0.75,1,2023-04-18_RBDD_Rel,2023-04-18,347.188,39.4717175,-121.995482,Lower Sac R,0.699 (0.029),7,173,RBDD_Rel
Colusa AC3,8,0.639,0.03,0.58,0.7,1,2023-04-18_RBDD_Rel,2023-04-18,331.158,39.36038,-122.01373,Lower Sac R,0.639 (0.03),8,156,RBDD_Rel
Colusa AC2,9,0.619,0.031,0.56,0.68,1,2023-04-18_RBDD_Rel,2023-04-18,318.618,39.28007,-122.01891,Lower Sac R,0.619 (0.031),9,154,RBDD_Rel
AbvColusaBr,10,0.599,0.031,0.54,0.66,1,2023-04-18_RBDD_Rel,2023-04-18,307.738,39.2205,-122.00847,Lower Sac R,0.599 (0.031),10,148,RBDD_Rel
Colusa BC2,11,0.582,0.031,0.52,0.64,1,2023-04-18_RBDD_Rel,2023-04-18,296.278,39.184963,-121.943214,Lower Sac R,0.582 (0.031),11,144,RBDD_Rel
Colusa BC3,12,0.58,0.031,0.52,0.64,1,2023-04-18_RBDD_Rel,2023-04-18,287.208,39.13132,-121.936554,Lower Sac R,0.58 (0.031),12,137,RBDD_Rel
AbvTisdale,13,0.562,0.031,0.5,0.62,1,2023-04-18_RBDD_Rel,2023-04-18,269.238,39.0364,-121.82918,Lower Sac R,0.562 (0.031),13,141,RBDD_Rel
BlwTisdale,14,0.558,0.031,0.5,0.62,1,2023-04-18_RBDD_Rel,2023-04-18,261.408,38.98941,-121.80463,Lower Sac R,0.558 (0.031),14,140,RBDD_Rel
BlwChinaBend,15,0.554,0.031,0.49,0.61,1,2023-04-18_RBDD_Rel,2023-04-18,240.618,38.88406,-121.81713,Lower Sac R,0.554 (0.031),15,139,RBDD_Rel
Knights_RST,16,0.542,0.031,0.48,0.6,1,2023-04-18_RBDD_Rel,2023-04-18,222.05,38.79248,-121.69087,Lower Sac R,0.542 (0.031),16,136,RBDD_Rel
KnightsBlwRST,17,0.542,0.031,0.48,0.6,1,2023-04-18_RBDD_Rel,2023-04-18,221.58,38.78877,-121.694,Lower Sac R,0.542 (0.031),17,136,RBDD_Rel
Blw_FremontWeir,18,0.542,0.031,0.48,0.6,1,2023-04-18_RBDD_Rel,2023-04-18,210.36,38.77015,-121.6322,Lower Sac R,0.542 (0.031),18,136,RBDD_Rel
TowerBridge,19,0.542,0.031,0.48,0.6,1,2023-04-18_RBDD_Rel,2023-04-18,172,38.5802,-121.508,Lower Sac R,0.542 (0.031),19,121,RBDD_Rel
I80-50_Br,20,0.539,0.032,0.48,0.6,1,2023-04-18_RBDD_Rel,2023-04-18,170.748,38.571133,-121.5164,Lower Sac R,0.539 (0.032),20,126,RBDD_Rel
Freeport,21,0.531,0.032,0.47,0.59,1,2023-04-18_RBDD_Rel,2023-04-18,152.23149999999998,38.46467,-121.50501,Lower Sac R,0.531 (0.032),21,129,RBDD_Rel
Benicia,22,0.422,0.032,0.36,0.49,1,2023-04-18_RBDD_Rel,2023-04-18,52.144000000000005,38.0423015,-122.1236,Carquinez Strait,0.422 (0.032),22,102,RBDD_Rel
GoldenGateE,23,0.33,0.03,0.27,0.39,1,2023-04-18_RBDD_Rel,2023-04-18,1.71,37.82794,-122.46168,SF Bay,0.33 (0.03),23,71,RBDD_Rel
RBDD_Rel,0.5,1,0,0,0,2,2023-04-24_RBDD_Rel,2023-04-24,461.579,40.15444,-122.20249,Upper Sac R,1 (NA),0.5,250,RBDD_Rel
Altube,1,1,0,0,0,2,2023-04-24_RBDD_Rel,2023-04-24,460.4,40.15348,-122.1887,Upper Sac R,1 (0),1,243,RBDD_Rel
Blw_Salt,2,1,0,0,0,2,2023-04-24_RBDD_Rel,2023-04-24,456.888,40.1464,-122.15246,Upper Sac R,1 (0),2,249,RBDD_Rel
Abv_WoodsonBr,3,0.997,0.004,0.95,1,2,2023-04-24_RBDD_Rel,2023-04-24,425.158,39.920094,-122.08446000000001,Upper Sac R,0.997 (0.004),3,244,RBDD_Rel
GCID,4,0.972,0.01,0.94,0.99,2,2023-04-24_RBDD_Rel,2023-04-24,405.273,39.799051000000006,-122.0471165,Upper Sac R,0.972 (0.01),4,243,RBDD_Rel
Ord,5,0.901,0.019,0.86,0.93,2,2023-04-24_RBDD_Rel,2023-04-24,371.658,39.634564999999995,-121.98939,Upper Sac R,0.901 (0.019),5,219,RBDD_Rel
BlwOrd,6,0.866,0.022,0.82,0.9,2,2023-04-24_RBDD_Rel,2023-04-24,361.728,39.56548,-122.0018,Upper Sac R,0.866 (0.022),6,215,RBDD_Rel
AbvButteBr,7,0.754,0.028,0.7,0.8,2,2023-04-24_RBDD_Rel,2023-04-24,347.188,39.4717175,-121.995482,Lower Sac R,0.754 (0.028),7,182,RBDD_Rel
Colusa AC3,8,0.487,0.032,0.42,0.55,2,2023-04-24_RBDD_Rel,2023-04-24,331.158,39.36038,-122.01373,Lower Sac R,0.487 (0.032),8,117,RBDD_Rel
Colusa AC2,9,0.369,0.031,0.31,0.43,2,2023-04-24_RBDD_Rel,2023-04-24,318.618,39.28007,-122.01891,Lower Sac R,0.369 (0.031),9,88,RBDD_Rel
AbvColusaBr,10,0.352,0.03,0.3,0.41,2,2023-04-24_RBDD_Rel,2023-04-24,307.738,39.2205,-122.00847,Lower Sac R,0.352 (0.03),10,84,RBDD_Rel
Colusa BC2,11,0.349,0.03,0.29,0.41,2,2023-04-24_RBDD_Rel,2023-04-24,296.278,39.184963,-121.943214,Lower Sac R,0.349 (0.03),11,81,RBDD_Rel
Colusa BC3,12,0.343,0.03,0.29,0.41,2,2023-04-24_RBDD_Rel,2023-04-24,287.208,39.13132,-121.936554,Lower Sac R,0.343 (0.03),12,74,RBDD_Rel
AbvTisdale,13,0.32,0.03,0.26,0.38,2,2023-04-24_RBDD_Rel,2023-04-24,269.238,39.0364,-121.82918,Lower Sac R,0.32 (0.03),13,80,RBDD_Rel
BlwTisdale,14,0.316,0.029,0.26,0.38,2,2023-04-24_RBDD_Rel,2023-04-24,261.408,38.98941,-121.80463,Lower Sac R,0.316 (0.029),14,78,RBDD_Rel
BlwChinaBend,15,0.288,0.029,0.23,0.35,2,2023-04-24_RBDD_Rel,2023-04-24,240.618,38.88406,-121.81713,Lower Sac R,0.288 (0.029),15,71,RBDD_Rel
Knights_RST,16,0.276,0.028,0.22,0.34,2,2023-04-24_RBDD_Rel,2023-04-24,222.05,38.79248,-121.69087,Lower Sac R,0.276 (0.028),16,69,RBDD_Rel
KnightsBlwRST,17,0.272,0.028,0.22,0.33,2,2023-04-24_RBDD_Rel,2023-04-24,221.58,38.78877,-121.694,Lower Sac R,0.272 (0.028),17,68,RBDD_Rel
Blw_FremontWeir,18,0.272,0.028,0.22,0.33,2,2023-04-24_RBDD_Rel,2023-04-24,210.36,38.77015,-121.6322,Lower Sac R,0.272 (0.028),18,68,RBDD_Rel
TowerBridge,19,0.256,0.028,0.21,0.31,2,2023-04-24_RBDD_Rel,2023-04-24,172,38.5802,-121.508,Lower Sac R,0.256 (0.028),19,58,RBDD_Rel
I80-50_Br,20,0.256,0.028,0.21,0.31,2,2023-04-24_RBDD_Rel,2023-04-24,170.748,38.571133,-121.5164,Lower Sac R,0.256 (0.028),20,58,RBDD_Rel
Freeport,21,0.256,0.028,0.21,0.31,2,2023-04-24_RBDD_Rel,2023-04-24,152.23149999999998,38.46467,-121.50501,Lower Sac R,0.256 (0.028),21,63,RBDD_Rel
Benicia,22,0.183,0.025,0.14,0.24,2,2023-04-24_RBDD_Rel,2023-04-24,52.144000000000005,38.0423015,-122.1236,Carquinez Strait,0.183 (0.025),22,44,RBDD_Rel
GoldenGateE,23,0.139,0.022,0.1,0.19,2,2023-04-24_RBDD_Rel,2023-04-24,1.71,37.82794,-122.46168,SF Bay,0.139 (0.022),23,31,RBDD_Rel
RBDD_Rel,0.5,1,0,0,0,3,2023-05-02_RBDD_Rel,2023-05-02,461.579,40.15444,-122.20249,Upper Sac R,1 (NA),0.5,250,RBDD_Rel
Altube,1,0.992,0.006,0.97,1,3,2023-05-02_RBDD_Rel,2023-05-02,460.4,40.15348,-122.1887,Upper Sac R,0.992 (0.006),1,233,RBDD_Rel
Blw_Salt,2,0.992,0.006,0.97,1,3,2023-05-02_RBDD_Rel,2023-05-02,456.888,40.1464,-122.15246,Upper Sac R,0.992 (0.006),2,247,RBDD_Rel
Abv_WoodsonBr,3,0.937,0.016,0.9,0.96,3,2023-05-02_RBDD_Rel,2023-05-02,425.158,39.920094,-122.08446000000001,Upper Sac R,0.937 (0.016),3,224,RBDD_Rel
GCID,4,0.909,0.018,0.87,0.94,3,2023-05-02_RBDD_Rel,2023-05-02,405.273,39.799051000000006,-122.0471165,Upper Sac R,0.909 (0.018),4,224,RBDD_Rel
Ord,5,0.734,0.028,0.68,0.78,3,2023-05-02_RBDD_Rel,2023-05-02,371.658,39.634564999999995,-121.98939,Upper Sac R,0.734 (0.028),5,178,RBDD_Rel
BlwOrd,6,0.677,0.03,0.62,0.73,3,2023-05-02_RBDD_Rel,2023-05-02,361.728,39.56548,-122.0018,Upper Sac R,0.677 (0.03),6,165,RBDD_Rel
AbvButteBr,7,0.606,0.031,0.54,0.66,3,2023-05-02_RBDD_Rel,2023-05-02,347.188,39.4717175,-121.995482,Lower Sac R,0.606 (0.031),7,144,RBDD_Rel
Colusa AC3,8,0.54,0.032,0.48,0.6,3,2023-05-02_RBDD_Rel,2023-05-02,331.158,39.36038,-122.01373,Lower Sac R,0.54 (0.032),8,125,RBDD_Rel
Colusa AC2,9,0.54,0.032,0.48,0.6,3,2023-05-02_RBDD_Rel,2023-05-02,318.618,39.28007,-122.01891,Lower Sac R,0.54 (0.032),9,116,RBDD_Rel
AbvColusaBr,10,0.461,0.032,0.4,0.52,3,2023-05-02_RBDD_Rel,2023-05-02,307.738,39.2205,-122.00847,Lower Sac R,0.461 (0.032),10,103,RBDD_Rel
Colusa BC2,11,0.448,0.031,0.39,0.51,3,2023-05-02_RBDD_Rel,2023-05-02,296.278,39.184963,-121.943214,Lower Sac R,0.448 (0.031),11,101,RBDD_Rel
Colusa BC3,12,0.448,0.031,0.39,0.51,3,2023-05-02_RBDD_Rel,2023-05-02,287.208,39.13132,-121.936554,Lower Sac R,0.448 (0.031),12,87,RBDD_Rel
AbvTisdale,13,0.404,0.031,0.34,0.47,3,2023-05-02_RBDD_Rel,2023-05-02,269.238,39.0364,-121.82918,Lower Sac R,0.404 (0.031),13,100,RBDD_Rel
BlwTisdale,14,0.392,0.031,0.33,0.45,3,2023-05-02_RBDD_Rel,2023-05-02,261.408,38.98941,-121.80463,Lower Sac R,0.392 (0.031),14,95,RBDD_Rel
BlwChinaBend,15,0.38,0.031,0.32,0.44,3,2023-05-02_RBDD_Rel,2023-05-02,240.618,38.88406,-121.81713,Lower Sac R,0.38 (0.031),15,93,RBDD_Rel
Knights_RST,16,0.376,0.031,0.32,0.44,3,2023-05-02_RBDD_Rel,2023-05-02,222.05,38.79248,-121.69087,Lower Sac R,0.376 (0.031),16,93,RBDD_Rel
KnightsBlwRST,17,0.376,0.031,0.32,0.44,3,2023-05-02_RBDD_Rel,2023-05-02,221.58,38.78877,-121.694,Lower Sac R,0.376 (0.031),17,93,RBDD_Rel
