GEN,reach,cum.phi,cum.phi.se,LCI,UCI,group,release,mean_rel_date,GenRKM,GenLat,GenLon,Region,Survival estimate (SE),reach_num,count,release_site
Altube Island_Rel,0.5,1,0,0,0,1,2022-04-14_Altube Island_Rel,2022-04-14,460,40.15314,-122.19696,Upper Sac R,1 (NA),0.5,72,Altube Island_Rel
Blw_Salt,1,1,0,0,0,1,2022-04-14_Altube Island_Rel,2022-04-14,456.888,40.1464,-122.15246,Upper Sac R,1 (0),1,72,Altube Island_Rel
Mill_Ck_Conf,2,0.945,0.027,0.86,0.98,1,2022-04-14_Altube Island_Rel,2022-04-14,441.318,40.0327,-122.11987,Upper Sac R,0.945 (0.027),2,68,Altube Island_Rel
Abv_WoodsonBr,3,0.82,0.045,0.71,0.89,1,2022-04-14_Altube Island_Rel,2022-04-14,425.158,39.920094,-122.08446000000001,Upper Sac R,0.82 (0.045),3,59,Altube Island_Rel
GCID,4,0.75,0.051,0.64,0.84,1,2022-04-14_Altube Island_Rel,2022-04-14,405.273,39.798953499999996,-122.04724300000001,Upper Sac R,0.75 (0.051),4,54,Altube Island_Rel
Blw_IrvineFinch,5,0.715,0.054,0.6,0.81,1,2022-04-14_Altube Island_Rel,2022-04-14,394.668,39.73146,-121.97483,Upper Sac R,0.715 (0.054),5,45,Altube Island_Rel
Ord,6,0.667,0.056,0.55,0.77,1,2022-04-14_Altube Island_Rel,2022-04-14,371.658,39.63447,-121.98959,Upper Sac R,0.667 (0.056),6,48,Altube Island_Rel
BlwOrd,7,0.625,0.057,0.51,0.73,1,2022-04-14_Altube Island_Rel,2022-04-14,361.728,39.56548,-122.0018,Upper Sac R,0.625 (0.057),7,45,Altube Island_Rel
Colusa AC3,8,0.556,0.059,0.44,0.67,1,2022-04-14_Altube Island_Rel,2022-04-14,331.158,39.36038,-122.01373,Lower Sac R,0.556 (0.059),8,40,Altube Island_Rel
Colusa AC2,9,0.528,0.059,0.41,0.64,1,2022-04-14_Altube Island_Rel,2022-04-14,318.618,39.28007,-122.01891,Lower Sac R,0.528 (0.059),9,36,Altube Island_Rel
AbvColusaBr,10,0.514,0.059,0.4,0.63,1,2022-04-14_Altube Island_Rel,2022-04-14,307.738,39.2205,-122.00847,Lower Sac R,0.514 (0.059),10,36,Altube Island_Rel
Colusa BC2,11,0.514,0.059,0.4,0.63,1,2022-04-14_Altube Island_Rel,2022-04-14,296.278,39.184963,-121.943214,Lower Sac R,0.514 (0.059),11,37,Altube Island_Rel
AbvTisdale,12,0.417,0.058,0.31,0.53,1,2022-04-14_Altube Island_Rel,2022-04-14,269.238,39.0364,-121.82918,Lower Sac R,0.417 (0.058),12,30,Altube Island_Rel
BlwTisdale,13,0.403,0.058,0.3,0.52,1,2022-04-14_Altube Island_Rel,2022-04-14,261.408,38.98941,-121.80463,Lower Sac R,0.403 (0.058),13,29,Altube Island_Rel
BlwChinaBend,14,0.292,0.054,0.2,0.41,1,2022-04-14_Altube Island_Rel,2022-04-14,240.618,38.88406,-121.81713,Lower Sac R,0.292 (0.054),14,21,Altube Island_Rel
Knights_RST,15,0.292,0.054,0.2,0.41,1,2022-04-14_Altube Island_Rel,2022-04-14,222.05,38.79348,-121.6914625,Lower Sac R,0.292 (0.054),15,21,Altube Island_Rel
Blw_Knights_GS3,16,0.292,0.054,0.2,0.41,1,2022-04-14_Altube Island_Rel,2022-04-14,215.34,38.75972,-121.67329,Lower Sac R,0.292 (0.054),16,21,Altube Island_Rel
Blw_FRConf,17,0.292,0.054,0.2,0.41,1,2022-04-14_Altube Island_Rel,2022-04-14,203.468,38.77409,-121.60043,Lower Sac R,0.292 (0.054),17,21,Altube Island_Rel
Blw_Elkhorn_GS1,18,0.264,0.052,0.17,0.38,1,2022-04-14_Altube Island_Rel,2022-04-14,191.92,38.64737,-121.57771,Lower Sac R,0.264 (0.052),18,19,Altube Island_Rel
TowerBridge,19,0.25,0.051,0.16,0.36,1,2022-04-14_Altube Island_Rel,2022-04-14,172,38.5802,-121.508,Lower Sac R,0.25 (0.051),19,18,Altube Island_Rel
Freeport,20,0.194,0.047,0.12,0.3,1,2022-04-14_Altube Island_Rel,2022-04-14,152.23149999999998,38.46467,-121.50501,Lower Sac R,0.194 (0.047),20,14,Altube Island_Rel
Hood_1,21,0.139,0.041,0.08,0.24,1,2022-04-14_Altube Island_Rel,2022-04-14,138.228,38.3617,-121.52033,Lower Sac R,0.139 (0.041),21,10,Altube Island_Rel
Chipps,22,0.056,0.027,0.02,0.14,1,2022-04-14_Altube Island_Rel,2022-04-14,71.48599999999999,38.046132,-121.912643,West Delta,0.056 (0.027),22,4,Altube Island_Rel
Benicia,23,0.056,0.027,0.02,0.14,1,2022-04-14_Altube Island_Rel,2022-04-14,52.144000000000005,38.0423015,-122.1236,Carquinez Strait,0.056 (0.027),23,4,Altube Island_Rel
GoldenGateE,24,0.028,0.019,0.01,0.1,1,2022-04-14_Altube Island_Rel,2022-04-14,1.71,37.82794,-122.46168,SF Bay,0.028 (0.019),24,2,Altube Island_Rel
Altube Island_Rel,0.5,1,0,0,0,2,2022-05-04_Altube Island_Rel,2022-05-04,460,40.15314,-122.19696,Upper Sac R,1 (NA),0.5,231,Altube Island_Rel
Blw_Salt,1,0.979,0.01,0.95,0.99,2,2022-05-04_Altube Island_Rel,2022-05-04,456.888,40.1464,-122.15246,Upper Sac R,0.979 (0.01),1,225,Altube Island_Rel
Mill_Ck_Conf,2,0.811,0.026,0.76,0.86,2,2022-05-04_Altube Island_Rel,2022-05-04,441.318,40.0327,-122.11987,Upper Sac R,0.811 (0.026),2,186,Altube Island_Rel
Abv_WoodsonBr,3,0.608,0.032,0.54,0.67,2,2022-05-04_Altube Island_Rel,2022-05-04,425.158,39.920094,-122.08446000000001,Upper Sac R,0.608 (0.032),3,138,Altube Island_Rel
GCID,4,0.477,0.033,0.41,0.54,2,2022-05-04_Altube Island_Rel,2022-05-04,405.273,39.798953499999996,-122.04724300000001,Upper Sac R,0.477 (0.033),4,109,Altube Island_Rel
Blw_IrvineFinch,5,0.389,0.034,0.32,0.46,2,2022-05-04_Altube Island_Rel,2022-05-04,394.668,39.73146,-121.97483,Upper Sac R,0.389 (0.034),5,77,Altube Island_Rel
Ord,6,0.234,0.028,0.18,0.29,2,2022-05-04_Altube Island_Rel,2022-05-04,371.658,39.63447,-121.98959,Upper Sac R,0.234 (0.028),6,54,Altube Island_Rel
BlwOrd,7,0.173,0.025,0.13,0.23,2,2022-05-04_Altube Island_Rel,2022-05-04,361.728,39.56548,-122.0018,Upper Sac R,0.173 (0.025),7,40,Altube Island_Rel
