GEN,reach,cum.phi,cum.phi.se,LCI,UCI,group,release,mean_rel_date,GenRKM,GenLat,GenLon,Region,Survival estimate (SE),reach_num,count,release_site
Altube Island_Rel,0.5,1,0,0,0,1,2021-05-03_Altube Island_Rel,2021-05-03,460,40.15314,-122.19696,Upper Sac R,1 (NA),0.5,61,Altube Island_Rel
Blw_Salt,1,0.969,0.023,0.88,0.99,1,2021-05-03_Altube Island_Rel,2021-05-03,456.888,40.1464,-122.15246,Upper Sac R,0.969 (0.023),1,58,Altube Island_Rel
Mill_Ck_Conf,2,0.852,0.045,0.74,0.92,1,2021-05-03_Altube Island_Rel,2021-05-03,441.318,40.0327,-122.11987,Upper Sac R,0.852 (0.045),2,52,Altube Island_Rel
GCID,3,0.508,0.064,0.38,0.63,1,2021-05-03_Altube Island_Rel,2021-05-03,404.9413333333333,39.796839,-122.049394,Upper Sac R,0.508 (0.064),3,31,Altube Island_Rel
Blw_IrvineFinch,4,0.426,0.063,0.31,0.55,1,2021-05-03_Altube Island_Rel,2021-05-03,394.668,39.73146,-121.97483,Upper Sac R,0.426 (0.063),4,26,Altube Island_Rel
Ord,5,0.262,0.056,0.17,0.39,1,2021-05-03_Altube Island_Rel,2021-05-03,371.658,39.63447,-121.98959,Upper Sac R,0.262 (0.056),5,16,Altube Island_Rel
BlwOrd,6,0.207,0.055,0.12,0.33,1,2021-05-03_Altube Island_Rel,2021-05-03,361.728,39.56548,-122.0018,Upper Sac R,0.207 (0.055),6,11,Altube Island_Rel
Colusa AC3,7,0.115,0.041,0.06,0.22,1,2021-05-03_Altube Island_Rel,2021-05-03,331.158,39.36038,-122.01373,Lower Sac R,0.115 (0.041),7,7,Altube Island_Rel
Colusa AC2,8,0.098,0.038,0.04,0.2,1,2021-05-03_Altube Island_Rel,2021-05-03,318.618,39.28007,-122.01891,Lower Sac R,0.098 (0.038),8,6,Altube Island_Rel
AbvColusaBr,9,0.082,0.035,0.04,0.18,1,2021-05-03_Altube Island_Rel,2021-05-03,307.738,39.2205,-122.00847,Lower Sac R,0.082 (0.035),9,5,Altube Island_Rel
Colusa BC2,10,0.049,0.028,0.02,0.14,1,2021-05-03_Altube Island_Rel,2021-05-03,296.278,39.184963,-121.943214,Lower Sac R,0.049 (0.028),10,3,Altube Island_Rel
Colusa BC3,11,0.049,0.028,0.02,0.14,1,2021-05-03_Altube Island_Rel,2021-05-03,287.208,39.13132,-121.936554,Lower Sac R,0.049 (0.028),11,3,Altube Island_Rel
AbvTisdale,12,0.049,0.028,0.02,0.14,1,2021-05-03_Altube Island_Rel,2021-05-03,269.238,39.0364,-121.82918,Lower Sac R,0.049 (0.028),12,3,Altube Island_Rel
BlwTisdale,13,0.049,0.028,0.02,0.14,1,2021-05-03_Altube Island_Rel,2021-05-03,261.408,38.98941,-121.80463,Lower Sac R,0.049 (0.028),13,3,Altube Island_Rel
BlwChinaBend,14,0.033,0.023,0.01,0.12,1,2021-05-03_Altube Island_Rel,2021-05-03,240.618,38.88406,-121.81713,Lower Sac R,0.033 (0.023),14,2,Altube Island_Rel
Knights_RST,15,0.016,0.016,0,0.11,1,2021-05-03_Altube Island_Rel,2021-05-03,222.05,38.79248,-121.69087,Lower Sac R,0.016 (0.016),15,1,Altube Island_Rel
KnightsBlwRST,16,0.016,0.016,0,0.11,1,2021-05-03_Altube Island_Rel,2021-05-03,221.58,38.78877,-121.694,Lower Sac R,0.016 (0.016),16,1,Altube Island_Rel
Altube Island_Rel,0.5,1,0,0,0,2,2021-05-27_Altube Island_Rel,2021-05-27,460,40.15314,-122.19696,Upper Sac R,1 (NA),0.5,30,Altube Island_Rel
Blw_Salt,1,0.834,0.068,0.66,0.93,2,2021-05-27_Altube Island_Rel,2021-05-27,456.888,40.1464,-122.15246,Upper Sac R,0.834 (0.068),1,25,Altube Island_Rel
Mill_Ck_Conf,2,0.767,0.077,0.58,0.88,2,2021-05-27_Altube Island_Rel,2021-05-27,441.318,40.0327,-122.11987,Upper Sac R,0.767 (0.077),2,23,Altube Island_Rel
GCID,3,0.267,0.081,0.14,0.45,2,2021-05-27_Altube Island_Rel,2021-05-27,404.9413333333333,39.796839,-122.049394,Upper Sac R,0.267 (0.081),3,8,Altube Island_Rel
Blw_IrvineFinch,4,0.2,0.073,0.09,0.38,2,2021-05-27_Altube Island_Rel,2021-05-27,394.668,39.73146,-121.97483,Upper Sac R,0.2 (0.073),4,6,Altube Island_Rel
Ord,5,0.067,0.046,0.02,0.23,2,2021-05-27_Altube Island_Rel,2021-05-27,371.658,39.63447,-121.98959,Upper Sac R,0.067 (0.046),5,2,Altube Island_Rel
BlwOrd,6,0.067,0.046,0.02,0.23,2,2021-05-27_Altube Island_Rel,2021-05-27,361.728,39.56548,-122.0018,Upper Sac R,0.067 (0.046),6,2,Altube Island_Rel
