GEN,reach,cum.phi,cum.phi.se,LCI,UCI,group,release,mean_rel_date,studyID,GenRKM,GenLat,GenLon,Region,Survival estimate (SE),reach_num,count,release_site
Bonnyview_Rel,0.5,1,0,0,0,1,2016-02-17_Bonnyview_Rel,2016-02-17,Winter_H_2016,540.25,40.53758,-122.35724,Upper Sac R,1 (NA),0.5,570,Bonnyview_Rel
Blw_ClearCr,1,0.993,0.003,0.98,1,1,2016-02-17_Bonnyview_Rel,2016-02-17,Winter_H_2016,535.62,40.50188,-122.36192,Upper Sac R,0.993 (0.003),1,553,Bonnyview_Rel
BlwCowCr,2,0.986,0.005,0.97,0.99,1,2016-02-17_Bonnyview_Rel,2016-02-17,Winter_H_2016,520.69,40.46013,-122.22765,Upper Sac R,0.986 (0.005),2,546,Bonnyview_Rel
Battle_Conf,3,0.979,0.007,0.96,0.99,1,2016-02-17_Bonnyview_Rel,2016-02-17,Winter_H_2016,507.48,40.35371,-122.17734,Upper Sac R,0.979 (0.007),3,463,Bonnyview_Rel
Blw_Paynes_Ck,4,0.949,0.009,0.93,0.96,1,2016-02-17_Bonnyview_Rel,2016-02-17,Winter_H_2016,476.27,40.25534,-122.17332,Upper Sac R,0.949 (0.009),4,541,Bonnyview_Rel
Blw_Salt,5,0.942,0.01,0.92,0.96,1,2016-02-17_Bonnyview_Rel,2016-02-17,Winter_H_2016,456.88,40.1464,-122.15246,Upper Sac R,0.942 (0.01),5,532,Bonnyview_Rel
Mill_Ck_Conf,6,0.939,0.01,0.92,0.96,1,2016-02-17_Bonnyview_Rel,2016-02-17,Winter_H_2016,441.31,40.0327,-122.11987,Upper Sac R,0.939 (0.01),6,511,Bonnyview_Rel
Abv_WoodsonBr,7,0.93,0.011,0.91,0.95,1,2016-02-17_Bonnyview_Rel,2016-02-17,Winter_H_2016,425.15,39.920094,-122.08446000000001,Upper Sac R,0.93 (0.011),7,528,Bonnyview_Rel
Blw_IrvineFinch,8,0.892,0.013,0.86,0.92,1,2016-02-17_Bonnyview_Rel,2016-02-17,Winter_H_2016,394.66,39.73146,-121.97483,Upper Sac R,0.892 (0.013),8,505,Bonnyview_Rel
BlwOrd,9,0.829,0.016,0.8,0.86,1,2016-02-17_Bonnyview_Rel,2016-02-17,Winter_H_2016,361.72,39.56548,-122.0018,Upper Sac R,0.829 (0.016),9,463,Bonnyview_Rel
ButteBr,10,0.829,0.016,0.8,0.86,1,2016-02-17_Bonnyview_Rel,2016-02-17,Winter_H_2016,344.1,39.4569,-121.995,Lower Sac R,0.829 (0.016),10,377,Bonnyview_Rel
Chipps,11,0.209,0.017,0.18,0.24,1,2016-02-17_Bonnyview_Rel,2016-02-17,Winter_H_2016,71.47999999999999,38.046132,-121.912643,West Delta,0.209 (0.017),11,118,Bonnyview_Rel
Benicia,12,0.187,0.017,0.16,0.22,1,2016-02-17_Bonnyview_Rel,2016-02-17,Winter_H_2016,52.04,38.041233,-122.12382,Carquinez Strait,0.187 (0.017),12,100,Bonnyview_Rel
GoldenGateE,13,0.117,0.014,0.09,0.15,1,2016-02-17_Bonnyview_Rel,2016-02-17,Winter_H_2016,1.71,37.82794,-122.46168,SF Bay,0.117 (0.014),13,40,Bonnyview_Rel
