cum.phi,cum.phi.se,LCI,UCI,StudyID,GEN,RKM,reach_num,Region,count,GenLat,GenLon
1,0,1,1,Winter_H_2017,Caldwell_Park_Rel,551.28,0,Upper Sac R,569,40.593826,-122.39836
1,0,0,0,Winter_H_2017,Blw_Cypress,543.9,1,Upper Sac R,43,40.56047,-122.37527
1,0,1,1,Winter_H_2017,Blw_ClearCr,535.62,2,Upper Sac R,1,40.50188,-122.36192
0.878,0.067,0.679,0.961,Winter_H_2017,BlwCowCr,520.69,3,Upper Sac R,57,40.46013,-122.22765
0.761,0.033,0.69,0.819,Winter_H_2017,Battle_Conf,507.48,4,Upper Sac R,1,40.35371,-122.17734
0.761,0.033,0.69,0.819,Winter_H_2017,Blw_Paynes_Ck,476.27,5,Upper Sac R,137,40.25534,-122.17332
0.76,0.034,0.688,0.82,Winter_H_2017,Blw_Salt,456.88,6,Upper Sac R,8,40.1464,-122.15246
0.634,0.039,0.555,0.706,Winter_H_2017,Mill_Ck_Conf,441.31,7,Upper Sac R,27,40.0327,-122.11987
0.603,0.022,0.56,0.645,Winter_H_2017,Abv_WoodsonBr,425.15,8,Upper Sac R,146,39.920094,-122.08446000000001
0.603,0.022,0.56,0.645,Winter_H_2017,GCID_blw,404.42,9,Upper Sac R,69,39.79114,-122.036026
0.592,0.024,0.543,0.638,Winter_H_2017,Blw_IrvineFinch,394.66,10,Upper Sac R,90,39.73146,-121.97483
0.568,0.022,0.525,0.609,Winter_H_2017,BlwOrd,361.72,11,Upper Sac R,145,39.56548,-122.0018
0.555,0.021,0.513,0.596,Winter_H_2017,ButteBr,344.1,12,Lower Sac R,169,39.4569,-121.995
0.551,0.021,0.509,0.592,Winter_H_2017,Colusa AC3,331.15,13,Lower Sac R,211,39.359877499999996,-122.01365999999999
0.545,0.021,0.503,0.586,Winter_H_2017,BlwMoulton,325.79,14,Lower Sac R,150,39.2205,-122.00847
0.544,0.021,0.502,0.585,Winter_H_2017,Colusa AC2,318.61,15,Lower Sac R,251,39.28007,-122.01891
0.533,0.021,0.492,0.574,Winter_H_2017,AbvColusaBrRT,314.43,16,Lower Sac R,224,39.2647,-122
0.525,0.021,0.484,0.566,Winter_H_2017,AbvColusaBr,307.73,17,Lower Sac R,76,39.2205,-122.00847
0.525,0.021,0.484,0.566,Winter_H_2017,Colusa BC2,296.27,18,Lower Sac R,246,39.184963,-121.943214
0.522,0.021,0.48,0.564,Winter_H_2017,AbvTisdale,269.23,19,Lower Sac R,234,39.0364,-121.82918
0.491,0.021,0.45,0.532,Winter_H_2017,Bullock Bend,247.11,20,Lower Sac R,2,38.913345,-121.811134
0.491,0.021,0.45,0.532,Winter_H_2017,Knights_RST,222.05,21,Lower Sac R,231,38.79248,-121.69087
0.491,0.021,0.45,0.532,Winter_H_2017,Abv_FremontWeir,215.18,22,Lower Sac R,201,38.76009,-121.67145
0.452,0.021,0.411,0.494,Winter_H_2017,Blw_FremontWeir,210.36,23,Lower Sac R,161,38.77015,-121.6322
0.452,0.021,0.411,0.494,Winter_H_2017,Butte6,206.48,24,Sutter Bypass,17,38.78346,-121.63226
0.452,0.021,0.411,0.494,Winter_H_2017,Blw_FRConf,203.46,25,Lower Sac R,5,38.78212,-121.61526
0.44,0.022,0.398,0.483,Winter_H_2017,TowerBridge,172,26,Lower Sac R,106,38.5802,-121.508
0.433,0.021,0.392,0.475,Winter_H_2017,I80-50_Br,170.74,27,Lower Sac R,66,38.571133,-121.5164
0.433,0.021,0.392,0.475,Winter_H_2017,SacTrawl1,167,28,Lower Sac R,73,38.54081,-121.51331
0.433,0.021,0.392,0.475,Winter_H_2017,SacTrawl2,166.63,29,Lower Sac R,85,38.53823,-121.51557
0.433,0.021,0.392,0.475,Winter_H_2017,Freeport,152.43,30,Lower Sac R,39,38.46467,-121.50501
0.433,0.021,0.392,0.475,Winter_H_2017,Hood,138.22,31,Lower Sac R,66,38.3617,-121.52033
0.391,0.021,0.352,0.432,Winter_H_2017,Chipps,71.47999999999999,32,West Delta,202,38.046132,-121.912643
0.364,0.02,0.325,0.405,Winter_H_2017,Benicia,52.04,33,Carquinez Strait,203,38.041233,-122.12382
0.264,0.038,0.196,0.345,Winter_H_2017,GoldenGateE,1.71,34,SF Bay,31,37.82794,-122.46168
