GEN,reach,cum.phi,cum.phi.se,LCI,UCI,group,release,mean_rel_date,GenRKM,GenLat,GenLon,Region,Survival estimate (SE),reach_num,count,release_site
Bonnyview_Rel,0.5,1,0,0,0,1,2018-03-01_Bonnyview_Rel,2018-03-01,540.25,40.53758,-122.35724,Upper Sac R,1 (NA),0.5,361,Bonnyview_Rel
Bonnyview,1,0.995,0.004,0.98,1,1,2018-03-01_Bonnyview_Rel,2018-03-01,540.2,40.53698,-122.35687,Upper Sac R,0.995 (0.004),1,359,Bonnyview_Rel
Blw_ClearCr,2,0.953,0.011,0.93,0.97,1,2018-03-01_Bonnyview_Rel,2018-03-01,535.62,40.50188,-122.36192,Upper Sac R,0.953 (0.011),2,344,Bonnyview_Rel
BlwCowCr,3,0.942,0.012,0.91,0.96,1,2018-03-01_Bonnyview_Rel,2018-03-01,520.69,40.46013,-122.22765,Upper Sac R,0.942 (0.012),3,340,Bonnyview_Rel
Battle_Conf,4,0.928,0.014,0.9,0.95,1,2018-03-01_Bonnyview_Rel,2018-03-01,507.48,40.35371,-122.17734,Upper Sac R,0.928 (0.014),4,335,Bonnyview_Rel
Blw_Paynes_Ck,5,0.873,0.018,0.83,0.9,1,2018-03-01_Bonnyview_Rel,2018-03-01,476.27,40.25534,-122.17332,Upper Sac R,0.873 (0.018),5,315,Bonnyview_Rel
RB_Elks,6,0.839,0.019,0.8,0.87,1,2018-03-01_Bonnyview_Rel,2018-03-01,464.5,40.17122,-122.22523,Upper Sac R,0.839 (0.019),6,303,Bonnyview_Rel
Abv_RBPP,7,0.839,0.019,0.8,0.87,1,2018-03-01_Bonnyview_Rel,2018-03-01,463.22,40.153008,-122.198235,Upper Sac R,0.839 (0.019),7,302,Bonnyview_Rel
Altube,8,0.837,0.019,0.8,0.87,1,2018-03-01_Bonnyview_Rel,2018-03-01,460.4,40.15348,-122.1887,Upper Sac R,0.837 (0.019),8,301,Bonnyview_Rel
JV_Glide1,9,0.834,0.02,0.79,0.87,1,2018-03-01_Bonnyview_Rel,2018-03-01,458.67,40.146988,-122.17251,Upper Sac R,0.834 (0.02),9,299,Bonnyview_Rel
Blw_Salt,10,0.834,0.02,0.79,0.87,1,2018-03-01_Bonnyview_Rel,2018-03-01,456.88,40.1464,-122.15246,Upper Sac R,0.834 (0.02),10,300,Bonnyview_Rel
BankRobber,11,0.831,0.02,0.79,0.87,1,2018-03-01_Bonnyview_Rel,2018-03-01,452.55,40.112935,-122.13424499999999,Upper Sac R,0.831 (0.02),11,300,Bonnyview_Rel
Hunters,12,0.831,0.02,0.79,0.87,1,2018-03-01_Bonnyview_Rel,2018-03-01,450.35,40.096165,-122.130165,Upper Sac R,0.831 (0.02),12,300,Bonnyview_Rel
Oat_Creek,13,0.828,0.02,0.79,0.86,1,2018-03-01_Bonnyview_Rel,2018-03-01,447.2,40.07802,-122.11694,Upper Sac R,0.828 (0.02),13,299,Bonnyview_Rel
Blw_Woodson,14,0.768,0.022,0.72,0.81,1,2018-03-01_Bonnyview_Rel,2018-03-01,421.4,39.898,-122.06787,Upper Sac R,0.768 (0.022),14,277,Bonnyview_Rel
Abv_Otter_Island,15,0.757,0.023,0.71,0.8,1,2018-03-01_Bonnyview_Rel,2018-03-01,419.39,39.882027,-122.064445,Upper Sac R,0.757 (0.023),15,273,Bonnyview_Rel
GCID,16,0.66,0.026,0.61,0.71,1,2018-03-01_Bonnyview_Rel,2018-03-01,405.265,39.798953499999996,-122.04724300000001,Upper Sac R,0.66 (0.026),16,235,Bonnyview_Rel
Blw_IrvineFinch,17,0.566,0.028,0.51,0.62,1,2018-03-01_Bonnyview_Rel,2018-03-01,394.66,39.73146,-121.97483,Upper Sac R,0.566 (0.028),17,196,Bonnyview_Rel
BlwOrd,18,0.411,0.029,0.36,0.47,1,2018-03-01_Bonnyview_Rel,2018-03-01,361.72,39.56548,-122.0018,Upper Sac R,0.411 (0.029),18,134,Bonnyview_Rel
Chipps,19,0.152,0.019,0.12,0.19,1,2018-03-01_Bonnyview_Rel,2018-03-01,71.47999999999999,38.046132,-121.912643,West Delta,0.152 (0.019),19,55,Bonnyview_Rel
Benicia,20,0.141,0.019,0.11,0.18,1,2018-03-01_Bonnyview_Rel,2018-03-01,52.14,38.0423015,-122.1236,Carquinez Strait,0.141 (0.019),20,43,Bonnyview_Rel
GoldenGateE,21,0.09,0.018,0.06,0.13,1,2018-03-01_Bonnyview_Rel,2018-03-01,1.71,37.82794,-122.46168,SF Bay,0.09 (0.018),21,20,Bonnyview_Rel
Bonnyview_Rel,0.5,1,0,0,0,2,2018-03-13_Bonnyview_Rel,2018-03-13,540.25,40.53758,-122.35724,Upper Sac R,1 (NA),0.5,237,Bonnyview_Rel
Bonnyview,1,1,0,0,0,2,2018-03-13_Bonnyview_Rel,2018-03-13,540.2,40.53698,-122.35687,Upper Sac R,1 (NaN),1,236,Bonnyview_Rel
Blw_ClearCr,2,0.932,0.016,0.89,0.96,2,2018-03-13_Bonnyview_Rel,2018-03-13,535.62,40.50188,-122.36192,Upper Sac R,0.932 (0.016),2,221,Bonnyview_Rel
BlwCowCr,3,0.886,0.021,0.84,0.92,2,2018-03-13_Bonnyview_Rel,2018-03-13,520.69,40.46013,-122.22765,Upper Sac R,0.886 (0.021),3,210,Bonnyview_Rel
Battle_Conf,4,0.882,0.021,0.83,0.92,2,2018-03-13_Bonnyview_Rel,2018-03-13,507.48,40.35371,-122.17734,Upper Sac R,0.882 (0.021),4,209,Bonnyview_Rel
Blw_Paynes_Ck,5,0.857,0.023,0.81,0.9,2,2018-03-13_Bonnyview_Rel,2018-03-13,476.27,40.25534,-122.17332,Upper Sac R,0.857 (0.023),5,202,Bonnyview_Rel
RB_Elks,6,0.848,0.023,0.8,0.89,2,2018-03-13_Bonnyview_Rel,2018-03-13,464.5,40.17122,-122.22523,Upper Sac R,0.848 (0.023),6,189,Bonnyview_Rel
Abv_RBPP,7,0.848,0.023,0.8,0.89,2,2018-03-13_Bonnyview_Rel,2018-03-13,463.22,40.153008,-122.198235,Upper Sac R,0.848 (0.023),7,168,Bonnyview_Rel
Altube,8,0.844,0.024,0.79,0.88,2,2018-03-13_Bonnyview_Rel,2018-03-13,460.4,40.15348,-122.1887,Upper Sac R,0.844 (0.024),8,190,Bonnyview_Rel
JV_Glide1,9,0.831,0.024,0.78,0.87,2,2018-03-13_Bonnyview_Rel,2018-03-13,458.67,40.146988,-122.17251,Upper Sac R,0.831 (0.024),9,188,Bonnyview_Rel
Blw_Salt,10,0.823,0.025,0.77,0.87,2,2018-03-13_Bonnyview_Rel,2018-03-13,456.88,40.1464,-122.15246,Upper Sac R,0.823 (0.025),10,182,Bonnyview_Rel
BankRobber,11,0.81,0.025,0.76,0.86,2,2018-03-13_Bonnyview_Rel,2018-03-13,452.55,40.112935,-122.13424499999999,Upper Sac R,0.81 (0.025),11,184,Bonnyview_Rel
