cum.phi,cum.phi.se,LCI,UCI,StudyID,GEN,RKM,reach_num,Region,Survival estimate (SE),Reach #,count,GenLat,GenLon
1,0,0,0,Winter_H_2021,Caldwell_Park_Rel,551.288,0,Upper Sac R,1 (NA),0,555,40.593826,-122.39836
0.95,0.01,0.92,0.96,Winter_H_2021,Blw_Cypress,543.908,1,Upper Sac R,0.95 (0.01),1,523,40.56047,-122.37527
0.94,0.01,0.92,0.96,Winter_H_2021,Blw_ClearCr,535.628,2,Upper Sac R,0.94 (0.01),2,515,40.50188,-122.36192
0.92,0.01,0.9,0.94,Winter_H_2021,BlwCowCr,520.698,3,Upper Sac R,0.92 (0.01),3,511,40.46013,-122.22765
0.84,0.02,0.8,0.86,Winter_H_2021,Battle_Conf,507.488,4,Upper Sac R,0.84 (0.02),4,1,40.35371,-122.17734
0.84,0.02,0.8,0.86,Winter_H_2021,Blw_Paynes_Ck,476.278,5,Upper Sac R,0.84 (0.02),5,462,40.25534,-122.17332
0.7,0.02,0.66,0.74,Winter_H_2021,Abv_Altube1,460.4,6,Upper Sac R,0.7 (0.02),6,387,40.15348,-122.1887
0.69,0.02,0.65,0.72,Winter_H_2021,Blw_Salt,456.888,7,Upper Sac R,0.69 (0.02),7,382,40.1464,-122.15246
0.62,0.02,0.58,0.66,Winter_H_2021,Abv_WoodsonBr,425.158,8,Upper Sac R,0.62 (0.02),8,342,39.920094,-122.08446000000001
0.46,0.02,0.42,0.5,Winter_H_2021,GCID_abv,406.118,9,Upper Sac R,0.46 (0.02),9,255,39.806767,-122.05846
0.44,0.02,0.4,0.48,Winter_H_2021,GCID_blw,404.428,10,Upper Sac R,0.44 (0.02),10,237,39.79114,-122.036026
0.42,0.02,0.38,0.46,Winter_H_2021,Blw_IrvineFinch,394.668,11,Upper Sac R,0.42 (0.02),11,224,39.73146,-121.97483
0.34,0.02,0.3,0.38,Winter_H_2021,Ord,371.658,12,Upper Sac R,0.34 (0.02),12,186,39.63447,-121.98959
0.3,0.02,0.27,0.34,Winter_H_2021,BlwOrd,361.728,13,Upper Sac R,0.3 (0.02),13,167,39.56548,-122.0018
0.27,0.02,0.23,0.31,Winter_H_2021,ButteBr,344.108,14,Lower Sac R,0.27 (0.02),14,121,39.4569,-121.995
0.25,0.02,0.22,0.29,Winter_H_2021,Colusa AC3,331.158,15,Lower Sac R,0.25 (0.02),15,115,39.36038,-122.01373
0.23,0.02,0.2,0.27,Winter_H_2021,Colusa AC2,318.618,16,Lower Sac R,0.23 (0.02),16,127,39.28007,-122.01891
0.22,0.02,0.18,0.25,Winter_H_2021,AbvColusaBr,307.738,17,Lower Sac R,0.22 (0.02),17,107,39.2205,-122.00847
0.2,0.02,0.17,0.24,Winter_H_2021,Colusa BC2,296.278,18,Lower Sac R,0.2 (0.02),18,105,39.184963,-121.943214
0.2,0.02,0.16,0.23,Winter_H_2021,Colusa BC3,287.208,19,Lower Sac R,0.2 (0.02),19,90,39.13132,-121.936554
0.18,0.02,0.15,0.21,Winter_H_2021,AbvTisdale,269.238,20,Lower Sac R,0.18 (0.02),20,99,39.0364,-121.82918
0.18,0.02,0.15,0.21,Winter_H_2021,BlwTisdale,261.408,21,Lower Sac R,0.18 (0.02),21,98,38.98941,-121.80463
0.16,0.02,0.13,0.2,Winter_H_2021,BlwChinaBend,240.618,22,Lower Sac R,0.16 (0.02),22,87,38.88406,-121.81713
0.16,0.02,0.13,0.2,Winter_H_2021,Knights_RST,222.05,23,Lower Sac R,0.16 (0.02),23,2,38.79248,-121.69087
0.15,0.01,0.12,0.18,Winter_H_2021,KnightsBlwRST,221.58,24,Lower Sac R,0.15 (0.01),24,80,38.78877,-121.694
0.15,0.01,0.12,0.18,Winter_H_2021,Abv_FremontWeir,215.18,25,Lower Sac R,0.15 (0.01),25,82,38.76009,-121.67145
0.15,0.01,0.12,0.18,Winter_H_2021,Blw_FremontWeir,210.36,26,Lower Sac R,0.15 (0.01),26,80,38.77015,-121.6322
0.13,0.01,0.1,0.16,Winter_H_2021,Blw_FRConf,203.468,27,Lower Sac R,0.13 (0.01),27,69,38.78212,-121.61526
0.11,0.01,0.09,0.14,Winter_H_2021,Blw_FR_GS2,199,28,Lower Sac R,0.11 (0.01),28,22,38.73505,-121.60267
