"","Lower95","Median","Upper95","Mean","SD","Mode","MCerr","MC.ofSD","SSeff","AC.50","psrf","parameter","est","l95","u95"
"Pa_3",0.774194,0.875473,0.958965,0.870231669883333,0.0490565684565562,NA,0.00020111561730759,0.4,59498,-0.00236700792059846,1.00011389822321,"Pa_3",0.87,0.774,0.959
"Pa_30",0.918331,0.980581,1,0.972355385283333,0.0270742982945574,NA,0.000129021037256877,0.5,44035,0.000323837829427019,1.00005328659188,"Pa_30",0.972,0.918,1
"Pb_3",0.710355,0.821499,0.918369,0.81731537305,0.0543401297857863,NA,0.000222528869508696,0.4,59631,0.00231199264480896,0.999996226495851,"Pb_3",0.817,0.71,0.918
"Pb_30",0.918515,0.980544,1,0.972466125283333,0.0266922296432378,NA,0.000125428645797865,0.5,45287,0.00278831055687199,1.00009110405414,"Pb_30",0.972,0.919,1
"S_4",0.922753,0.9766675,1,0.970686077483333,0.0241922680969563,NA,0.000105528048765026,0.4,52555,-0.00118199964878941,0.999983684527642,"S_4",0.971,0.923,1
"Pa_8",0.422164,0.559989,0.698112,0.559337449733333,0.0708368034394593,NA,0.000289190039060839,0.4,60000,-0.00149898663610342,0.999989387825393,"Pa_8",0.559,0.422,0.698
"Pb_8",0.358359,0.4969455,0.638184,0.496843717616667,0.0715711384474598,NA,0.000290775904704269,0.4,60584,-0.00654390267589052,1.00006051963401,"Pb_8",0.497,0.358,0.638
"gamma_5",0.776491,0.873823,0.952123,0.86918078605,0.0461789001830935,NA,0.000193622005586859,0.4,56882,-0.00137621568511343,1.0000394087374,"gamma_5",0.869,0.776,0.952
"Pa_14",0.0706045,0.4484615,0.871762,0.457521527681167,0.221418457639633,NA,0.000903937068085254,0.4,60000,0.00538027886345128,1.00000155464577,"Pa_14",0.458,0.071,0.872
"Pb_14",0.292402,0.7184365,0.999994,0.687084750518333,0.213286933771077,NA,0.000889502456992727,0.4,57496,-0.00351651814337155,0.999994832580931,"Pb_14",0.687,0.292,1
"gamma_13",0.0948619,0.414248,0.749046,0.422570459165,0.174114239638473,NA,0.000714727910232262,0.4,59345,0.000160346880155172,1.00008679703295,"gamma_13",0.423,0.095,0.749
"Pa_15",0.367518,0.737717,0.999995,0.711684325556667,0.186261753468695,NA,0.000763897924373397,0.4,59453,-0.00196045905859985,1.0000394089292,"Pa_15",0.712,0.368,1
"Pb_15",0.168017,0.535798,0.909248,0.533215613843333,0.199870326928902,NA,0.000817016845376191,0.4,59846,0.0021587431951532,1.00000830197274,"Pb_15",0.533,0.168,0.909
"S_12",0.931864,0.9834425,0.999999,0.976698366683333,0.0225027788914471,NA,0.000105583460580662,0.5,45423,0.00412347254619356,1.00000967007097,"S_12",0.977,0.932,1
"Pa_21",0.682837,0.914403,0.999994,0.886384788216667,0.100590353029044,NA,0.000445577403899951,0.4,50964,-0.00345082618566697,1.00001028555972,"Pa_21",0.886,0.683,1
"Pb_21",0.681264,0.9149565,0.999997,0.886223736233333,0.101180305910011,NA,0.000450516109680138,0.4,50440,0.00414211262126085,1.00006246189499,"Pb_21",0.886,0.681,1
"gamma_18",0.067398,0.1619225,0.270689,0.166641799841667,0.0531900911471478,NA,0.000219840594672852,0.4,58539,0.00522559629124713,1.00001274436035,"gamma_18",0.167,0.067,0.271
"Pa_22",0.774888,0.882035,0.964921,0.876047439133333,0.0509375862552031,NA,0.000209492326320466,0.4,59121,-0.00120510834832281,0.999990061428758,"Pa_22",0.876,0.775,0.965
"Pb_22",0.882261,0.956248,0.998523,0.948911057866667,0.034390969457495,NA,0.000146171821322396,0.4,55356,2.44233431458841e-05,1.00004206453587,"Pb_22",0.949,0.882,0.999
"S_16",2.08962e-05,0.239552,0.663443,0.277709673530011,0.201185586212464,NA,0.000824840117814542,0.4,59491,0.000185378215311168,1.00005292798343,"S_16",0.278,0,0.663
"S_17",0.504011,0.853029,0.999998,0.813322927183333,0.154156287060923,NA,0.000650341362409276,0.4,56188,-6.03934075291829e-06,1.00002716384395,"S_17",0.813,0.504,1
"S_23",0.0675224,0.3222535,0.624517,0.334901103912667,0.148769019669299,NA,0.00060734697953976,0.4,60000,-0.00327782663558656,1.00001079165391,"S_23",0.335,0.068,0.625
"S_24",0.598449,0.737509,0.863794,0.733568965,0.0682547789067322,NA,0.000278648968046624,0.4,60000,-0.000455597218029885,0.99999854528531,"S_24",0.734,0.598,0.864
"sac_route",0.601895,0.7274275,0.835758,0.724338798833333,0.0601848968093834,NA,0.000247170934520021,0.4,59290,0.000760015370205402,1.00007985857801,"sac_route",0.724,0.602,0.836
"sutter_route",0.00604572,0.0498018,0.117111,0.05544024786905,0.0313576528074789,NA,0.000129463970308647,0.4,58666,0.000349553120859733,1.00005956610419,"sutter_route",0.055,0.006,0.117
"steam_route",0.0144611,0.0701719,0.144839,0.0753789658276667,0.0356156283773281,NA,0.000149178177710466,0.4,56999,-0.00597692601651491,1.00003391222617,"steam_route",0.075,0.014,0.145
"georg_route",0.0586414,0.140604,0.237296,0.144841988946667,0.0469239976279823,NA,0.000194075190920329,0.4,58459,0.00505561581536308,1.00001352948946,"georg_route",0.145,0.059,0.237
"sac_surv",0.560474,0.698477,0.826601,0.69544418375,0.0686196331078224,NA,0.000281525944616485,0.4,59410,-0.00327211118055782,1.00000616896364,"sac_surv",0.695,0.56,0.827
"sutter_surv",1.98991e-05,0.232379,0.644845,0.269471097496584,0.195193965923634,NA,0.000800746411349973,0.4,59421,0.000361375074107551,1.00005569523412,"sutter_surv",0.269,0,0.645
"steam_surv",0.48642,0.8260355,0.993778,0.789364305001667,0.150477237313195,NA,0.000642853986479486,0.4,54792,0.000266275941758852,1.00003528353049,"steam_surv",0.789,0.486,0.994
"georg_surv",0.0621543,0.3055315,0.592189,0.3175011622555,0.141539123152849,NA,0.000579836902777192,0.4,59586,-0.00282335539078258,1.00000812276,"georg_surv",0.318,0.062,0.592
"overall_surv",0.503534,0.625874,0.742635,0.624483938416667,0.0612114346727434,NA,0.000248919654354325,0.4,60471,-0.0031808607614782,1.00000583485243,"overall_surv",0.624,0.504,0.743
"P_3",0.950142,0.9784305,0.995422,0.975887618083333,0.0128617048480706,NA,5.27397700610324e-05,0.4,59473,0.00112968995163518,1.00012898805669,"P_3",0.976,0.95,0.995
"P_30",0.99693,0.99969,1,0.999222022883333,0.00136397360010842,NA,6.34096049188723e-06,0.5,46270,0.00601722424156242,0.999993632093789,"P_30",0.999,0.997,1
"P_8",0.680968,0.7812625,0.867417,0.778235463366667,0.0481110054240535,NA,0.000196412357168675,0.4,60000,-0.00731020299410158,1.00004494287584,"P_8",0.778,0.681,0.867
"P_14",0.525131,0.8657535,0.999998,0.825400641583333,0.149160553203051,NA,0.000619593539955977,0.4,57955,0.00202220929376163,1.00000265484439,"P_14",0.825,0.525,1
"P_15",0.632409,0.8901715,0.999997,0.861854440116667,0.114350727046019,NA,0.000469623286265673,0.4,59290,0.00123320417242314,1.00000321699996,"P_15",0.862,0.632,1
"P_21",0.948946,0.994113,1,0.986819592183333,0.0198217907801027,NA,8.57341232811999e-05,0.4,53454,-0.00050774334257145,1.00009152699147,"P_21",0.987,0.949,1
