"","Lower95","Median","Upper95","Mean","SD","Mode","MCerr","MC.ofSD","SSeff","AC.50","psrf","parameter","est","l95","u95"
"Pa_3",0.664757,0.7877255,0.894445,0.7836771009,0.0598603628880308,NA,0.000245282780122608,0.4,59559,0.00647071415777063,1.00002461899597,"Pa_3",0.784,0.665,0.894
"Pa_30",0.802977,0.9044225,0.977963,0.897499876666667,0.0478787242790121,NA,0.000196347674917954,0.4,59461,4.72545854703386e-05,1.00002276639844,"Pa_30",0.897,0.803,0.978
"Pb_3",0.780279,0.8860375,0.967015,0.879711495333333,0.0497046588735242,NA,0.000204576410873639,0.4,59031,0.0045777764319215,1.00017176469122,"Pb_3",0.88,0.78,0.967
"Pb_30",0.742925,0.858346,0.948754,0.852795941266667,0.0545323963646862,NA,0.000223638681630688,0.4,59459,0.000732398587781667,1.00010916629033,"Pb_30",0.853,0.743,0.949
"S_4",0.941969,0.9863355,0.999999,0.980421876383333,0.0192007271420281,NA,8.99479850102457e-05,0.5,45567,-0.00605564523231239,1.00002417838263,"S_4",0.98,0.942,1
"Pa_8",0.434191,0.577624,0.718269,0.5766877942,0.0729087748408589,NA,0.000297946574542082,0.4,59880,-3.4068322057826e-05,1.0000061520469,"Pa_8",0.577,0.434,0.718
"Pb_8",0.435339,0.5777475,0.71901,0.576492593283333,0.0727099470414391,NA,0.000296053896155761,0.4,60318,-0.00065000088367172,0.999996224363963,"Pb_8",0.576,0.435,0.719
"gamma_5",0.770228,0.8694775,0.951399,0.864697347566667,0.0477671036970482,NA,0.000195961974218376,0.4,59417,-0.00469965851867239,1.0000178773358,"gamma_5",0.865,0.77,0.951
"Pa_14",0.162443,0.6129875,0.999982,0.594707448404667,0.250753905795872,NA,0.00104296303066939,0.4,57804,-0.000437796867008577,1.00000131112982,"Pa_14",0.595,0.162,1
"Pb_14",0.16474,0.61307,0.999945,0.594786633407333,0.250847685713284,NA,0.00103588700899664,0.4,58640,0.000714223219443698,1.00002411718182,"Pb_14",0.595,0.165,1
"gamma_13",0.0211385,0.2910135,0.652147,0.314746789182833,0.176763991196909,NA,0.000748913332271244,0.4,55709,-0.00552307651082447,0.999993853665585,"gamma_13",0.315,0.021,0.652
"Pa_15",0.299123,0.640905,0.999542,0.631761667031667,0.19296254541609,NA,0.000805045927214909,0.4,57452,0.00658257039897659,1.00000000370676,"Pa_15",0.632,0.299,1
"Pb_15",0.0200677,0.2940895,0.654896,0.316912037599233,0.176561044124634,NA,0.000727087078448496,0.4,58968,0.0012227492346053,1.0000147222435,"Pb_15",0.317,0.02,0.655
"S_12",0.934433,0.98445,1,0.97790014205,0.0215982936207916,NA,0.000102981493711355,0.5,43987,-0.000654363732754887,1.00001374011633,"S_12",0.978,0.934,1
"Pa_21",0.67876,0.9142125,1,0.885492873,0.101857893338052,NA,0.000450392684068284,0.4,51145,-0.00585142592382837,1.00007112737859,"Pa_21",0.885,0.679,1
"Pb_21",0.517596,0.7959985,0.987307,0.774666142416667,0.13235750781545,NA,0.000547924109876322,0.4,58352,-0.000576058054559268,1.00003141285164,"Pb_21",0.775,0.518,0.987
"gamma_18",0.0723941,0.1734985,0.289133,0.178302571526667,0.0566675398078174,NA,0.000231258209379032,0.4,60045,-0.000188222074083414,0.999988746365287,"gamma_18",0.178,0.072,0.289
"Pa_22",0.795157,0.9008975,0.978904,0.893713648316667,0.0498774386076404,NA,0.000203283852364526,0.4,60201,-0.00275544124248907,1.0000175737646,"Pa_22",0.894,0.795,0.979
"Pb_22",0.918905,0.980707,0.999999,0.97254051295,0.0267444834318039,NA,0.000126177335506371,0.5,44927,0.00281093339642319,1.00008250320153,"Pb_22",0.973,0.919,1
"S_16",0.264331,0.7499845,0.999993,0.702234250047833,0.224468500427136,NA,0.000950421529340053,0.4,55780,0.000402321762269203,1.00013661763643,"S_16",0.702,0.264,1
"S_17",0.564895,0.8799665,0.999999,0.842397733571667,0.136915371587691,NA,0.000592824787835884,0.4,53340,-0.00488920910525141,1.00009883927697,"S_17",0.842,0.565,1
"S_23",0.259461,0.5711255,0.864835,0.56659322914,0.159737919266665,NA,0.000657663873689703,0.4,58994,-0.000798041230481885,1.00007906802152,"S_23",0.567,0.259,0.865
"S_24",0.769568,0.888461,0.979283,0.881957410933333,0.0559367287582542,NA,0.000229454671379632,0.4,59429,-0.00286797546567411,0.999986086157598,"S_24",0.882,0.77,0.979
"sac_route",0.5885,0.713142,0.830694,0.710495309766667,0.0625717318998843,NA,0.000256774971938811,0.4,59381,-0.00462881431417211,1.00002450080667,"sac_route",0.71,0.589,0.831
"sutter_route",0.00102601,0.0360783,0.100465,0.0425294622115333,0.0293511548452078,NA,0.000123127821574722,0.4,56825,-0.00772589335447095,1.00002187829,"sutter_route",0.043,0.001,0.1
