"","Lower95","Median","Upper95","Mean","SD","Mode","MCerr","MC.ofSD","SSeff","AC.50","psrf","parameter","est","l95","u95"
"S_2",0.116825,0.143839,0.172727,0.144317168991667,0.014297000704067,NA,5.79472575207627e-05,0.4,60873,-0.0068366055028592,1.00003223657448,"S_2",0.144,0.117,0.173
"S_23",0.112504,0.29306,0.501321,0.299980526846667,0.101765848984452,NA,0.000418440733345376,0.4,59147,0.00823611179388977,1.00002430872768,"S_23",0.3,0.113,0.501
"S_24",0.334548,0.4893875,0.644459,0.489147899183333,0.079570678923988,NA,0.000324523284323736,0.4,60119,-0.00500649226720177,1.00005503478444,"S_24",0.489,0.335,0.644
"Pa_3",0.966386,0.992019,1,0.98865813455,0.0111056304422669,NA,5.23536613752352e-05,0.5,44998,-3.34206337492953e-06,1.00011674210531,"Pa_3",0.989,0.966,1
"Pa_30",0.787237,0.905063,0.987335,0.8958710285,0.0556933724008816,NA,0.000232061762902442,0.4,57597,0.00594426001442354,1.00002356239534,"Pa_30",0.896,0.787,0.987
"Pb_3",0.928221,0.9693905,0.996236,0.965885828383333,0.0193000431547737,NA,8.06676142694125e-05,0.4,57242,0.0100218042256736,1.00006195125801,"Pb_3",0.966,0.928,0.996
"Pb_30",0.889925,0.973353,1,0.962481956616667,0.0360400128147646,NA,0.000166636389189929,0.5,46777,0.000182407384588294,1.00019863474778,"Pb_30",0.962,0.89,1
"S_4",0.794323,0.8716915,0.93742,0.868958843216667,0.0371589372074414,NA,0.000153134896112791,0.4,58881,-1.97193425494482e-05,1.00008008992081,"S_4",0.869,0.794,0.937
"Pa_8",0.950762,0.9883225,1,0.983420848883333,0.0162651384869188,NA,7.71551806609013e-05,0.5,44441,0.000252188889588546,1.00027935322613,"Pa_8",0.983,0.951,1
"Pb_8",0.950325,0.9883145,1,0.983262236733333,0.0164320532915949,NA,7.83768072020536e-05,0.5,43955,-0.0020203345344456,1.00032687157273,"Pb_8",0.983,0.95,1
"gamma_5",0.665058,0.76398,0.854489,0.76162115305,0.0486990582944661,NA,0.0002001675651941,0.4,59191,-0.00152911444354091,1.00001696921911,"gamma_5",0.762,0.665,0.854
"Pa_14",0.711893,0.924193,0.999999,0.897736666416667,0.0918445981289286,NA,0.000413284654885023,0.4,49387,-0.00483195242303814,1.00006183919271,"Pa_14",0.898,0.712,1
"Pb_14",0.341677,0.60397,0.847706,0.599029921416667,0.132730485072367,NA,0.000544321714371286,0.4,59461,0.00240843304944853,1.00000476559555,"Pb_14",0.599,0.342,0.848
"gamma_13",0.430874,0.641362,0.84298,0.636389261566667,0.107420568031258,NA,0.000438542632594181,0.4,60000,-0.000947048842588729,1.00006419211354,"gamma_13",0.636,0.431,0.843
"Pa_15",0.636349,0.9007185,0.999996,0.869453954133333,0.114538636106963,NA,0.000504692112297191,0.4,51505,0.00551796286535361,1.0000880818287,"Pa_15",0.869,0.636,1
"Pb_15",0.638768,0.900904,0.999996,0.869496584576667,0.113995742667086,NA,0.000496206160722306,0.4,52778,-0.00737645745140237,0.999988546476205,"Pb_15",0.869,0.639,1
"S_12",0.866771,0.9400505,0.999999,0.9355315128,0.0376954982549094,NA,0.000161829016033948,0.4,54258,0.000681541043142999,0.999994279601971,"S_12",0.936,0.867,1
"Pa_21",1.83491e-07,0.0354394,0.146361,0.0496550823279225,0.0475893822118287,NA,0.000221973954640284,0.5,45964,-0.00699284066924564,1.0000076133944,"Pa_21",0.05,0,0.146
"Pb_21",0.731847,0.91693,0.999999,0.89681458035,0.0837492392027901,NA,0.000371371227437656,0.4,50856,-0.00234946488785837,1.00003816887169,"Pb_21",0.897,0.732,1
"gamma_18",0.212199,0.332425,0.459029,0.33434753303,0.0635785935999262,NA,0.000266426868655982,0.4,56946,0.00351389200888008,1.00001644262916,"gamma_18",0.334,0.212,0.459
"Pa_22",0.922606,0.981767,0.999999,0.973995886233333,0.0254073145011955,NA,0.000119367109539504,0.5,45305,0.00122466604240967,1.00000778147126,"Pa_22",0.974,0.923,1
"Pb_22",0.923468,0.9816245,1,0.9739639431,0.0253628909830691,NA,0.000119552864475284,0.5,45007,0.000195827078473538,1.00007420508076,"Pb_22",0.974,0.923,1
"S_16",0.0370178,0.210511,0.444335,0.2252923056425,0.110951757655937,NA,0.000456392458744894,0.4,59101,-0.00860634241936636,1.00007998694953,"S_16",0.225,0.037,0.444
"S_17",0.175448,0.4979575,0.807082,0.498549779933333,0.166517424653181,NA,0.00067646529902823,0.4,60594,-0.00722874640011655,0.999988244608679,"S_17",0.499,0.175,0.807
"sac_route",0.396877,0.5071705,0.624076,0.506961918483333,0.0582238601961404,NA,0.000239556806373309,0.4,59072,0.00157482127411778,1.00002620071253,"sac_route",0.507,0.397,0.624
"sutter_route",0.0740461,0.14871,0.231287,0.151817717115,0.0409936105983022,NA,0.000167816105387135,0.4,59671,-0.00169302470368339,1.00006346677351,"sutter_route",0.152,0.074,0.231
"steam_route",0.0318878,0.083096,0.149318,0.0865611300035,0.0312243539650241,NA,0.000127472891270596,0.4,60000,-0.00107207012658536,1.00001315961093,"steam_route",0.087,0.032,0.149
"georg_route",0.15921,0.2523845,0.357044,0.254659237135,0.0512306686869556,NA,0.000212234668959615,0.4,58268,0.00399132859962254,1.00002116094686,"georg_route",0.255,0.159,0.357
"sac_surv",0.26327,0.396239,0.531436,0.397640438466667,0.0688562069995668,NA,0.000281078955081692,0.4,60011,-0.000446887902844201,1.00002016795516,"sac_surv",0.398,0.263,0.531
"sutter_surv",0.0310689,0.182975,0.38604,0.195673541311167,0.0966381422564647,NA,0.000397561607956372,0.4,59087,-0.00724886211900526,1.00005401446278,"sutter_surv",0.196,0.031,0.386
"steam_surv",0.147364,0.4319985,0.702012,0.433180438988333,0.145927076887844,NA,0.00059584579384998,0.4,59980,-0.00645389332883051,0.999986110451394,"steam_surv",0.433,0.147,0.702
"georg_surv",0.0904043,0.237214,0.408319,0.243554699573333,0.0831045200420422,NA,0.000341057650923033,0.4,59374,0.00839291134062438,1.00003350268446,"georg_surv",0.244,0.09,0.408
"overall_surv",0.238322,0.329296,0.425897,0.33039726465,0.0480641666906151,NA,0.000198409954480692,0.4,58683,0.00691931098521561,1.00001741458761,"overall_surv",0.33,0.238,0.426
"overall_surv_fromrelease",0.0319324,0.0471836,0.0644198,0.0476801989683333,0.00841096198786798,NA,3.45822758925233e-05,0.4,59154,0.00355340404480413,1.0000248081836,"overall_surv_fromrelease",0.048,0.032,0.064
"P_3",0.998686,0.999777,1,0.999612538633333,0.000487933477527529,NA,2.19087311889756e-06,0.4,49601,0.0001992376020445,1.00007857729634,"P_3",1,0.999,1
"P_30",0.986169,0.997715,1,0.995955390683333,0.00517967025312893,NA,2.32458453171295e-05,0.4,49649,0.00407364679379089,1.00020784419816,"P_30",0.996,0.986,1
"P_8",0.998909,0.999889,1,0.999724284116667,0.000462112222109324,NA,2.07856393944044e-06,0.4,49427,0.00491152064158392,1.00268402152178,"P_8",1,0.999,1
"P_14",0.866621,0.9721725,0.999999,0.957387382983333,0.0450789635622364,NA,0.000201325702941889,0.4,50136,-0.00299421257788716,1.00006268968327,"P_14",0.957,0.867,1
"P_15",0.930257,0.992158,1,0.9822141686,0.0270837943230392,NA,0.000117536914113303,0.4,53097,-0.00341304903275864,1.00018596749567,"P_15",0.982,0.93,1
"P_21",0.74392,0.921181,0.999999,0.901798523983333,0.0801078518041091,NA,0.00035571713838973,0.4,50715,-0.00205860374953777,1.0000395645509,"P_21",0.902,0.744,1
"P_22",0.997281,0.999722,1,0.999317856116667,0.0011525707655514,NA,5.25826168364013e-06,0.5,48045,0.0069990364002954,1.00038304498274,"P_22",0.999,0.997,1
"r1_sut",0.0740461,0.14871,0.231287,0.151817717115,0.0409936105983022,NA,0.000167816105387135,0.4,59671,-0.00169302470368339,1.00006346677351,"r1_sut",0.152,0.074,0.231
"r1_ste",0.0318878,0.083096,0.149318,0.0865611300035,0.0312243539650241,NA,0.000127472891270596,0.4,60000,-0.00107207012658536,1.00001315961093,"r1_ste",0.087,0.032,0.149
"r1_sac",0.665058,0.76398,0.854489,0.76162115305,0.0486990582944661,NA,0.0002001675651941,0.4,59191,-0.00152911444354091,1.00001696921911,"r1_sac",0.762,0.665,0.854
"r2_geo",0.212199,0.332425,0.459029,0.33434753303,0.0635785935999262,NA,0.000266426868655982,0.4,56946,0.00351389200888008,1.00001644262916,"r2_geo",0.334,0.212,0.459
"r2_sac",0.540971,0.667575,0.787801,0.665652466966667,0.0635785935870619,NA,0.00026642686855709,0.4,56946,0.00351389196598979,1.00001644262595,"r2_sac",0.666,0.541,0.788
"FirstSeenAtR.1_pred[1]",62,86,109,86.63195,12.1075430651372,87,0.0494463878353336,0.4,59957,-0.000259537595798607,1.00001957941276,"FirstSeenAtR.1_pred[1]",86.632,62,109
"FirstSeenAtR.1_pred[2]",0,0,0,0.02135,0.149313593071153,0,0.000616071422578888,0.4,58740,-0.00348362078743092,1.00084346260907,"FirstSeenAtR.1_pred[2]",0.021,0,0
"FirstSeenAtR.1_pred[3]",0,0,0,0.0043,0.0661935270731495,0,0.000271646479580552,0.4,59378,-0.000360348050378622,1.00194370163161,"FirstSeenAtR.1_pred[3]",0.004,0,0
"FirstSeenAtR.1_pred[4]",0,0,0,0.00253333333333333,0.0505993237149954,0,0.00020657087405273,0.4,60000,0.00368072345838987,1.00056826077156,"FirstSeenAtR.1_pred[4]",0.003,0,0
"FirstSeenAtR.1_pred[5]",0,0,0,0,0,0,NA,NA,NA,NA,NA,"FirstSeenAtR.1_pred[5]",0,0,0
"FirstSeenAtR.1_pred[6]",0,0,0,0,0,0,NA,NA,NA,NA,NA,"FirstSeenAtR.1_pred[6]",0,0,0
"FirstSeenAtR.1_pred[7]",0,0,0,8.33333333333333e-05,0.00912840499129961,0,4.56420249565016e-05,0.5,40000,NA,1.11606836135993,"FirstSeenAtR.1_pred[7]",0,0,0
"FirstSeenAtR.1_pred[8]",489,515,536,514.339783333333,12.1102948604517,514,0.0494506637347727,0.4,59974,-0.000169713591130599,1.00001924286244,"FirstSeenAtR.1_pred[8]",514.34,489,536
"Auxiliary_D.3_pred[1]",0,2,8,2.92168333333333,2.3985368559547,1,0.00987727754244726,0.4,58968,-0.00203147492028569,1.00005361793518,"Auxiliary_D.3_pred[1]",2.922,0,8
"Auxiliary_D.3_pred[2]",0,0,4,0.949216666666667,1.35347758930417,0,0.00595695378973877,0.4,51624,0.00247504355874037,1.00006644522912,"Auxiliary_D.3_pred[2]",0.949,0,4
"Auxiliary_D.3_pred[3]",59,82,105,82.76105,11.8810790292022,81,0.0485045802196168,0.4,59999,-0.00123668577347475,1.00001647940594,"Auxiliary_D.3_pred[3]",82.761,59,105
"GivenDetectionAtD.3_pred[1]",37,57,76,57.3469166666667,10.1050994079041,54,0.0412538955824428,0.4,60000,-0.00469123055326206,1.00003100368965,"GivenDetectionAtD.3_pred[1]",57.347,37,76
"GivenDetectionAtD.3_pred[2]",2,10,19,10.9189833333333,4.58401241845537,9,0.0185240319251775,0.4,61238,-0.00645912999705367,1.00000530676878,"GivenDetectionAtD.3_pred[2]",10.919,2,19
