"","Lower95","Median","Upper95","Mean","SD","Mode","MCerr","MC.ofSD","SSeff","AC.50","psrf","parameter","est","l95","u95"
"Pa_3",0.751571,0.8212275,0.882731,0.819440543516667,0.0338835712449993,NA,0.000140850788545528,0.4,57871,-0.00100031412303177,1.00000159097059,"Pa_3",0.819,0.752,0.883
"Pa_30",0.937035,0.977568,0.999158,0.973414631916667,0.0184576375178933,NA,7.83591229567597e-05,0.4,55485,-0.00582219737243165,0.999980900185273,"Pa_30",0.973,0.937,0.999
"Pb_3",0.840304,0.898985,0.947669,0.896812255016667,0.0279958221433492,NA,0.000114292465301527,0.4,60000,-0.00402862634666874,1.00004195581124,"Pb_3",0.897,0.84,0.948
"Pb_30",0.866034,0.927591,0.977069,0.92404841765,0.0295726809909315,NA,0.000120004306920285,0.4,60728,-0.00254843017878292,1.00001835723088,"Pb_30",0.924,0.866,0.977
"S_4",0.959177,0.9849215,0.999999,0.982582022316667,0.0121397097152864,NA,5.0877855243756e-05,0.4,56932,-0.00795808428741353,1.00004390080026,"S_4",0.983,0.959,1
"Pa_8",0.650895,0.7351695,0.812443,0.733676599133333,0.0415085616825636,NA,0.000168684452908387,0.4,60552,0.00487281237877564,1.00002262413785,"Pa_8",0.734,0.651,0.812
"Pb_8",0.682034,0.761377,0.837446,0.75979291505,0.0400776406869452,NA,0.000163616282962703,0.4,60000,0.00183321450118918,1.00010086897007,"Pb_8",0.76,0.682,0.837
"gamma_5",0.748523,0.8167875,0.878273,0.8151716017,0.0333628790590562,NA,0.000136203383408123,0.4,60000,0.00113863275364941,0.999982725990899,"gamma_5",0.815,0.749,0.878
"Pa_14",0.279097,0.5035575,0.733354,0.504656233666667,0.117811243361849,NA,0.000485597567525673,0.4,58860,-0.00199576327047066,1.00003063052111,"Pa_14",0.505,0.279,0.733
"Pb_14",0.665173,0.8545135,0.999998,0.841597952383333,0.0948649834839442,NA,0.000398658925588174,0.4,56625,-0.00325699355102808,0.999984897276944,"Pb_14",0.842,0.665,1
"gamma_13",0.449465,0.6435445,0.819808,0.639019021033333,0.096113427414699,NA,0.000402875103310981,0.4,56915,0.00621335605001269,1.00000953273604,"gamma_13",0.639,0.449,0.82
"Pa_15",0.62673,0.8891635,0.999993,0.859468981433333,0.116841016040348,NA,0.000504780754136735,0.4,53578,0.0018360506604603,1.0000249919606,"Pa_15",0.859,0.627,1
"Pb_15",0.503269,0.7838175,0.986741,0.764513415233333,0.13573581666195,NA,0.00056548530163848,0.4,57616,-0.000618912938539497,1.00002558399608,"Pb_15",0.765,0.503,0.987
"S_12",0.957515,0.98574,0.999999,0.9827831168,0.0129806818837171,NA,5.55090354505696e-05,0.4,54685,0.00388850605901997,0.99999693957445,"S_12",0.983,0.958,1
"Pa_21",0.802127,0.949077,0.999999,0.930872561833333,0.0635070599704601,NA,0.000287675568613806,0.5,48735,0.000864137814024075,1.0000682878285,"Pa_21",0.931,0.802,1
"Pb_21",0.803935,0.9490145,1,0.930932837766667,0.0631489401534029,NA,0.000286950825672741,0.5,48430,-0.00204311596416317,1.00000541190847,"Pb_21",0.931,0.804,1
"gamma_18",0.0834288,0.1421155,0.211212,0.144240782823333,0.0331044276990542,NA,0.000135148260149234,0.4,60000,-0.0013855613856146,1.00001970359701,"gamma_18",0.144,0.083,0.211
"Pa_22",0.860451,0.9202345,0.968328,0.917317174316667,0.028465965101873,NA,0.000115964881784656,0.4,60256,0.00245758966889434,1.00001953945776,"Pa_22",0.917,0.86,0.968
"Pb_22",0.903121,0.951328,0.987915,0.94828435345,0.0229248367448957,NA,9.54997421334695e-05,0.4,57625,0.000361192999007284,1.00010305156106,"Pb_22",0.948,0.903,0.988
