"","Lower95","Median","Upper95","Mean","SD","Mode","MCerr","MC.ofSD","SSeff","AC.50","psrf","parameter","est","l95","u95"
"Pa_3",0.31362,0.390278,0.468736,0.3907339412,0.0398022302099267,NA,0.000164362862072575,0.4,58642,0.00467430293182696,1.00003392285133,"Pa_3",0.391,0.314,0.469
"Pa_30",0.917942,0.961011,0.992468,0.957891006033333,0.020380921687002,NA,8.44862911615887e-05,0.4,58194,0.00296699499079036,1.00003971138148,"Pa_30",0.958,0.918,0.992
"Pb_3",0.584285,0.684869,0.779508,0.68343220165,0.050285703838669,NA,0.000207150991307606,0.4,58927,0.0115007420133627,1.0000233990399,"Pb_3",0.683,0.584,0.78
"Pb_30",0.889579,0.9410455,0.980718,0.938019349533333,0.0244167798220303,NA,0.000100211451532652,0.4,59367,-0.00797619243489364,1.00005485976407,"Pb_30",0.938,0.89,0.981
"S_4",0.939481,0.9713445,0.999992,0.969681375533333,0.016844218926313,NA,7.15627039650466e-05,0.4,55402,-0.00702426520555347,1.00003109571528,"S_4",0.97,0.939,1
"Pa_8",0.467699,0.555138,0.637563,0.5547995999,0.043380035315989,NA,0.000177820106602134,0.4,59514,0.00406890280728478,1.00008002933129,"Pa_8",0.555,0.468,0.638
"Pb_8",0.42403,0.509427,0.594167,0.5092387228,0.043456709901959,NA,0.000179207470421206,0.4,58803,0.0033941738264578,1.00001797695011,"Pb_8",0.509,0.424,0.594
"gamma_5",0.703268,0.770318,0.832757,0.76937438295,0.0332786858339626,NA,0.000137041701672768,0.4,58969,-0.00394456647951869,1.00003283063482,"gamma_5",0.769,0.703,0.833
"Pa_14",0.0735819,0.221394,0.395863,0.230075921091667,0.0850451570376896,NA,0.000357194468916009,0.4,56688,0.00774417711237869,0.99999305062335,"Pa_14",0.23,0.074,0.396
"Pb_14",0.609936,0.814222,0.999968,0.807811585483333,0.11362903399892,NA,0.000516090710044417,0.5,48476,0.000633029645342731,1.00001344598057,"Pb_14",0.808,0.61,1
"gamma_13",0.442807,0.632879,0.80352,0.629216543083333,0.093696706982186,NA,0.000411920288934762,0.4,51740,0.000883052957347986,1.00003343696692,"gamma_13",0.629,0.443,0.804
