"","Lower95","Median","Upper95","Mean","SD","Mode","MCerr","MC.ofSD","SSeff","AC.50","psrf","parameter","est","l95","u95"
"Pa_3",0.809242,0.86662,0.917556,0.864920154683333,0.0280081480412082,NA,0.000114864863870298,0.4,59456,-0.00289145609959174,1.00010478533387,"Pa_3",0.865,0.809,0.918
"Pa_30",0.883229,0.9444775,0.988101,0.9401304813,0.0287982055884113,NA,0.000118422637965388,0.4,59137,-0.00388322071048135,1.00007945586434,"Pa_30",0.94,0.883,0.988
"Pb_3",0.784202,0.84377,0.898886,0.842386018716667,0.0295701988467871,NA,0.000120719831278774,0.4,60000,-0.000641879114865592,1.00005392860262,"Pb_3",0.842,0.784,0.899
"Pb_30",0.82845,0.903683,0.963529,0.8997632894,0.0358291651413541,NA,0.000147929973827098,0.4,58663,-0.00358455141870334,1.0000310436423,"Pb_30",0.9,0.828,0.964
"S_4",0.919541,0.9561385,0.986383,0.954494963983333,0.0174137214405124,NA,7.23581910340318e-05,0.4,57917,-0.00772004423671908,1.00002206451276,"S_4",0.954,0.92,0.986
"Pa_8",0.657866,0.7343415,0.808555,0.733202849333333,0.03865806516395,NA,0.000156079249430066,0.4,61347,-0.00159785475421208,0.999998948038688,"Pa_8",0.733,0.658,0.809
"Pb_8",0.437079,0.5218425,0.606892,0.521780024133333,0.0434677233721122,NA,0.000177456237570209,0.4,60000,-0.00110237138707771,1.00001711079386,"Pb_8",0.522,0.437,0.607
"gamma_5",0.730963,0.796224,0.854716,0.794971776066667,0.0316583923125304,NA,0.000129244845404248,0.4,60000,0.00188102380132005,1.00009779620716,"gamma_5",0.795,0.731,0.855
"Pa_14",0.32516,0.5241795,0.732356,0.524386677933333,0.104625634249534,NA,0.000429292538143437,0.4,59398,-0.00297464405882776,1.0000068389961,"Pa_14",0.524,0.325,0.732
"Pb_14",0.780271,0.9344885,0.999999,0.91719069005,0.0690286715738953,NA,0.000304601092693671,0.4,51357,0.000155977403011571,1.00006081964521,"Pb_14",0.917,0.78,1
"gamma_13",0.467828,0.6329495,0.791456,0.63001653655,0.0835076793736794,NA,0.000343927953548144,0.4,58955,0.00313828862968645,1.00005543480334,"gamma_13",0.63,0.468,0.791
"Pa_15",0.667685,0.8888605,0.999997,0.866985870566667,0.102032451255419,NA,0.000422663261637043,0.4,58276,-0.000768883648840018,1.00003148820181,"Pa_15",0.867,0.668,1
"Pb_15",0.24611,0.5056265,0.760318,0.505838073098333,0.133613979911996,NA,0.000548034278754021,0.4,59441,-0.00411330014599476,1.0000212776828,"Pb_15",0.506,0.246,0.76
"S_12",0.959803,0.985913,0.999991,0.9831587944,0.0120329117622026,NA,5.01219933411634e-05,0.4,57635,-0.00286249430663633,1.00004163396305,"S_12",0.983,0.96,1
