"","Lower95","Median","Upper95","Mean","SD","Mode","MCerr","MC.ofSD","SSeff","AC.50","psrf","parameter","est","l95","u95"
"Pa_3",0.469493,0.527099,0.585403,0.527087799316667,0.0295547306498944,NA,0.000120567844996057,0.4,60088,0.00280686608893908,0.999987739478101,"Pa_3",0.527,0.469,0.585
"Pa_30",0.912623,0.9536785,0.985678,0.95117327135,0.0194813649235966,NA,8.0334428816038e-05,0.4,58808,2.063181831254e-05,1.00000078938111,"Pa_30",0.951,0.913,0.986
"Pb_3",0.704991,0.7662285,0.822393,0.765348284816667,0.0301220571913001,NA,0.000123374521483642,0.4,59610,0.00128363683454745,1.00001705791079,"Pb_3",0.765,0.705,0.822
"Pb_30",0.743057,0.8082615,0.870545,0.80682145965,0.0326964344485384,NA,0.000132739498091099,0.4,60674,0.00369725567529346,1.00002195042037,"Pb_30",0.807,0.743,0.871
"S_4",0.911844,0.948431,0.983314,0.948183484633333,0.0180398627218173,NA,7.81490418924679e-05,0.4,53287,0.00433032099953855,1.00001962999751,"S_4",0.948,0.912,0.983
"Pa_8",0.347717,0.4087875,0.468176,0.408974494816667,0.030858244121577,NA,0.000125978254093504,0.4,60000,-0.0029294429427795,0.99999382476113,"Pa_8",0.409,0.348,0.468
"Pb_8",0.248698,0.303334,0.362567,0.303937207083333,0.0289665639351512,NA,0.000118255502071377,0.4,60000,0.00116582885953159,1.00001503671267,"Pb_8",0.304,0.249,0.363
"gamma_5",0.771524,0.818486,0.864865,0.817684819083333,0.0239163811361522,NA,0.000100962436938929,0.4,56114,0.00166145466731875,0.999977958684191,"gamma_5",0.818,0.772,0.865
"Pa_14",0.209943,0.4049845,0.614335,0.409281325445,0.105234751356557,NA,0.000482013127679414,0.5,47665,-0.00385202803951264,1.00004184279042,"Pa_14",0.409,0.21,0.614
"Pb_14",0.47748,0.724261,0.943531,0.715831415816667,0.126116722099965,NA,0.000602416956744108,0.5,43828,0.00346855813945169,1.00007629411644,"Pb_14",0.716,0.477,0.944
"gamma_13",0.305729,0.4925125,0.707123,0.5001532916,0.104343053698593,NA,0.000526459193199633,0.5,39282,0.000987483092163348,1.00007240292988,"gamma_13",0.5,0.306,0.707
"Pa_15",0.217966,0.433849,0.722597,0.448891542183333,0.130742115996016,NA,0.000660518519097305,0.5,39180,-0.0028456302877861,1.00006076252935,"Pa_15",0.449,0.218,0.723
"Pb_15",0.0578106,0.1943925,0.378277,0.206680209365,0.0864679117518867,NA,0.000404063992204847,0.5,45794,-0.00415952103603014,0.999990588238036,"Pb_15",0.207,0.058,0.378
"S_12",0.949543,0.9772545,0.996446,0.975205779216667,0.0128779990360288,NA,5.4166642030184e-05,0.4,56524,0.00188952849964245,1.00000828680305,"S_12",0.975,0.95,0.996
"Pa_21",0.914792,0.968934,0.999198,0.963554907566667,0.0250499898204329,NA,0.000106713907095336,0.4,55103,0.00214881622471469,1.00003676140794,"Pa_21",0.964,0.915,0.999
"Pb_21",0.798571,0.886189,0.955726,0.881863366266667,0.0414099497255425,NA,0.000170361694562056,0.4,59083,-8.64412065016984e-05,0.999985961572879,"Pb_21",0.882,0.799,0.956
"gamma_18",0.187383,0.239001,0.292488,0.23950746895,0.0269421326707405,NA,0.000111794825611894,0.4,58079,-0.00628980420828,0.999995712744427,"gamma_18",0.24,0.187,0.292
"Pa_22",0.927046,0.9589605,0.9832,0.957185977,0.0148217453809858,NA,6.13145110004893e-05,0.4,58435,-0.00286467308800298,1.00011209539455,"Pa_22",0.957,0.927,0.983
"Pb_22",0.934229,0.964106,0.986365,0.962462000916667,0.0138770921269376,NA,5.68641213328215e-05,0.4,59555,0.00231952695239593,1.0001922806061,"Pb_22",0.962,0.934,0.986
"S_16",0.549995,0.729671,0.895198,0.723649690533333,0.0901163295453806,NA,0.000367898374797798,0.4,60000,-0.00281897290164498,1.00003688929452,"S_16",0.724,0.55,0.895
"S_17",0.438148,0.661703,0.862331,0.656926013883333,0.110800200189399,NA,0.00046825528038393,0.4,55991,-0.00755436060335771,1.00005652413519,"S_17",0.657,0.438,0.862
"S_23",0.021084,0.07821905,0.151466,0.0826083303186667,0.0349921386757334,NA,0.00014496152616608,0.4,58269,-0.000982638096505883,1.00005198552525,"S_23",0.083,0.021,0.151
"S_24",0.489469,0.562157,0.631377,0.562033787416667,0.0363128094254773,NA,0.000148246423698912,0.4,60000,-0.00104775842828992,1.00007535489977,"S_24",0.562,0.489,0.631
"sac_route",0.565043,0.622185,0.676704,0.62184396545,0.0285926712031789,NA,0.000117658256743219,0.4,59056,-0.00426963529417466,0.999991709240274,"sac_route",0.622,0.565,0.677
"sutter_route",0.0511773,0.0888142,0.132852,0.0908847973616667,0.0213691233390207,NA,9.99417521742202e-05,0.5,45717,0.000997378939952178,1.00004375669492,"sutter_route",0.091,0.051,0.133
