"","Lower95","Median","Upper95","Mean","SD","Mode","MCerr","MC.ofSD","SSeff","AC.50","psrf","parameter","est","l95","u95"
"Pa_3",0.571905,0.713052,0.840764,0.709361659733333,0.069767543183883,NA,0.000285204777203085,0.4,59840,-0.00475664664884222,1.00003953128933,"Pa_3",0.709,0.572,0.841
"Pa_30",0.854903,0.9464715,0.998362,0.937351107583333,0.0420926955595469,NA,0.000178240860320649,0.4,55770,0.00881846767179238,1.00005846322961,"Pa_30",0.937,0.855,0.998
"Pb_3",0.711814,0.837393,0.946007,0.831065521833333,0.0617743077857005,NA,0.000251942934537484,0.4,60119,-0.000669939875663183,0.999999733479742,"Pb_3",0.831,0.712,0.946
"Pb_30",0.738924,0.8635595,0.957533,0.856670228833333,0.058504837583241,NA,0.000238844999272241,0.4,60000,-0.000722683981223602,1.00003159447493,"Pb_30",0.857,0.739,0.958
"S_4",0.909562,0.9720235,0.999998,0.9651245263,0.0283626831918939,NA,0.000121274173553773,0.4,54696,-0.00645106143285565,1.00004305680718,"S_4",0.965,0.91,1
"Pa_8",0.449378,0.611116,0.761273,0.608912341916667,0.080095568679668,NA,0.000323495503512458,0.4,61303,0.000136306311822667,1.00003187543412,"Pa_8",0.609,0.449,0.761
"Pb_8",0.425451,0.582656,0.740947,0.5813762988,0.0811162142741328,NA,0.000330089943446692,0.4,60388,-0.010425045656787,0.999990856109012,"Pb_8",0.581,0.425,0.741
"gamma_5",0.630831,0.7617555,0.872321,0.75790212515,0.0626279455535114,NA,0.000255091766292969,0.4,60276,-0.00372249089840576,1.00003354744189,"gamma_5",0.758,0.631,0.872
"Pa_14",0.0190997,0.276002,0.622439,0.2993990036762,0.168521803471148,NA,0.000693559504164372,0.4,59040,-0.00433093532661641,1.00001494812287,"Pa_14",0.299,0.019,0.622
"Pb_14",0.429784,0.7745045,0.999976,0.748471689843333,0.168694074464869,NA,0.000703057028820816,0.4,57573,-0.00419105413033972,1.00007129097456,"Pb_14",0.748,0.43,1
"gamma_13",0.195677,0.46788,0.746557,0.46857855658,0.144189745678975,NA,0.000588652171758605,0.4,60000,-0.00467202501142598,1.00007179352508,"gamma_13",0.469,0.196,0.747
"Pa_15",0.521507,0.8386095,0.999996,0.807346374133333,0.146192383127942,NA,0.000618325811048123,0.4,55900,0.00579195177579173,1.00002872907833,"Pa_15",0.807,0.522,1
"Pb_15",0.208178,0.5391675,0.86972,0.537842662553333,0.17593528674181,NA,0.000718479244990419,0.4,59962,0.00171898886000804,1.00003275472273,"Pb_15",0.538,0.208,0.87
"S_12",0.910527,0.9784645,0.999999,0.969577244,0.0293243753699861,NA,0.00013816714356053,0.5,45045,0.00204875391227823,1.00002988756544,"S_12",0.97,0.911,1
"Pa_21",0.736506,0.9316295,0.999999,0.90739716345,0.084559179358522,NA,0.000379622549735133,0.4,49616,0.00157708568260075,1.00005250209933,"Pa_21",0.907,0.737,1
"Pb_21",0.737997,0.931576,1,0.907598209316667,0.0839768007328224,NA,0.00038316939771563,0.5,48033,0.00158895094918695,1.00004827753318,"Pb_21",0.908,0.738,1
"gamma_18",0.135607,0.2740285,0.420091,0.277992416086667,0.0738105763883693,NA,0.000295001818456875,0.4,62602,0.000828197618208333,1.00016880723303,"gamma_18",0.278,0.136,0.42
