"","Lower95","Median","Upper95","Mean","SD","Mode","MCerr","MC.ofSD","SSeff","AC.50","psrf","parameter","est","l95","u95"
"S_2",0.0348586,0.05163115,0.0702853,0.05214209606,0.00909850775212344,NA,3.7128007753066e-05,0.4,60053,-0.00387387657494132,1.00000659205844,"S_2",0.052,0.035,0.07
"S_23",7.41635e-06,0.2964715,0.821324,0.345072049961138,0.249859565292301,NA,0.00103846475046555,0.4,57891,-0.00920451065522876,1.0000501930343,"S_23",0.345,0,0.821
"S_24",0.0269918,0.3390345,0.745101,0.36400863337805,0.199382151168057,NA,0.000824285326279478,0.4,58508,0.00386314372482231,1.00001168572736,"S_24",0.364,0.027,0.745
"Pa_3",0.8911,0.9734455,1,0.96289103745,0.0355485927654163,NA,0.000165969772562904,0.5,45876,-0.0111700672920648,0.999994516810168,"Pa_3",0.963,0.891,1
"Pa_30",0.435373,0.808801,0.999984,0.77175097596,0.173862201822044,NA,0.000749427768964982,0.4,53821,-0.000853203623472004,1.00003853642703,"Pa_30",0.772,0.435,1
"Pb_3",0.521393,0.6869925,0.837489,0.683077977666667,0.0815348238521832,NA,0.00033286452450926,0.4,60000,-0.00539780664831864,0.999989867573578,"Pb_3",0.683,0.521,0.837
"Pb_30",0.264429,0.6305755,0.95612,0.617361691875,0.190382087626488,NA,0.000790257077035779,0.4,58038,-0.00539649057215772,1.00004098173073,"Pb_30",0.617,0.264,0.956
"S_4",0.302465,0.4725835,0.646525,0.473249177666667,0.0885181129117393,NA,0.000364581972226683,0.4,58949,-0.00185983876508712,1.0000201873163,"S_4",0.473,0.302,0.647
"Pa_8",0.722013,0.927829,0.999999,0.902631863933333,0.0883380045583457,NA,0.000393364605938434,0.4,50432,-0.00660150077215036,1.00001299663229,"Pa_8",0.903,0.722,1
"Pb_8",0.590598,0.8317565,0.992478,0.8122422485,0.114354932617815,NA,0.000475484196186231,0.4,57841,0.0017836191397111,1.00000276874917,"Pb_8",0.812,0.591,0.992
"gamma_5",0.396288,0.6262405,0.848787,0.6212952169,0.117886501752518,NA,0.000481269628092306,0.4,60000,-0.000799961966748774,1.00000297636415,"gamma_5",0.621,0.396,0.849
"Pa_14",0.207133,0.689213,0.999953,0.652006653599,0.240471610258647,NA,0.000989605553423691,0.4,59048,-0.00392101542771273,1.00011618867149,"Pa_14",0.652,0.207,1
"Pb_14",0.208912,0.690025,0.999996,0.6530192820845,0.239403244020427,NA,0.000980436412054456,0.4,59624,-0.00238878265558368,1.00000741102576,"Pb_14",0.653,0.209,1
"gamma_13",0.0222173,0.271028,0.602806,0.292005048040667,0.161947572606809,NA,0.000661522037131054,0.4,59932,4.81589374202764e-05,1.00004423029287,"gamma_13",0.292,0.022,0.603
"Pa_15",0.5318,0.864437,0.99999,0.825303086683333,0.146175919310782,NA,0.00062770048198284,0.4,54231,0.00515904882409549,1.00017101860375,"Pa_15",0.825,0.532,1
"Pb_15",0.530971,0.864207,0.999996,0.825430128858333,0.14627737893009,NA,0.000631055640877994,0.4,53730,0.00307561707540026,1.00009757074959,"Pb_15",0.825,0.531,1
"S_12",0.2636,0.5695565,0.859932,0.569189169211667,0.15473516423235,NA,0.000633950145079493,0.4,59576,-0.000269003599405547,0.999989778680267,"S_12",0.569,0.264,0.86
"Pa_21",0.192502,0.6708635,0.999978,0.638203035079,0.244799369717992,NA,0.00101684994495046,0.4,57957,-0.00294798268422445,0.999985647800369,"Pa_21",0.638,0.193,1
"Pb_21",0.19084,0.6687925,0.999993,0.636078213827667,0.244693208472339,NA,0.00100673610218642,0.4,59076,0.0035042371362139,0.999996088347855,"Pb_21",0.636,0.191,1
"gamma_18",0.0178609,0.2802545,0.611236,0.299882709660417,0.164412227135678,NA,0.000678186095178596,0.4,58772,-0.00182067008851469,0.999982162637559,"gamma_18",0.3,0.018,0.611
"Pa_22",0.521553,0.8597495,0.999999,0.820841140333333,0.148817350366297,NA,0.000642480884043634,0.4,53652,-0.00139723865598076,1.00010097944789,"Pa_22",0.821,0.522,1
"Pb_22",0.524905,0.859056,0.999994,0.82161158461,0.147671673625971,NA,0.000636515647281257,0.4,53824,1.78902472068688e-05,1.00002572240289,"Pb_22",0.822,0.525,1
"S_16",0.209014,0.691156,0.999933,0.654257166363167,0.239940078442301,NA,0.0010026635432062,0.4,57266,0.000166915680431858,1.00002765225563,"S_16",0.654,0.209,1
"S_17",0.158728,0.5402865,0.933517,0.54149512657,0.207171422244321,NA,0.000854571498876239,0.4,58771,-0.000424077538986229,1.00005398900891,"S_17",0.541,0.159,0.934
"sac_route",0.17754,0.4332475,0.689121,0.434966847523333,0.132809778842877,NA,0.000542193651694883,0.4,60000,0.00400106510698515,1.00000227589343,"sac_route",0.435,0.178,0.689
"sutter_route",0.00335987,0.09543745,0.255603,0.11091598912675,0.0738301929710087,NA,0.000301410500650313,0.4,60000,-0.00285670154395109,1.00005122123039,"sutter_route",0.111,0.003,0.256
"steam_route",0.0737668,0.258246,0.469151,0.267788792525,0.104531434572014,NA,0.000429737816794151,0.4,59168,0.0022547147663432,0.999987834238166,"steam_route",0.268,0.074,0.469
"georg_route",0.0105018,0.1686345,0.399424,0.18632836980155,0.110060544715996,NA,0.000452648846808179,0.4,59121,-0.00260561287945384,0.999979936944651,"georg_route",0.186,0.011,0.399
"sac_surv",0.0026117,0.0845399,0.223261,0.0977956784355833,0.0647049871081714,NA,0.000265337520327309,0.4,59467,0.00702445566386447,1.00006513889552,"sac_surv",0.098,0.003,0.223
"sutter_surv",0.0526275,0.311495,0.53612,0.309222043636333,0.128472017213598,NA,0.000532360290122113,0.4,58238,0.0012830821056745,1.00001997960466,"sutter_surv",0.309,0.053,0.536
