"","Lower95","Median","Upper95","Mean","SD","Mode","MCerr","MC.ofSD","SSeff","AC.50","psrf","parameter","est","l95","u95"
"S_2",0.0949735,0.1085605,0.122789,0.10869229537,0.00711143001061192,NA,2.89313234507615e-05,0.4,60420,0.00311938015687595,1.00009200980669,"S_2",0.109,0.095,0.123
"S_23",0.0374957,0.130632,0.247525,0.137229707553,0.0561528608240884,NA,0.000232181998182702,0.4,58491,-0.00205847327229405,1.00003010499633,"S_23",0.137,0.037,0.248
"S_24",0.232165,0.331884,0.439633,0.333353740966667,0.0535285317978942,NA,0.000220058255131232,0.4,59169,0.00163203765550814,1.00003219000008,"S_24",0.333,0.232,0.44
"Pa_3",0.985666,0.996666,1,0.995214184516667,0.00476007610898674,NA,2.30554664245756e-05,0.5,42627,0.00907765116408398,1.00014138004561,"Pa_3",0.995,0.986,1
"Pa_30",0.784379,0.8892985,0.96629,0.88319067245,0.0487455971365459,NA,0.000199639131398584,0.4,59618,0.00358852827612116,1.00002530192711,"Pa_30",0.883,0.784,0.966
"Pb_3",0.955277,0.977382,0.99432,0.975938269866667,0.0105253706492674,NA,4.34270569393995e-05,0.4,58743,-0.00439070660221915,1.00000599131692,"Pb_3",0.976,0.955,0.994
"Pb_30",0.785762,0.889153,0.96647,0.88323202805,0.048504477781361,NA,0.000201480960277855,0.4,57956,-0.00155632976003715,0.999985932124597,"Pb_30",0.883,0.786,0.966
"S_4",0.780827,0.833147,0.88136,0.832004055533333,0.0258545028517422,NA,0.000106080400966844,0.4,59402,-0.00185244673862836,1.00002543760836,"S_4",0.832,0.781,0.881
"Pa_8",0.97492,0.994185,1,0.991671232433333,0.00826904225137776,NA,3.98535182449638e-05,0.5,43050,0.00349383600464563,1.00013290277608,"Pa_8",0.992,0.975,1
"Pb_8",0.960436,0.985926,0.999614,0.98331683175,0.0116695280622538,NA,5.02233546599375e-05,0.4,53988,6.75128205659108e-05,1.00004415779379,"Pb_8",0.983,0.96,1
"gamma_5",0.613575,0.6842435,0.751325,0.683711727833333,0.0353290607672579,NA,0.00014423028661927,0.4,60000,0.00166574656770282,1.00000724267185,"gamma_5",0.684,0.614,0.751
"Pa_14",0.899116,0.9757605,0.999999,0.965797136616667,0.0330794459928161,NA,0.000156759400446872,0.5,44530,-0.000929696782727751,1.00007076679957,"Pa_14",0.966,0.899,1
"Pb_14",0.89916,0.9755745,1,0.965549703116667,0.033232049051936,NA,0.000157569806615796,0.5,44480,-0.000168265560196438,0.999995299185118,"Pb_14",0.966,0.899,1
"gamma_13",0.388846,0.517829,0.645747,0.5176444826,0.0660470583748421,NA,0.000271087776301277,0.4,59359,0.00401050074315823,1.00004775337673,"gamma_13",0.518,0.389,0.646
"Pa_15",0.891485,0.97409,1,0.963435750516667,0.0349928556965114,NA,0.000162219033707113,0.5,46532,-0.00251710311266404,1.00016185472066,"Pa_15",0.963,0.891,1
"Pb_15",0.892258,0.973925,0.999999,0.963421075233333,0.0352389311659132,NA,0.000164323385315264,0.5,45988,-0.00198878798855344,0.999984790618932,"Pb_15",0.963,0.892,1
"S_12",0.899683,0.94449,0.980125,0.942071736966667,0.0212698313176868,NA,8.76029504265695e-05,0.4,58951,0.00548140625683956,1.00000720017566,"S_12",0.942,0.9,0.98
"Pa_21",0.918646,0.980496,0.999998,0.97244819685,0.0267483989826121,NA,0.000125577024067976,0.5,45371,0.00257244469348473,1.00001375127861,"Pa_21",0.972,0.919,1
"Pb_21",0.917523,0.9803055,0.999999,0.972127936433333,0.027123183932067,NA,0.000130133183615821,0.5,43442,0.000446985168835744,1.00000476554742,"Pb_21",0.972,0.918,1
"gamma_18",0.23426,0.314881,0.402613,0.315796785733333,0.0432742857375408,NA,0.000176317287867519,0.4,60238,-0.00217400304135378,1.00004753030863,"gamma_18",0.316,0.234,0.403
"Pa_22",0.960413,0.99076,1,0.986714736366667,0.0132073919339774,NA,6.47367186417115e-05,0.5,41623,9.90075104424923e-05,1.00009772954646,"Pa_22",0.987,0.96,1
"Pb_22",0.882255,0.939732,0.983548,0.936130256266667,0.0274024990684204,NA,0.000113121945373174,0.4,58680,-0.00538108553674126,1.00006009867916,"Pb_22",0.936,0.882,0.984
"S_16",0.148919,0.2993255,0.471219,0.303711043286667,0.0835043603534902,NA,0.000340905123605907,0.4,60000,-0.00125196250052434,0.999981761007846,"S_16",0.304,0.149,0.471
"S_17",0.191134,0.358053,0.539937,0.361861551963333,0.0902272620162585,NA,0.000370061201408422,0.4,59447,-0.000967067118747687,1.0000577860305,"S_17",0.362,0.191,0.54
"sac_route",0.392614,0.4674645,0.542798,0.46780922035,0.0383957277055477,NA,0.000156749901969058,0.4,60000,-0.00291006713160783,0.99999568528492,"sac_route",0.468,0.393,0.543
"sutter_route",0.110914,0.162435,0.21898,0.163720837223333,0.0278397306697539,NA,0.000113655224529014,0.4,60000,0.00229532397290288,0.999986164871041,"sutter_route",0.164,0.111,0.219
"steam_route",0.101374,0.1513415,0.206583,0.152567437265,0.0270685704573431,NA,0.00011050697614511,0.4,60000,0.0045405596291156,1.00012425803248,"steam_route",0.153,0.101,0.207
"georg_route",0.155182,0.2147285,0.277842,0.215902508301667,0.0315837890668105,NA,0.000128158345999426,0.4,60734,-0.000276078142647965,1.00005968392105,"georg_route",0.216,0.155,0.278
"sac_surv",0.180221,0.259694,0.348102,0.261293736866667,0.0432222440371929,NA,0.000176454072381959,0.4,60000,0.00217308871636511,1.00003112323949,"sac_surv",0.261,0.18,0.348
"sutter_surv",0.120357,0.248764,0.390135,0.25270379443,0.070014672813433,NA,0.000285833704834708,0.4,60000,-0.00142044546700243,0.999982758387174,"sutter_surv",0.253,0.12,0.39
"steam_surv",0.158921,0.297588,0.451822,0.301074424301667,0.0757016246179661,NA,0.000309061778142682,0.4,59996,-0.00103898433893714,1.00007380643858,"steam_surv",0.301,0.159,0.452
"georg_surv",0.0294618,0.1022755,0.194825,0.107562030771,0.0442570221545557,NA,0.00018297964555631,0.4,58500,-0.00172505528017267,1.00002842182013,"georg_surv",0.108,0.029,0.195
"overall_surv",0.178043,0.2318505,0.291277,0.2327628053,0.0290251340724683,NA,0.000119271837571015,0.4,59221,-0.00480403264559555,1.00009302674326,"overall_surv",0.233,0.178,0.291
"overall_surv_fromrelease",0.0184053,0.02512445,0.0322234,0.02529829132,0.00356029347442736,NA,1.4584613446784e-05,0.4,59591,-0.00107506826205387,1.00004653635689,"overall_surv_fromrelease",0.025,0.018,0.032
"P_3",0.999626,0.999929,1,0.999885021583333,0.000134021714961275,NA,6.23514831404617e-07,0.5,46202,0.00716465960563081,1.00000847174791,"P_3",1,1,1
"P_30",0.968108,0.988247,0.998761,0.986064665266667,0.00919885594675587,NA,3.82228898515044e-05,0.4,57919,-0.0012801753164526,1.00003130333707,"P_30",0.986,0.968,0.999
