"","Lower95","Median","Upper95","Mean","SD","Mode","MCerr","MC.ofSD","SSeff","AC.50","psrf","parameter","est","l95","u95"
"Pa_3",0.828682,0.861539,0.892033,0.8609734284,0.0162084183545804,NA,6.54545743755432e-05,0.4,61320,0.00491572203847541,1.00001306061633,"Pa_3",0.861,0.829,0.892
"Pa_30",0.975928,0.988862,0.997787,0.987856421583333,0.00603743763039723,NA,2.50405260129647e-05,0.4,58132,0.00149077659015041,0.999983122017485,"Pa_30",0.988,0.976,0.998
"Pb_3",0.831308,0.8635255,0.894505,0.86295458695,0.0161342315606562,NA,6.58677245258599e-05,0.4,60000,0.00114073699109072,1.00005725131795,"Pb_3",0.863,0.831,0.895
"Pb_30",0.904722,0.93239,0.95677,0.931620377166667,0.013417122787655,NA,5.50425073960843e-05,0.4,59419,-0.00175639700022484,1.00003287804532,"Pb_30",0.932,0.905,0.957
"S_4",0.952656,0.969923,0.984683,0.969312622166667,0.00826723292913135,NA,3.4265869620428e-05,0.4,58210,0.00772025635908341,0.99998531191686,"S_4",0.969,0.953,0.985
"Pa_8",0.620294,0.6657915,0.710964,0.66540725585,0.0231673907112597,NA,9.45608662016304e-05,0.4,60025,0.00497649499707982,1.00000045204201,"Pa_8",0.665,0.62,0.711
"Pb_8",0.574611,0.620517,0.667039,0.620228441866667,0.023575640176045,NA,9.76190646682916e-05,0.4,58325,-2.63965606102252e-06,1.00000239186695,"Pb_8",0.62,0.575,0.667
"gamma_5",0.805934,0.8395665,0.870687,0.83915017925,0.0165369915720078,NA,6.79986566437121e-05,0.4,59144,0.00493425902961815,1.0000087370049,"gamma_5",0.839,0.806,0.871
"Pa_14",0.285896,0.443339,0.597425,0.444826814883333,0.0801841649502811,NA,0.000335965024306951,0.4,56963,0.00902611316225477,1.00000239565115,"Pa_14",0.445,0.286,0.597
"Pb_14",0.775755,0.9293275,0.999997,0.912759174433333,0.069750650108698,NA,0.000334555404731265,0.5,43467,-0.00951128596968054,0.999989003558688,"Pb_14",0.913,0.776,1
"gamma_13",0.39003,0.513392,0.642882,0.514833815866667,0.06477470971354,NA,0.000287337674867129,0.4,50819,-0.00434373146787917,0.999995835229385,"gamma_13",0.515,0.39,0.643
