"","Lower95","Median","Upper95","Mean","SD","Mode","MCerr","MC.ofSD","SSeff","AC.50","psrf","parameter","est","l95","u95"
"S_2",0.0693585,0.100399,0.135024,0.101098554175,0.0168905326694904,NA,6.92693384344775e-05,0.4,59457,-0.000334531427031619,1.00000574040516,"S_2",0.101,0.069,0.135
"S_23",0.0611773,0.463175,0.917927,0.478804662895167,0.236981903515735,NA,0.000991493800418156,0.4,57128,-0.00161325528764948,1.00002087959072,"S_23",0.479,0.061,0.918
"S_24",0.00588713,0.20414,0.559679,0.2392279728538,0.162484528281386,NA,0.000713170054641227,0.4,51908,0.00553899114051231,1.00018156729874,"S_24",0.239,0.006,0.56
"Pa_3",0.906595,0.9775985,0.999999,0.96831226525,0.0305808461204659,NA,0.00014284361548697,0.5,45833,0.000663158131027026,0.999998932709514,"Pa_3",0.968,0.907,1
"Pa_30",0.251768,0.66219,0.999999,0.643608029503333,0.225829874564337,NA,0.000990709042743022,0.4,51960,-0.0001274790059179,1.00001701596839,"Pa_30",0.644,0.252,1
"Pb_3",0.810008,0.915899,0.988695,0.90784143245,0.0497616207323161,NA,0.000205237622805367,0.4,58786,0.00134135591891272,1.00003921889667,"Pb_3",0.908,0.81,0.989
"Pb_30",0.109321,0.4724475,0.888989,0.482563130730667,0.214084923530521,NA,0.000918912146297537,0.4,54278,-0.000499975009008921,1.00001138401741,"Pb_30",0.483,0.109,0.889
"S_4",0.3837,0.5549185,0.725664,0.554572897616667,0.0880322989193687,NA,0.000364600464539452,0.4,58297,0.00464594029661747,1.00004606599654,"S_4",0.555,0.384,0.726
"Pa_8",0.792954,0.9479525,1,0.928116272333333,0.0671371141816133,NA,0.000305621533123809,0.5,48257,-0.00888386551782985,1.0000469700227,"Pa_8",0.928,0.793,1
"Pb_8",0.793058,0.9479625,1,0.9285396745,0.0666875032864124,NA,0.000303854712745877,0.5,48168,-0.00503764043892932,1.00018924546639,"Pb_8",0.929,0.793,1
"gamma_5",0.468535,0.6804825,0.87528,0.673940715816667,0.106509157161712,NA,0.000436510719477612,0.4,59537,-0.00489198351264526,1.00012334692578,"gamma_5",0.674,0.469,0.875
"Pa_14",0.525299,0.858595,0.999998,0.821291856901667,0.147733619651313,NA,0.000634182570825188,0.4,54266,0.000544219048871739,1.00004828913814,"Pa_14",0.821,0.525,1
"Pb_14",0.524587,0.8605335,0.999992,0.821882982516667,0.148370941405587,NA,0.000635018576003165,0.4,54591,-0.00190324485956354,1.0000228263838,"Pb_14",0.822,0.525,1
"gamma_13",0.387402,0.7213185,0.982004,0.700522494693333,0.165977497814264,NA,0.000675207619590173,0.4,60426,0.00417215997006345,0.999981762909344,"gamma_13",0.701,0.387,0.982
"Pa_15",0.187916,0.668615,0.999988,0.634964617494667,0.245854082985079,NA,0.00100236621119612,0.4,60159,0.00197521736065902,1.00001432672218,"Pa_15",0.635,0.188,1
"Pb_15",0.191634,0.66773,0.999996,0.63559114572715,0.245304470934108,NA,0.00102170505671651,0.4,57645,0.00092217689638799,1.00002079673668,"Pb_15",0.636,0.192,1
"S_12",0.794879,0.947116,0.999996,0.928037070233333,0.0666671682315308,NA,0.000300212214238799,0.5,49314,-0.00393756333806101,1.00007487048015,"S_12",0.928,0.795,1
"Pa_21",0.472056,0.84086,0.999998,0.799838882173333,0.163522094658809,NA,0.000699345685317168,0.4,54673,-0.00484174008189617,1.00005174902792,"Pa_21",0.8,0.472,1
"Pb_21",0.473433,0.841864,0.999992,0.801243322848333,0.162690438160892,NA,0.000704172654863788,0.4,53378,0.00685109771902138,1.00001586157627,"Pb_21",0.801,0.473,1
"gamma_18",0.0798111,0.2750445,0.516151,0.285645223126667,0.116149936377658,NA,0.000474180129636655,0.4,60000,-0.000866195974380133,1.00004872010563,"gamma_18",0.286,0.08,0.516
"Pa_22",0.73959,0.9326665,0.999999,0.908769978433333,0.0827679001370829,NA,0.000367156013418246,0.4,50819,-0.00572642103186442,1.00004203453042,"Pa_22",0.909,0.74,1
"Pb_22",0.601958,0.8371115,0.991247,0.817871535666667,0.111311767841041,NA,0.000463446911383074,0.4,57688,-0.00452896580478336,1.00003600088599,"Pb_22",0.818,0.602,0.991
"S_16",0.0317892,0.3815335,0.843351,0.409144541290967,0.223608765960087,NA,0.000929263791967256,0.4,57903,0.00092009580486665,1.00003060006446,"S_16",0.409,0.032,0.843
"S_17",0.00011641,0.326732,0.864905,0.372194513517998,0.26225771620745,NA,0.00108682419563099,0.4,58229,-0.00368209574083602,1.00001197205363,"S_17",0.372,0,0.865
"sac_route",0.265984,0.480397,0.691577,0.481492796466667,0.110181784299341,NA,0.000451330880489311,0.4,59598,-0.00299052475520896,1.0001520779902,"sac_route",0.481,0.266,0.692
"sutter_route",0.0638474,0.217715,0.409806,0.227561583181667,0.0919732151939032,NA,0.00037547907871376,0.4,60000,-0.00100686957888787,1.00006973091498,"sutter_route",0.228,0.064,0.41
"steam_route",0.00266371,0.08379745,0.231773,0.0984977030389333,0.0675202838536324,NA,0.000274084597430773,0.4,60688,-0.000995689934973812,1.00002161128409,"steam_route",0.098,0.003,0.232
"georg_route",0.0473493,0.1820245,0.363876,0.192447918779667,0.0847778397068123,NA,0.000346104081295254,0.4,60000,-0.00276819957477063,1.00000955213592,"georg_route",0.192,0.047,0.364
"sac_surv",0.00327996,0.102878,0.297329,0.123174852460333,0.0878730673457895,NA,0.000384264775486647,0.4,52294,0.00474567823661883,1.00011122320363,"sac_surv",0.123,0.003,0.297
"sutter_surv",0.0129665,0.2071355,0.476944,0.226743325838767,0.13031942654356,NA,0.000543327987383967,0.4,57530,-2.02628336742525e-06,1.00006296326798,"sutter_surv",0.227,0.013,0.477
"steam_surv",6.66735e-05,0.1771635,0.487718,0.205735703048175,0.149606634045248,NA,0.000621194298090808,0.4,58003,-0.000886826773004938,1.00004117228158,"steam_surv",0.206,0,0.488
"georg_surv",0.0177804,0.2321555,0.491014,0.246492361431167,0.131409933430172,NA,0.000549490867942121,0.4,57192,-0.00205754037808433,0.999999313252264,"georg_surv",0.246,0.018,0.491
"overall_surv",0.0549261,0.166677,0.325518,0.17788160617,0.0732702722341791,NA,0.00032431380254834,0.4,51042,0.00428778675138982,1.00004826771614,"overall_surv",0.178,0.055,0.326
"overall_surv_fromrelease",0.00485414,0.0165674,0.0341663,0.0179801662138333,0.00807369888843494,NA,3.54316964536251e-05,0.4,51923,-0.00300122338976369,1.00007829149816,"overall_surv_fromrelease",0.018,0.005,0.034
"P_3",0.990028,0.998284,1,0.99705216585,0.00365059732236483,NA,1.64031261750884e-05,0.4,49531,0.00346648965522371,1.00000130654656,"P_3",0.997,0.99,1
"P_30",0.456345,0.8433965,1,0.7979937565,0.171589986651784,NA,0.000774620353808762,0.5,49069,0.00297654199572381,1.0000609229312,"P_30",0.798,0.456,1
"P_8",0.979462,0.99779,1,0.994822123333333,0.00828385983477619,NA,3.65126306235703e-05,0.4,51473,-0.00394017488564835,1.00046480327375,"P_8",0.995,0.979,1
"P_14",0.871405,0.984461,1,0.966577117766667,0.047481251889414,NA,0.000203023903052828,0.4,54695,0.00151742804206624,0.999994251749239,"P_14",0.967,0.871,1
"P_15",0.539719,0.915876,1,0.861059662861667,0.150236478800047,NA,0.000621209605546689,0.4,58489,0.00368283092718837,1.00005711034914,"P_15",0.861,0.54,1
"P_21",0.852165,0.9800605,1,0.960130839116667,0.0532581725338612,NA,0.000224739140659154,0.4,56158,-0.00232574599877934,1.00077868092459,"P_21",0.96,0.852,1
"P_22",0.943433,0.990488,1,0.9833771596,0.0204623629626222,NA,8.87346955923682e-05,0.4,53177,-0.00526105648641386,1.00044887883451,"P_22",0.983,0.943,1
"r1_sut",0.0638474,0.217715,0.409806,0.227561583181667,0.0919732151939032,NA,0.00037547907871376,0.4,60000,-0.00100686957888787,1.00006973091498,"r1_sut",0.228,0.064,0.41
"r1_ste",0.00266371,0.08379745,0.231773,0.0984977030389333,0.0675202838536324,NA,0.000274084597430773,0.4,60688,-0.000995689934973812,1.00002161128409,"r1_ste",0.098,0.003,0.232
"r1_sac",0.468535,0.6804825,0.87528,0.673940715816667,0.106509157161712,NA,0.000436510719477612,0.4,59537,-0.00489198351264526,1.00012334692578,"r1_sac",0.674,0.469,0.875
"r2_geo",0.0798111,0.2750445,0.516151,0.285645223126667,0.116149936377658,NA,0.000474180129636655,0.4,60000,-0.000866195974380133,1.00004872010563,"r2_geo",0.286,0.08,0.516
"r2_sac",0.483849,0.7249555,0.920189,0.714354776983333,0.116149936528931,NA,0.000474180130254221,0.4,60000,-0.000866199296872153,1.00004872007682,"r2_sac",0.714,0.484,0.92
"FirstSeenAtR.1_pred[1]",16,31,45,31.7502,7.51629174110206,31,0.0305422297512695,0.4,60563,0.00792671941281604,0.999979348295198,"FirstSeenAtR.1_pred[1]",31.75,16,45
"FirstSeenAtR.1_pred[2]",0,0,0,0.0360166666666667,0.196095488507255,0,0.0008078386365593,0.4,58923,0.00362793440517193,1.00027027372708,"FirstSeenAtR.1_pred[2]",0.036,0,0
"FirstSeenAtR.1_pred[3]",0,0,0,0.0114,0.107874466928047,0,0.000438696154098833,0.4,60466,-0.00116003758173582,1.00049172744593,"FirstSeenAtR.1_pred[3]",0.011,0,0
"FirstSeenAtR.1_pred[4]",0,0,0,0.00408333333333333,0.0648078934745336,0,0.000264577117195403,0.4,60000,-0.000843294534521593,1.00977937365468,"FirstSeenAtR.1_pred[4]",0.004,0,0
"FirstSeenAtR.1_pred[5]",0,0,0,3.33333333333333e-05,0.00577345457837146,0,2.88672728918555e-05,0.5,40000,NA,1.10552245797956,"FirstSeenAtR.1_pred[5]",0,0,0
"FirstSeenAtR.1_pred[6]",0,0,0,0.00015,0.0122466321765072,0,4.99966664999839e-05,0.4,60000,-0.00015010418762972,1.06673584540039,"FirstSeenAtR.1_pred[6]",0,0,0
"FirstSeenAtR.1_pred[7]",0,0,0,0.000516666666666667,0.0227246194473682,0,9.48903629428211e-05,0.4,57352,-0.000517207802717472,1.01424682970661,"FirstSeenAtR.1_pred[7]",0.001,0,0
"FirstSeenAtR.1_pred[8]",267,284,296,283.1976,7.52620964610965,284,0.0305867624017089,0.4,60546,0.00758089810096337,0.999980373887445,"FirstSeenAtR.1_pred[8]",283.198,267,296
"Auxiliary_D.3_pred[1]",0,2,7,2.85578333333333,2.35467137714455,1,0.00951227841699666,0.4,61276,0.00721839974199066,1.00004504025903,"Auxiliary_D.3_pred[1]",2.856,0,7
"Auxiliary_D.3_pred[2]",0,0,4,0.916816666666667,1.32265882102233,0,0.0058303493378228,0.4,51464,-0.00270568074383738,1.0000721787288,"Auxiliary_D.3_pred[2]",0.917,0,4
"Auxiliary_D.3_pred[3]",14,28,41,27.9776,7.09317771708624,28,0.0288472936552077,0.4,60460,0.0107628739402424,0.999989223909464,"Auxiliary_D.3_pred[3]",27.978,14,41
