"","Lower95","Median","Upper95","Mean","SD","Mode","MCerr","MC.ofSD","SSeff","AC.50","psrf","parameter","est","l95","u95"
"Pa_3",0.630536,0.731728,0.824295,0.729725392066667,0.0498282726350645,NA,0.000204593045129269,0.4,59316,0.00226981952939884,1.00004613107513,"Pa_3",0.73,0.631,0.824
"Pa_30",0.946597,0.987438,1,0.98204324255,0.0175892454064821,NA,8.51442164244344e-05,0.5,42676,-0.00211317438827531,1.00016118022722,"Pa_30",0.982,0.947,1
"Pb_3",0.569794,0.670632,0.767959,0.66934963305,0.0507904885469656,NA,0.000208862298092293,0.4,59135,0.000536303686292357,1.00016450872439,"Pb_3",0.669,0.57,0.768
"Pb_30",0.891122,0.9534045,0.993453,0.94825579945,0.0288164448367215,NA,0.000120304414485214,0.4,57374,-0.00361798194425975,1.00003736133468,"Pb_30",0.948,0.891,0.993
"S_4",0.884286,0.942252,0.995541,0.939791964233333,0.0293569406385057,NA,0.000121720477194239,0.4,58169,0.00430915225252159,1.00003774113647,"S_4",0.94,0.884,0.996
"Pa_8",0.562615,0.677562,0.787073,0.675608899666667,0.0575105811783787,NA,0.000235849068705382,0.4,59460,-0.00164863977541961,1.0000323265696,"Pa_8",0.676,0.563,0.787
"Pb_8",0.379358,0.495804,0.617151,0.495578748316667,0.0612429319251766,NA,0.000250663502847671,0.4,59694,0.00143810812206307,0.999988296258746,"Pb_8",0.496,0.379,0.617
"gamma_5",0.563614,0.659493,0.753669,0.6583582821,0.0486969138608223,NA,0.000202540335823907,0.4,57807,-0.000956148647831254,0.999990240058807,"gamma_5",0.658,0.564,0.754
"Pa_14",0.243434,0.436691,0.654982,0.439840711138333,0.106285050956893,NA,0.000434967791777094,0.4,59708,0.00259754011163439,1.00004626513921,"Pa_14",0.44,0.243,0.655
"Pb_14",0.706067,0.8976125,0.999995,0.879416806783333,0.090605531148685,NA,0.000402828957353846,0.4,50590,-0.00777595959679471,1.0001301170399,"Pb_14",0.879,0.706,1
"gamma_13",0.442492,0.6277315,0.807301,0.62552365325,0.0946738514765052,NA,0.000401215594556038,0.4,55681,-0.00197168102258217,0.99998049978881,"gamma_13",0.626,0.442,0.807
"Pa_15",0.363996,0.651808,0.938566,0.6481003356,0.152338302816421,NA,0.000655381790247415,0.4,54029,-0.000483595765553739,1.00008438809392,"Pa_15",0.648,0.364,0.939
"Pb_15",0.160173,0.4233265,0.703067,0.431022482826667,0.141816938083406,NA,0.000593086420562069,0.4,57177,0.0114535837530162,1.00016029108964,"Pb_15",0.431,0.16,0.703
"S_12",0.889575,0.952901,0.99455,0.947591210833333,0.0296593782605873,NA,0.000125087923176199,0.4,56220,0.00513034674886612,1.00003448906024,"S_12",0.948,0.89,0.995
"Pa_21",0.853388,0.964177,0.999997,0.949848146666667,0.0477261812527017,NA,0.000220709889706582,0.5,46759,-0.00117440183387192,1.00006710529381,"Pa_21",0.95,0.853,1
