"","Lower95","Median","Upper95","Mean","SD","Mode","MCerr","MC.ofSD","SSeff","AC.50","psrf","parameter","est","l95","u95"
"Pa_3",0.481574,0.679815,0.858175,0.6751070667,0.0979101314786093,NA,0.000402221500731785,0.4,59255,-0.0060601124561663,1.00000858142501,"Pa_3",0.675,0.482,0.858
"Pa_30",0.739194,0.8979215,0.996447,0.883695777383333,0.0743121621016253,NA,0.000310214009944431,0.4,57385,0.00646008058169979,0.999985098315586,"Pa_30",0.884,0.739,0.996
"Pb_3",0.553261,0.753417,0.91446,0.745443746466667,0.0953485443987451,NA,0.000393545580780736,0.4,58700,0.0020858706178852,1.00000487601958,"Pb_3",0.745,0.553,0.914
"Pb_30",0.608014,0.796017,0.951415,0.785673022066667,0.0917014228508989,NA,0.000376060576282219,0.4,59462,0.00117282628917607,1.00001093122829,"Pb_30",0.786,0.608,0.951
"S_4",0.837674,0.948266,0.999995,0.936440083166667,0.0502792715884032,NA,0.000219119597424862,0.4,52652,0.0039556325816471,1.00005363755977,"S_4",0.936,0.838,1
"Pa_8",0.413281,0.63162,0.830572,0.627184836166667,0.107872835339759,NA,0.000442601669020595,0.4,59402,0.00439692904381501,1.00000080586666,"Pa_8",0.627,0.413,0.831
"Pb_8",0.20678,0.416464,0.631403,0.419481810681667,0.10997998617771,NA,0.000448991413422893,0.4,60000,-0.00149993962678915,1.00001246487056,"Pb_8",0.419,0.207,0.631
"gamma_5",0.545386,0.721646,0.884304,0.7154467357,0.088827837230078,NA,0.000358201502861982,0.4,61496,0.0078968576310423,1.00001481514308,"gamma_5",0.715,0.545,0.884
"Pa_14",0.0401571,0.381413,0.766739,0.396036098222083,0.200014918337417,NA,0.000815441055978848,0.4,60164,-0.00233468147499538,1.00002011308485,"Pa_14",0.396,0.04,0.767
"Pb_14",0.45832,0.833047,0.999996,0.792297910723333,0.167154189170505,NA,0.000701776719532033,0.4,56733,0.00447432108897472,1.00006907653983,"Pb_14",0.792,0.458,1
"gamma_13",0.177684,0.494704,0.812575,0.495273887088333,0.167013729852865,NA,0.000678272972903038,0.4,60631,0.00047338621394962,1.0000244620384,"gamma_13",0.495,0.178,0.813
"Pa_15",0.433822,0.818587,0.999999,0.778381528028333,0.173667600717394,NA,0.000732742509907161,0.4,56174,0.00494014297601698,1.00008425754207,"Pa_15",0.778,0.434,1
"Pb_15",0.0383965,0.3725275,0.755957,0.3884212010285,0.198217616915604,NA,0.000807579974057987,0.4,60244,0.00563689907226799,0.999994214718437,"Pb_15",0.388,0.038,0.756
"S_12",0.830246,0.9573135,1,0.941421675083333,0.0547116214799659,NA,0.000248281884722002,0.5,48559,-0.00208677159697475,1.0000430115266,"S_12",0.941,0.83,1
"Pa_21",0.366442,0.79172,0.999994,0.747743840683333,0.194446273692704,NA,0.000828459543803927,0.4,55088,0.0019228288172359,1.00001374782909,"Pa_21",0.748,0.366,1
"Pb_21",0.36622,0.7909125,0.999997,0.747497928865,0.194695875107284,NA,0.000788849035192624,0.4,60915,-0.00176699810204825,1.0000240252087,"Pb_21",0.747,0.366,1
"gamma_18",0.0234172,0.1465255,0.319858,0.158518650571333,0.0814867573194686,NA,0.000335674560355412,0.4,58930,-0.00329299572704385,1.00007401936702,"gamma_18",0.159,0.023,0.32
"Pa_22",0.734211,0.896841,0.99766,0.881609450066667,0.0763395119009675,NA,0.000320276327092474,0.4,56813,-0.00149014455948222,1.00001439389434,"Pa_22",0.882,0.734,0.998
"Pb_22",0.828734,0.9573275,0.999999,0.940914645283333,0.0555869269789484,NA,0.000259345448295752,0.5,45940,0.0108642992009856,1.00002599921849,"Pb_22",0.941,0.829,1
"S_16",0.461429,0.8347045,0.999995,0.793621274845,0.167117359622039,NA,0.00071847445188311,0.4,54103,-0.00594924048913735,1.00004187516366,"S_16",0.794,0.461,1
"S_17",0.0371913,0.381965,0.773431,0.398673841207333,0.202729954895332,NA,0.000824567087152309,0.4,60448,0.00539010183113291,0.999998178660869,"S_17",0.399,0.037,0.773
"S_23",0.367756,0.792396,0.999997,0.749002115873333,0.193881580408889,NA,0.000814516943967997,0.4,56660,-0.000460217416935221,0.999979556400706,"S_23",0.749,0.368,1
"S_24",0.579134,0.7949635,0.971638,0.784058483,0.104356945074809,NA,0.000428157883679608,0.4,59407,-0.00707799493148068,1.00008750588763,"S_24",0.784,0.579,0.972
"sac_route",0.415298,0.604349,0.783124,0.602028539016667,0.0950615521146884,NA,0.000394956417610203,0.4,57931,0.00720012117136818,1.00000102757066,"sac_route",0.602,0.415,0.783
"sutter_route",0.0296028,0.131537,0.273573,0.140798955439333,0.0660369899721234,NA,0.000269594882634986,0.4,60000,-0.00109076305609297,0.99999000295719,"sutter_route",0.141,0.03,0.274
"steam_route",0.0280774,0.134005,0.276037,0.143754307656833,0.0673315031468707,NA,0.000271954004119537,0.4,61298,0.00908079270660806,1.00002875765442,"steam_route",0.144,0.028,0.276
"georg_route",0.014315,0.103768,0.232559,0.113418195670667,0.0604596135841631,NA,0.000248270006323117,0.4,59304,-0.00364745967386499,1.00008751719849,"georg_route",0.113,0.014,0.233
"sac_surv",0.482958,0.69668,0.891425,0.69109887085,0.10658682319378,NA,0.000444554988214982,0.4,57485,-0.00522283960510188,1.00002211770222,"sac_surv",0.691,0.483,0.891
"sutter_surv",0.426169,0.7763645,0.987886,0.742947312855,0.160952423326609,NA,0.000689475419949067,0.4,54495,-0.00354728746161366,1.00013730993897,"sutter_surv",0.743,0.426,0.988
