"","Lower95","Median","Upper95","Mean","SD","Mode","MCerr","MC.ofSD","SSeff","AC.50","psrf","parameter","est","l95","u95"
"S_2",0.107533,0.134268,0.163235,0.134793980265,0.0142046072803025,NA,5.78960418625065e-05,0.4,60195,-0.000730215204388413,1.00001251626037,"S_2",0.135,0.108,0.163
"S_23",0.0393608,0.235684,0.486391,0.250712575620167,0.120938023752442,NA,0.000497491352929336,0.4,59096,0.00306713053075449,0.999992819009658,"S_23",0.251,0.039,0.486
"S_24",0.456651,0.623257,0.780972,0.620526440433333,0.0832885348870276,NA,0.000344255996876313,0.4,58534,0.00263778070077064,1.00001526648264,"S_24",0.621,0.457,0.781
"Pa_3",0.961845,0.991064,1,0.98720164485,0.012667885415242,NA,6.04476975165271e-05,0.5,43919,-0.00624962963783314,1.00008289061907,"Pa_3",0.987,0.962,1
"Pa_30",0.897793,0.975562,1,0.965522363366667,0.0333179571796938,NA,0.000156411720261136,0.5,45375,-0.000376512076332645,1.00001706344718,"Pa_30",0.966,0.898,1
"Pb_3",0.961586,0.9909805,1,0.987136687433333,0.0126867805302543,NA,6.04637358109115e-05,0.5,44026,0.00840626805204231,1.00042929393933,"Pb_3",0.987,0.962,1
"Pb_30",0.694432,0.829539,0.938239,0.8232811228,0.0644320370716999,NA,0.00026628925494408,0.4,58546,0.00344157913374925,1.00002482976146,"Pb_30",0.823,0.694,0.938
"S_4",0.6465,0.7471865,0.838679,0.745383550733333,0.0494418157679199,NA,0.000202598024758969,0.4,59555,-0.00505311421461593,1.00001473363198,"S_4",0.745,0.646,0.839
"Pa_8",0.895106,0.961944,0.998615,0.955154743133333,0.0306552840923045,NA,0.000130668736881362,0.4,55039,-0.00352629846693501,1.00004275306011,"Pa_8",0.955,0.895,0.999
"Pb_8",0.89563,0.962151,0.998586,0.95554549875,0.0303781545529272,NA,0.000125959210830096,0.4,58165,0.0014262724743404,1.00000676360265,"Pb_8",0.956,0.896,0.999
"gamma_5",0.630501,0.747729,0.849097,0.74481495985,0.0565029577868818,NA,0.000232215260963159,0.4,59205,0.000157484990604997,0.999982166648342,"gamma_5",0.745,0.631,0.849
"Pa_14",0.205762,0.689477,0.999988,0.652204878243833,0.240567710427698,NA,0.000988287103476813,0.4,59253,-0.00507281041420943,1.00013475963124,"Pa_14",0.652,0.206,1
"Pb_14",0.206831,0.685996,0.999998,0.649980757449833,0.240224591650041,NA,0.000996095605767343,0.4,58161,0.000492577847024651,1.00000624408261,"Pb_14",0.65,0.207,1
"gamma_13",0.0051958,0.1144275,0.294157,0.130481962022763,0.0837314768313208,NA,0.000351312378100791,0.4,56806,-0.000367483058408253,1.00007457509913,"gamma_13",0.13,0.005,0.294
"Pa_15",0.804127,0.9509375,1,0.932359184083333,0.063342322678712,NA,0.000288951481915473,0.5,48055,-0.000457422875785365,1.00003154005254,"Pa_15",0.932,0.804,1
"Pb_15",0.805306,0.9510355,0.999999,0.9325752832,0.062980310303611,NA,0.000286253712216706,0.5,48407,0.00470298935866022,1.00006623496481,"Pb_15",0.933,0.805,1
"S_12",0.898499,0.964124,0.999999,0.957456008333333,0.0304141241636964,NA,0.000128775041463914,0.4,55781,-0.00727063827431264,1.00006459664911,"S_12",0.957,0.898,1
"Pa_21",0.753122,0.936454,0.999997,0.9137031585,0.0788621082946283,NA,0.000353144627870721,0.4,49869,-0.000570368991862376,1.0000953605201,"Pa_21",0.914,0.753,1
"Pb_21",0.755541,0.9369215,1,0.91407828085,0.0785768113641988,NA,0.000348330052897138,0.4,50887,-0.00618288756598518,1.00001028960801,"Pb_21",0.914,0.756,1
"gamma_18",0.128272,0.2460865,0.379672,0.250193362745,0.0648331709454427,NA,0.000264680312038283,0.4,60000,-0.00724770694561917,1.00001584758668,"gamma_18",0.25,0.128,0.38
"Pa_22",0.861269,0.948306,0.998332,0.940010366283333,0.0402907001753456,NA,0.000172505373800633,0.4,54551,0.0062281610113338,1.00001475967379,"Pa_22",0.94,0.861,0.998
"Pb_22",0.860819,0.9485915,0.998785,0.939891100733333,0.0404744689432448,NA,0.000170245456513963,0.4,56521,0.000708643876483592,1.00001403481166,"Pb_22",0.94,0.861,0.999
"S_16",0.206498,0.68918,0.999987,0.651707566520333,0.24097457642447,NA,0.000989989436330031,0.4,59249,0.00377810331883722,1.00000883377136,"S_16",0.652,0.206,1
"S_17",0.518273,0.747314,0.934486,0.736947628466667,0.11102094970504,NA,0.000454769058390026,0.4,59598,0.00488503719123067,1.00010415096609,"S_17",0.737,0.518,0.934
"sac_route",0.430976,0.5593245,0.68103,0.558456156916667,0.0642368395790293,NA,0.000262245799429401,0.4,60000,0.00102617712934173,0.999992992776731,"sac_route",0.558,0.431,0.681
"sutter_route",0.000745345,0.02826365,0.0786875,0.0334004057808833,0.0233954828271593,NA,9.74740118539449e-05,0.4,57608,0.00134588081396542,1.0000613942891,"sutter_route",0.033,0.001,0.079
"steam_route",0.119569,0.2185675,0.325731,0.221784633923333,0.053397106003773,NA,0.000219312910297371,0.4,59280,-0.00245340441647614,0.999986162569199,"steam_route",0.222,0.12,0.326
"georg_route",0.0912689,0.1826025,0.286141,0.186358803218333,0.0504981422276455,NA,0.000206797935298383,0.4,59629,-0.00886445050758057,1.00001861058997,"georg_route",0.186,0.091,0.286
"sac_surv",0.311959,0.4428175,0.576767,0.44283907515,0.0678463881483973,NA,0.000278961280947973,0.4,59151,-0.00129553097212808,0.99998023121953,"sac_surv",0.443,0.312,0.577
"sutter_surv",0.127971,0.5102355,0.778718,0.485543840314833,0.18244195793406,NA,0.000751022253082797,0.4,59012,0.00557997181721383,0.999981108820396,"sutter_surv",0.486,0.128,0.779
"steam_surv",0.369662,0.5538345,0.718972,0.5493086547,0.0906060259343148,NA,0.000371830684331475,0.4,59378,0.00328215932152778,1.00004467343695,"steam_surv",0.549,0.37,0.719
"georg_surv",0.0273575,0.16751,0.349128,0.178896581599,0.0874477733199488,NA,0.000360763603767037,0.4,58756,0.00312960903148651,0.999987238884409,"georg_surv",0.179,0.027,0.349
"overall_surv",0.316205,0.4174955,0.526697,0.418407983666667,0.0538511148043281,NA,0.00022222266581143,0.4,58724,-0.00304484847637913,0.999988304748096,"overall_surv",0.418,0.316,0.527
"overall_surv_fromrelease",0.0387395,0.05587725,0.075236,0.056395596955,0.00939423902283353,NA,3.88448906198419e-05,0.4,58486,-0.000133829947372101,0.999990240401292,"overall_surv_fromrelease",0.056,0.039,0.075
"P_3",0.99935,0.999934,1,0.999836270216667,0.00027632683059783,NA,1.2642493203162e-06,0.5,47773,0.00133004048094014,1.00062152619472,"P_3",1,0.999,1
"P_30",0.979577,0.996065,1,0.993717128716667,0.00721025705774739,NA,3.32804978140561e-05,0.5,46938,0.000219435564057195,1.0000287312814,"P_30",0.994,0.98,1
"P_8",0.993857,0.998686,0.999999,0.998000522216667,0.0021581949624006,NA,9.1339951265548e-06,0.4,55829,0.00515801728507049,0.999999408379003,"P_8",0.998,0.994,1
"P_14",0.580456,0.9248735,1,0.87519897411,0.137610435142694,NA,0.000567458491414322,0.4,58808,0.000573394256366224,1.00018315532325,"P_14",0.875,0.58,1
"P_15",0.981817,0.9980655,1,0.995387241683333,0.00746329221677121,NA,3.27781218348735e-05,0.4,51843,-0.00113623074509513,0.999990446400745,"P_15",0.995,0.982,1
"P_21",0.970045,0.996769,1,0.992357840733333,0.0120422282216862,NA,5.24884126637589e-05,0.4,52636,-0.00778792760911232,1.00019770011814,"P_21",0.992,0.97,1
"P_22",0.988972,0.9975845,0.999995,0.9963874093,0.00379030717150309,NA,1.61007495787711e-05,0.4,55419,0.00427734147960352,0.99998814853071,"P_22",0.996,0.989,1
"r1_sut",0.000745345,0.02826365,0.0786875,0.0334004057808833,0.0233954828271593,NA,9.74740118539449e-05,0.4,57608,0.00134588081396542,1.0000613942891,"r1_sut",0.033,0.001,0.079
"r1_ste",0.119569,0.2185675,0.325731,0.221784633923333,0.053397106003773,NA,0.000219312910297371,0.4,59280,-0.00245340441647614,0.999986162569199,"r1_ste",0.222,0.12,0.326
"r1_sac",0.630501,0.747729,0.849097,0.74481495985,0.0565029577868818,NA,0.000232215260963159,0.4,59205,0.000157484990604997,0.999982166648342,"r1_sac",0.745,0.631,0.849
"r2_geo",0.128272,0.2460865,0.379672,0.250193362745,0.0648331709454427,NA,0.000264680312038283,0.4,60000,-0.00724770694561917,1.00001584758668,"r2_geo",0.25,0.128,0.38
"r2_sac",0.620328,0.7539135,0.871728,0.749806637266667,0.064833170972613,NA,0.000264680312149206,0.4,60000,-0.00724770780895678,1.00001584759197,"r2_sac",0.75,0.62,0.872
"FirstSeenAtR.1_pred[1]",55,76,99,76.6841166666667,11.4763712109414,75,0.0469196060874431,0.4,59827,-0.00143697657212657,0.999993182511688,"FirstSeenAtR.1_pred[1]",76.684,55,99
"FirstSeenAtR.1_pred[2]",0,0,0,0.00681666666666667,0.0834884177245789,0,0.000342478396338691,0.4,59427,0.00750424039652894,1.00032462500621,"FirstSeenAtR.1_pred[2]",0.007,0,0
"FirstSeenAtR.1_pred[3]",0,0,0,0.000283333333333333,0.0168302637091193,0,7.11001559600153e-05,0.4,56033,-0.000283565910235599,1.03132786253099,"FirstSeenAtR.1_pred[3]",0,0,0
"FirstSeenAtR.1_pred[4]",0,0,0,0.00213333333333333,0.0464989418311365,0,0.000189831135109421,0.4,60000,-0.00210690851280999,1.00142592948064,"FirstSeenAtR.1_pred[4]",0.002,0,0
"FirstSeenAtR.1_pred[5]",0,0,0,0,0,0,NA,NA,NA,NA,NA,"FirstSeenAtR.1_pred[5]",0,0,0
"FirstSeenAtR.1_pred[6]",0,0,0,0,0,0,NA,NA,NA,NA,NA,"FirstSeenAtR.1_pred[6]",0,0,0
"FirstSeenAtR.1_pred[7]",0,0,0,5e-05,0.00707094995778892,0,3.53547497889423e-05,0.5,40000,NA,1.13388487207049,"FirstSeenAtR.1_pred[7]",0,0,0
"FirstSeenAtR.1_pred[8]",470,493,514,492.3066,11.4769402909765,494,0.0469270579668537,0.4,59814,-0.00143474881784435,0.999992815996071,"FirstSeenAtR.1_pred[8]",492.307,470,514
"Auxiliary_D.3_pred[1]",0,0,4,0.978683333333333,1.3908371005212,0,0.00612463295225318,0.4,51569,0.0023102426772253,1.00015901810207,"Auxiliary_D.3_pred[1]",0.979,0,4
"Auxiliary_D.3_pred[2]",0,0,4,0.965133333333333,1.37832603010547,0,0.00612324230883657,0.4,50669,-0.00525919087290303,1.00020550110582,"Auxiliary_D.3_pred[2]",0.965,0,4
"Auxiliary_D.3_pred[3]",51,74,95,74.7403,11.3399999634033,75,0.0466904837040782,0.4,58989,-0.00235233044190479,0.999987027659343,"Auxiliary_D.3_pred[3]",74.74,51,95
"GivenDetectionAtD.3_pred[1]",25,42,59,42.5208,8.80138578671163,41,0.0363326355193911,0.4,58682,0.00284139804909016,0.999999650577658,"GivenDetectionAtD.3_pred[1]",42.521,25,59
"GivenDetectionAtD.3_pred[2]",0,1,5,1.64253333333333,1.74997198708669,0,0.00717921696547943,0.4,59417,-0.00611264498874643,1.00014496545674,"GivenDetectionAtD.3_pred[2]",1.643,0,5
"GivenDetectionAtD.3_pred[3]",4,12,22,12.6091666666667,4.92862937289335,11,0.0201996281401511,0.4,59534,-0.00345765929943316,1.00003048379629,"GivenDetectionAtD.3_pred[3]",12.609,4,22
"GivenDetectionAtD.3_pred[4]",0,0,0,0.0204166666666667,0.145029342826639,0,0.000592079812760704,0.4,60000,-0.00151108174229569,1.00001941862027,"GivenDetectionAtD.3_pred[4]",0.02,0,0
"GivenDetectionAtD.3_pred[5]",0,0,1,0.0607,0.255179535379677,0,0.00104710690503255,0.4,59389,-0.00622544447931095,1.00049317706697,"GivenDetectionAtD.3_pred[5]",0.061,0,1
"GivenDetectionAtD.3_pred[6]",0,0,1,0.19565,0.522470694961722,0,0.00213685621837023,0.4,59782,-0.000410215038581697,1.00003278547862,"GivenDetectionAtD.3_pred[6]",0.196,0,1
"GivenDetectionAtD.3_pred[7]",8,19,31,19.63485,6.15183275360038,19,0.0251147520487697,0.4,60000,-0.0042010296738995,0.999991163037357,"GivenDetectionAtD.3_pred[7]",19.635,8,31
"Auxiliary_D.8_pred[1]",0,1,5,1.79538333333333,1.84030028296319,0,0.0076734118668491,0.4,57518,-0.00318893557200485,1.00002126759414,"Auxiliary_D.8_pred[1]",1.795,0,5
"Auxiliary_D.8_pred[2]",0,1,5,1.82568333333333,1.87342525740744,0,0.00782590708042309,0.4,57306,-0.00982064961490738,1.00000507971659,"Auxiliary_D.8_pred[2]",1.826,0,5
"Auxiliary_D.8_pred[3]",23,38,55,38.90655,8.42462066414401,38,0.0351610515446272,0.4,57409,0.00161140717171102,1.00000561034359,"Auxiliary_D.8_pred[3]",38.907,23,55
"GivenDetectionAtD.8_pred[1]",2,10,18,10.1227166666667,4.40077039460782,9,0.0178546243574271,0.4,60751,-0.00135304040611238,0.99998614716792,"GivenDetectionAtD.8_pred[1]",10.123,2,18
