reach_end,reach_start,estimate,se,lcl,ucl,rkm_start,rkm_end,Region,Reach,RKM,GenLat_start,GenLon_start,GenLat_end,GenLon_end,release,mean_rel_date,count_at_start,count_at_end,group,reach_num,release_site
MSBC_Baldwin_Pool,NF_Battle_Creek_Rel,0.947,0.006,0.935,0.957,536.184,533.305,Battle Ck,NF_Battle_Creek_Rel to MSBC_Baldwin_Pool,536.184 to 533.305,40.42459,-121.987305,40.426414,-122.010475,2021-03-09_NF_Battle_Creek_Rel,2021-03-09,600,513,1,1,NF_Battle_Creek_Rel
MSBC_Intake2,MSBC_Baldwin_Pool,0.974,0.002,0.969,0.978,533.305,519.645,Battle Ck,MSBC_Baldwin_Pool to MSBC_Intake2,533.305 to 519.645,40.426414,-122.010475,40.40305,-122.12544,2021-03-09_NF_Battle_Creek_Rel,2021-03-09,513,356,1,2,NF_Battle_Creek_Rel
MSBC_OldHatch,MSBC_Intake2,0.958,0.004,0.949,0.965,519.645,511.454,Battle Ck,MSBC_Intake2 to MSBC_OldHatch,519.645 to 511.454,40.40305,-122.12544,40.38434,-122.17876,2021-03-09_NF_Battle_Creek_Rel,2021-03-09,356,251,1,3,NF_Battle_Creek_Rel
Blw_Paynes_Ck,MSBC_OldHatch,0.991,0.001,0.989,0.993,511.454,476.278,Upper Sac R,MSBC_OldHatch to Blw_Paynes_Ck,511.454 to 476.278,40.38434,-122.17876,40.25534,-122.17332,2021-03-09_NF_Battle_Creek_Rel,2021-03-09,251,183,1,4,NF_Battle_Creek_Rel
Altube,Blw_Paynes_Ck,0.998,0.001,0.995,0.999,476.278,460.4,Upper Sac R,Blw_Paynes_Ck to Altube,476.278 to 460.4,40.25534,-122.17332,40.15348,-122.1887,2021-03-09_NF_Battle_Creek_Rel,2021-03-09,183,176,1,5,NF_Battle_Creek_Rel
Mill_Ck_Conf,Altube,0.996,0.001,0.993,0.998,460.4,441.318,Upper Sac R,Altube to Mill_Ck_Conf,460.4 to 441.318,40.15348,-122.1887,40.0327,-122.11987,2021-03-09_NF_Battle_Creek_Rel,2021-03-09,176,163,1,6,NF_Battle_Creek_Rel
Abv_WoodsonBr,Mill_Ck_Conf,0.991,0.002,0.986,0.994,441.318,425.158,Upper Sac R,Mill_Ck_Conf to Abv_WoodsonBr,441.318 to 425.158,40.0327,-122.11987,39.920094,-122.08446000000001,2021-03-09_NF_Battle_Creek_Rel,2021-03-09,163,139,1,7,NF_Battle_Creek_Rel
GCID,Abv_WoodsonBr,0.984,0.003,0.978,0.988,425.158,404.941,Upper Sac R,Abv_WoodsonBr to GCID,425.158 to 404.941,39.920094,-122.08446000000001,39.796839,-122.049394,2021-03-09_NF_Battle_Creek_Rel,2021-03-09,139,102,1,8,NF_Battle_Creek_Rel
Blw_IrvineFinch,GCID,0.986,0.004,0.976,0.992,404.941,394.668,Upper Sac R,GCID to Blw_IrvineFinch,404.941 to 394.668,39.796839,-122.049394,39.73146,-121.97483,2021-03-09_NF_Battle_Creek_Rel,2021-03-09,102,88,1,9,NF_Battle_Creek_Rel
Ord,Blw_IrvineFinch,0.993,0.002,0.988,0.996,394.668,371.658,Upper Sac R,Blw_IrvineFinch to Ord,394.668 to 371.658,39.73146,-121.97483,39.63447,-121.98959,2021-03-09_NF_Battle_Creek_Rel,2021-03-09,88,75,1,10,NF_Battle_Creek_Rel
BlwOrd,Ord,0.993,0.003,0.983,0.997,371.658,361.728,Upper Sac R,Ord to BlwOrd,371.658 to 361.728,39.63447,-121.98959,39.56548,-122.0018,2021-03-09_NF_Battle_Creek_Rel,2021-03-09,75,70,1,11,NF_Battle_Creek_Rel
ButteBr,BlwOrd,0.993,0.003,0.985,0.996,361.728,344.108,Lower Sac R,BlwOrd to ButteBr,361.728 to 344.108,39.56548,-122.0018,39.4569,-121.995,2021-03-09_NF_Battle_Creek_Rel,2021-03-09,70,57,1,12,NF_Battle_Creek_Rel
Colusa AC3,ButteBr,0.99,0.004,0.979,0.995,344.108,331.158,Lower Sac R,ButteBr to Colusa AC3,344.108 to 331.158,39.4569,-121.995,39.36038,-122.01373,2021-03-09_NF_Battle_Creek_Rel,2021-03-09,57,54,1,13,NF_Battle_Creek_Rel
Colusa AC2,Colusa AC3,0.987,0.004,0.975,0.994,331.158,318.618,Lower Sac R,Colusa AC3 to Colusa AC2,331.158 to 318.618,39.36038,-122.01373,39.28007,-122.01891,2021-03-09_NF_Battle_Creek_Rel,2021-03-09,54,46,1,14,NF_Battle_Creek_Rel
AbvColusaBr,Colusa AC2,0.992,0.004,0.978,0.997,318.618,307.738,Lower Sac R,Colusa AC2 to AbvColusaBr,318.618 to 307.738,39.28007,-122.01891,39.2205,-122.00847,2021-03-09_NF_Battle_Creek_Rel,2021-03-09,46,39,1,15,NF_Battle_Creek_Rel
