estimate,se,lcl,ucl,StudyID,reach_start,reach_end,rkm_start,rkm_end,Region,Reach,RKM,count_at_start,count_at_end,GenLat_start,GenLon_start,GenLat_end,GenLon_end
0.9999863,0,0.9999863,0.9999863,BC_Jumpstart_2022,NFBC_BelowECD_rel,NFBC_TroutFarm,540.514,540.504,Battle Ck,"NFBC_BelowECD_rel to 
NFBC_TroutFarm",540.514 to 540.504,1196,15,40.41685,-121.94425,40.41685,-121.94425
0.8328738,0.0264268,0.774521,0.8784943,BC_Jumpstart_2022,NFBC_TroutFarm,NFBC_WildcatBr,540.504,536.154,Battle Ck,"NFBC_TroutFarm to 
NFBC_WildcatBr",540.504 to 536.154,15,756,40.41685,-121.94425,40.42468,-121.98762
1,0,1,1,BC_Jumpstart_2022,NFBC_WildcatBr,SFBC_R3B,536.154,535.324,Battle Ck,"NFBC_WildcatBr to 
SFBC_R3B",536.154 to 535.324,756,3,40.42468,-121.98762,40.41855,-121.99491
0.8493143,0.0106353,0.8272631,0.8689962,BC_Jumpstart_2022,SFBC_R3B,MSBC_Intake2,535.324,519.645,Battle Ck,"SFBC_R3B to 
MSBC_Intake2",535.324 to 519.645,3,855,40.41855,-121.99491,40.40305,-122.12544
0.7585714,0.013482,0.731172,0.7840031,BC_Jumpstart_2022,MSBC_Intake2,Battle_Conf,519.645,507.488,Battle Ck,"MSBC_Intake2 to 
Battle_Conf",519.645 to 507.488,855,611,40.40305,-122.12544,40.35371,-122.17734
0.9461771,0.0053282,0.9347262,0.9557144,BC_Jumpstart_2022,Battle_Conf,Blw_Paynes_Ck,507.488,476.278,Upper Sac R,"Battle_Conf to 
Blw_Paynes_Ck",507.488 to 476.278,611,513,40.35371,-122.17734,40.25534,-122.17332
0.9413162,0.0083108,0.9227444,0.955638,BC_Jumpstart_2022,Blw_Paynes_Ck,Abv_Altube1,476.278,460.4,Upper Sac R,"Blw_Paynes_Ck to 
Abv_Altube1",476.278 to 460.4,513,466,40.25534,-122.17332,40.15348,-122.1887
0.9526389,0.0166346,0.9071062,0.9764332,BC_Jumpstart_2022,Abv_Altube1,Blw_Salt,460.4,456.888,Upper Sac R,"Abv_Altube1 to 
Blw_Salt",460.4 to 456.888,466,458,40.15348,-122.1887,40.1464,-122.15246
0.9243381,0.0100396,0.9021585,0.9418141,BC_Jumpstart_2022,Blw_Salt,Mill_Ck_Conf,456.888,441.318,Upper Sac R,"Blw_Salt to 
Mill_Ck_Conf",456.888 to 441.318,458,405,40.1464,-122.15246,40.0327,-122.11987
0.8942875,0.012244,0.8677781,0.9159964,BC_Jumpstart_2022,Mill_Ck_Conf,Abv_WoodsonBr,441.318,425.158,Upper Sac R,"Mill_Ck_Conf to 
Abv_WoodsonBr",441.318 to 425.158,405,338,40.0327,-122.11987,39.920094,-122.08446000000001
0.8580318,0.0255455,0.8002738,0.9011502,BC_Jumpstart_2022,Abv_WoodsonBr,Abv_Otter_Island,425.158,419.398,Upper Sac R,"Abv_WoodsonBr to 
Abv_Otter_Island",425.158 to 419.398,338,305,39.920094,-122.08446000000001,39.882027,-122.064445
