estimate,se,lcl,ucl,reach_start,reach_end,rkm_start,rkm_end,Region,Reach,RKM,count_at_start,count_at_end,GenLat_start,GenLon_start,GenLat_end,GenLon_end,release,group,reach_num,mean_rel_date,release_site
0.859,0.009,0.841,0.876,BattleCk_WilsonBridge_Rel,MSBC_Intake2,549.004,519.645,Battle Ck,BattleCk_WilsonBridge_Rel to MSBC_Intake2,549.004 to 519.645,595,379,40.447212,-121.86802,40.40305,-122.12544,2023-04-24_BattleCk_WilsonBridge_Rel,1,1,2023-04-24,BattleCk_WilsonBridge_Rel
0.939,0.013,0.907,0.961,MSBC_Intake2,MSBC_OldHatch,519.645,511.454,Battle Ck,MSBC_Intake2 to MSBC_OldHatch,519.645 to 511.454,379,362,40.40305,-122.12544,40.38434,-122.17876,2023-04-24_BattleCk_WilsonBridge_Rel,1,2,2023-04-24,BattleCk_WilsonBridge_Rel
0.991,0.003,0.984,0.995,MSBC_OldHatch,Blw_Paynes_Ck,511.454,476.278,Upper Sac R,MSBC_OldHatch to Blw_Paynes_Ck,511.454 to 476.278,362,350,40.38434,-122.17876,40.25534,-122.17332,2023-04-24_BattleCk_WilsonBridge_Rel,1,3,2023-04-24,BattleCk_WilsonBridge_Rel
0.998,0.002,0.987,1,Blw_Paynes_Ck,Altube,476.278,460.4,Upper Sac R,Blw_Paynes_Ck to Altube,476.278 to 460.4,350,348,40.25534,-122.17332,40.15348,-122.1887,2023-04-24_BattleCk_WilsonBridge_Rel,1,4,2023-04-24,BattleCk_WilsonBridge_Rel
0.994,0.003,0.982,0.998,Altube,Mill_Ck_Conf,460.4,441.318,Upper Sac R,Altube to Mill_Ck_Conf,460.4 to 441.318,348,290,40.15348,-122.1887,40.0327,-122.11987,2023-04-24_BattleCk_WilsonBridge_Rel,1,5,2023-04-24,BattleCk_WilsonBridge_Rel
0.99,0.005,0.975,0.996,Mill_Ck_Conf,Abv_WoodsonBr,441.318,425.158,Upper Sac R,Mill_Ck_Conf to Abv_WoodsonBr,441.318 to 425.158,290,329,40.0327,-122.11987,39.920094,-122.08446000000001,2023-04-24_BattleCk_WilsonBridge_Rel,1,6,2023-04-24,BattleCk_WilsonBridge_Rel
0.991,0.004,0.98,0.996,Abv_WoodsonBr,GCID,425.158,405.273,Upper Sac R,Abv_WoodsonBr to GCID,425.158 to 405.273,329,332,39.920094,-122.08446000000001,39.799051000000006,-122.0471165,2023-04-24_BattleCk_WilsonBridge_Rel,1,7,2023-04-24,BattleCk_WilsonBridge_Rel
0.973,0.009,0.947,0.986,GCID,Blw_IrvineFinch,405.273,394.668,Upper Sac R,GCID to Blw_IrvineFinch,405.273 to 394.668,332,303,39.799051000000006,-122.0471165,39.73146,-121.97483,2023-04-24_BattleCk_WilsonBridge_Rel,1,8,2023-04-24,BattleCk_WilsonBridge_Rel
0.971,0.006,0.955,0.981,Blw_IrvineFinch,Ord,394.668,371.658,Upper Sac R,Blw_IrvineFinch to Ord,394.668 to 371.658,303,302,39.73146,-121.97483,39.634564999999995,-121.98939,2023-04-24_BattleCk_WilsonBridge_Rel,1,9,2023-04-24,BattleCk_WilsonBridge_Rel
0.964,0.011,0.935,0.98,Ord,BlwOrd,371.658,361.728,Upper Sac R,Ord to BlwOrd,371.658 to 361.728,302,291,39.634564999999995,-121.98939,39.56548,-122.0018,2023-04-24_BattleCk_WilsonBridge_Rel,1,10,2023-04-24,BattleCk_WilsonBridge_Rel
0.899,0.015,0.865,0.925,BlwOrd,AbvButteBr,361.728,347.188,Lower Sac R,BlwOrd to AbvButteBr,361.728 to 347.188,291,247,39.56548,-122.0018,39.4717175,-121.995482,2023-04-24_BattleCk_WilsonBridge_Rel,1,11,2023-04-24,BattleCk_WilsonBridge_Rel
0.742,0.023,0.694,0.784,AbvButteBr,Colusa AC3,347.188,331.158,Lower Sac R,AbvButteBr to Colusa AC3,347.188 to 331.158,247,155,39.4717175,-121.995482,39.36038,-122.01373,2023-04-24_BattleCk_WilsonBridge_Rel,1,12,2023-04-24,BattleCk_WilsonBridge_Rel
0.777,0.03,0.712,0.831,Colusa AC3,Colusa AC2,331.158,318.618,Lower Sac R,Colusa AC3 to Colusa AC2,331.158 to 318.618,155,113,39.36038,-122.01373,39.28007,-122.01891,2023-04-24_BattleCk_WilsonBridge_Rel,1,13,2023-04-24,BattleCk_WilsonBridge_Rel
0.811,0.035,0.732,0.871,Colusa AC2,AbvColusaBr,318.618,307.738,Lower Sac R,Colusa AC2 to AbvColusaBr,318.618 to 307.738,113,90,39.28007,-122.01891,39.2205,-122.00847,2023-04-24_BattleCk_WilsonBridge_Rel,1,14,2023-04-24,BattleCk_WilsonBridge_Rel
0.943,0.023,0.876,0.975,AbvColusaBr,Colusa BC2,307.738,296.278,Lower Sac R,AbvColusaBr to Colusa BC2,307.738 to 296.278,90,83,39.2205,-122.00847,39.184963,-121.943214,2023-04-24_BattleCk_WilsonBridge_Rel,1,15,2023-04-24,BattleCk_WilsonBridge_Rel
0.887,0.038,0.79,0.943,Colusa BC2,Colusa BC3,296.278,287.208,Lower Sac R,Colusa BC2 to Colusa BC3,296.278 to 287.208,83,70,39.184963,-121.943214,39.13132,-121.936554,2023-04-24_BattleCk_WilsonBridge_Rel,1,16,2023-04-24,BattleCk_WilsonBridge_Rel
0.951,0.019,0.896,0.978,Colusa BC3,AbvTisdale,287.208,269.238,Lower Sac R,Colusa BC3 to AbvTisdale,287.208 to 269.238,70,69,39.13132,-121.936554,39.0364,-121.82918,2023-04-24_BattleCk_WilsonBridge_Rel,1,17,2023-04-24,BattleCk_WilsonBridge_Rel
1,0,1,1,AbvTisdale,BlwTisdale,269.238,261.408,Lower Sac R,AbvTisdale to BlwTisdale,269.238 to 261.408,69,67,39.0364,-121.82918,38.98941,-121.80463,2023-04-24_BattleCk_WilsonBridge_Rel,1,18,2023-04-24,BattleCk_WilsonBridge_Rel
0.957,0.017,0.908,0.981,BlwTisdale,BlwChinaBend,261.408,240.618,Lower Sac R,BlwTisdale to BlwChinaBend,261.408 to 240.618,67,63,38.98941,-121.80463,38.88406,-121.81713,2023-04-24_BattleCk_WilsonBridge_Rel,1,19,2023-04-24,BattleCk_WilsonBridge_Rel
0.965,0.017,0.911,0.987,BlwChinaBend,Knights_RST,240.618,222.05,Lower Sac R,BlwChinaBend to Knights_RST,240.618 to 222.05,63,59,38.88406,-121.81713,38.79248,-121.69087,2023-04-24_BattleCk_WilsonBridge_Rel,1,20,2023-04-24,BattleCk_WilsonBridge_Rel
0.986,0.007,0.963,0.995,Knights_RST,TowerBridge,222.05,172,Lower Sac R,Knights_RST to TowerBridge,222.05 to 172,59,48,38.79248,-121.69087,38.5802,-121.508,2023-04-24_BattleCk_WilsonBridge_Rel,1,21,2023-04-24,BattleCk_WilsonBridge_Rel
1,0,1,1,TowerBridge,Freeport,172,152.23149999999998,Lower Sac R,TowerBridge to Freeport,172 to 152.2315,48,55,38.5802,-121.508,38.46467,-121.50501,2023-04-24_BattleCk_WilsonBridge_Rel,1,22,2023-04-24,BattleCk_WilsonBridge_Rel
0.956,0.01,0.932,0.971,Freeport,Benicia,152.23149999999998,52.144000000000005,Carquinez Strait,Freeport to Benicia,152.2315 to 52.144,55,35,38.46467,-121.50501,38.0423015,-122.1236,2023-04-24_BattleCk_WilsonBridge_Rel,1,23,2023-04-24,BattleCk_WilsonBridge_Rel
1,0,1,1,Benicia,GoldenGateE,52.144000000000005,1.71,SF Bay,Benicia to GoldenGateE,52.144 to 1.71,35,26,38.0423015,-122.1236,37.82794,-122.46168,2023-04-24_BattleCk_WilsonBridge_Rel,1,24,2023-04-24,BattleCk_WilsonBridge_Rel
