estimate,se,lcl,ucl,reach_start,reach_end,rkm_start,rkm_end,Region,Reach,RKM,count_at_start,count_at_end,GenLat_start,GenLon_start,GenLat_end,GenLon_end,release,group,reach_num,mean_rel_date,release_site
0.176,0.097,0.054,0.441,BattleCk_RST_Rel,BattleCk_Bridge,517.384,516.58,Battle Ck,BattleCk_RST_Rel to BattleCk_Bridge,517.384 to 516.58,77,67,40.39812,-122.144875,40.391815,-122.17781,2014-04-26_BattleCk_RST_Rel,1,1,2014-04-26,BattleCk_RST_Rel
0.935,0.032,0.838,0.975,BattleCk_Bridge,Battle_Conf,516.58,507.488,Upper Sac R,BattleCk_Bridge to Battle_Conf,516.58 to 507.488,67,63,40.391815,-122.17781,40.35371,-122.17734,2014-04-26_BattleCk_RST_Rel,1,2,2014-04-26,BattleCk_RST_Rel
0.957,0.015,0.917,0.979,Battle_Conf,Blw_Paynes_Ck,507.488,476.278,Upper Sac R,Battle_Conf to Blw_Paynes_Ck,507.488 to 476.278,63,55,40.35371,-122.17734,40.25534,-122.17332,2014-04-26_BattleCk_RST_Rel,1,3,2014-04-26,BattleCk_RST_Rel
0.946,0.023,0.878,0.977,Blw_Paynes_Ck,Blw_Salt,476.278,456.888,Upper Sac R,Blw_Paynes_Ck to Blw_Salt,476.278 to 456.888,55,41,40.25534,-122.17332,40.1464,-122.15246,2014-04-26_BattleCk_RST_Rel,1,4,2014-04-26,BattleCk_RST_Rel
0.972,0.022,0.873,0.995,Blw_Salt,Mill_Ck_Conf,456.888,441.318,Upper Sac R,Blw_Salt to Mill_Ck_Conf,456.888 to 441.318,41,45,40.1464,-122.15246,40.0327,-122.11987,2014-04-26_BattleCk_RST_Rel,1,5,2014-04-26,BattleCk_RST_Rel
0.924,0.034,0.824,0.969,Mill_Ck_Conf,Abv_WoodsonBr,441.318,425.158,Upper Sac R,Mill_Ck_Conf to Abv_WoodsonBr,441.318 to 425.158,45,39,40.0327,-122.11987,39.920094,-122.08446000000001,2014-04-26_BattleCk_RST_Rel,1,6,2014-04-26,BattleCk_RST_Rel
0.918,0.026,0.849,0.957,Abv_WoodsonBr,Blw_IrvineFinch,425.158,394.668,Upper Sac R,Abv_WoodsonBr to Blw_IrvineFinch,425.158 to 394.668,39,32,39.920094,-122.08446000000001,39.73146,-121.97483,2014-04-26_BattleCk_RST_Rel,1,7,2014-04-26,BattleCk_RST_Rel
0.95,0.022,0.885,0.979,Blw_IrvineFinch,BlwOrd,394.668,361.728,Upper Sac R,Blw_IrvineFinch to BlwOrd,394.668 to 361.728,32,27,39.73146,-121.97483,39.56548,-122.0018,2014-04-26_BattleCk_RST_Rel,1,8,2014-04-26,BattleCk_RST_Rel
1,0,1,1,BlwOrd,BlwButteBr,361.728,338.288,Lower Sac R,BlwOrd to BlwButteBr,361.728 to 338.288,27,14,39.56548,-122.0018,39.41913,-122.00943,2014-04-26_BattleCk_RST_Rel,1,9,2014-04-26,BattleCk_RST_Rel
0.745,0.057,0.62,0.84,BlwButteBr,AbvColusaBr,338.288,307.738,Lower Sac R,BlwButteBr to AbvColusaBr,338.288 to 307.738,14,11,39.41913,-122.00943,39.2205,-122.00847,2014-04-26_BattleCk_RST_Rel,1,10,2014-04-26,BattleCk_RST_Rel
1,0,1,1,AbvColusaBr,AbvTisdale,307.738,269.238,Lower Sac R,AbvColusaBr to AbvTisdale,307.738 to 269.238,11,9,39.2205,-122.00847,39.0364,-121.82918,2014-04-26_BattleCk_RST_Rel,1,11,2014-04-26,BattleCk_RST_Rel
