reach_end,reach_start,estimate,se,lcl,ucl,rkm_start,rkm_end,Region,Reach,RKM,GenLat_start,GenLon_start,GenLat_end,GenLon_end,release,mean_rel_date,count_at_start,count_at_end,group,reach_num,release_site
UpperButte3,Sanborn_Slough_Rel,0.998,0.001,0.993,0.999,288.65,267.216,Butte Creek,Sanborn_Slough_Rel to UpperButte3,288.65 to 267.216,39.32663,-121.8847,39.1876,-121.90903,2023-05-06_Sanborn_Slough_Rel,2023-05-06,60,57,1,1,Sanborn_Slough_Rel
I80-50_Br,UpperButte3,0.992,0.001,0.989,0.995,267.216,170.748,Lower Sac R,UpperButte3 to I80-50_Br,267.216 to 170.748,39.1876,-121.90903,38.571133,-121.5164,2023-05-06_Sanborn_Slough_Rel,2023-05-06,57,19,1,2,Sanborn_Slough_Rel
SacTrawl,I80-50_Br,1,0,1,1,170.748,166.822,Lower Sac R,I80-50_Br to SacTrawl,170.748 to 166.822,38.571133,-121.5164,38.539519999999996,-121.51444000000001,2023-05-06_Sanborn_Slough_Rel,2023-05-06,19,20,1,3,Sanborn_Slough_Rel
Freeport,SacTrawl,1,0,1,1,166.822,152.231,Lower Sac R,SacTrawl to Freeport,166.822 to 152.231,38.539519999999996,-121.51444000000001,38.46467,-121.50501,2023-05-06_Sanborn_Slough_Rel,2023-05-06,20,26,1,4,Sanborn_Slough_Rel
Benicia,Freeport,0.998,0.001,0.996,0.999,152.231,52.144,Carquinez Strait,Freeport to Benicia,152.231 to 52.144,38.46467,-121.50501,38.0423015,-122.1236,2023-05-06_Sanborn_Slough_Rel,2023-05-06,26,23,1,5,Sanborn_Slough_Rel
GoldenGateE,Benicia,0.999,0.001,0.993,1,52.144,1.71,SF Bay,Benicia to GoldenGateE,52.144 to 1.71,38.0423015,-122.1236,37.82794,-122.46168,2023-05-06_Sanborn_Slough_Rel,2023-05-06,23,22,1,6,Sanborn_Slough_Rel
UpperButte3,North_Weir_Rel,0.987,0.003,0.979,0.992,289.49,267.216,Butte Creek,North_Weir_Rel to UpperButte3,289.49 to 267.216,39.33546,-121.8923,39.1876,-121.90903,2023-05-06_North_Weir_Rel,2023-05-06,65,49,2,1,North_Weir_Rel
I80-50_Br,UpperButte3,0.991,0.002,0.987,0.994,267.216,170.748,Lower Sac R,UpperButte3 to I80-50_Br,267.216 to 170.748,39.1876,-121.90903,38.571133,-121.5164,2023-05-06_North_Weir_Rel,2023-05-06,49,19,2,2,North_Weir_Rel
SacTrawl,I80-50_Br,1,0,1,1,170.748,166.822,Lower Sac R,I80-50_Br to SacTrawl,170.748 to 166.822,38.571133,-121.5164,38.539519999999996,-121.51444000000001,2023-05-06_North_Weir_Rel,2023-05-06,19,16,2,3,North_Weir_Rel
Freeport,SacTrawl,1,0,1,1,166.822,152.231,Lower Sac R,SacTrawl to Freeport,166.822 to 152.231,38.539519999999996,-121.51444000000001,38.46467,-121.50501,2023-05-06_North_Weir_Rel,2023-05-06,16,20,2,4,North_Weir_Rel
Benicia,Freeport,0.998,0.001,0.995,0.999,152.231,52.144,Carquinez Strait,Freeport to Benicia,152.231 to 52.144,38.46467,-121.50501,38.0423015,-122.1236,2023-05-06_North_Weir_Rel,2023-05-06,20,17,2,5,North_Weir_Rel
GoldenGateE,Benicia,0.996,0.002,0.988,0.999,52.144,1.71,SF Bay,Benicia to GoldenGateE,52.144 to 1.71,38.0423015,-122.1236,37.82794,-122.46168,2023-05-06_North_Weir_Rel,2023-05-06,17,12,2,6,North_Weir_Rel
UpperButte3,Butte_Blw_Sanborn_Rel,0.975,0.004,0.965,0.982,293.01,267.216,Butte Creek,Butte_Blw_Sanborn_Rel to UpperButte3,293.01 to 267.216,39.35859,-121.89436,39.1876,-121.90903,2023-05-07_Butte_Blw_Sanborn_Rel,2023-05-07,67,35,3,1,Butte_Blw_Sanborn_Rel
I80-50_Br,UpperButte3,0.983,0.003,0.975,0.989,267.216,170.748,Lower Sac R,UpperButte3 to I80-50_Br,267.216 to 170.748,39.1876,-121.90903,38.571133,-121.5164,2023-05-07_Butte_Blw_Sanborn_Rel,2023-05-07,35,7,3,2,Butte_Blw_Sanborn_Rel
SacTrawl,I80-50_Br,1,0,1,1,170.748,166.822,Lower Sac R,I80-50_Br to SacTrawl,170.748 to 166.822,38.571133,-121.5164,38.539519999999996,-121.51444000000001,2023-05-07_Butte_Blw_Sanborn_Rel,2023-05-07,7,5,3,3,Butte_Blw_Sanborn_Rel
Freeport,SacTrawl,1,0,1,1,166.822,152.231,Lower Sac R,SacTrawl to Freeport,166.822 to 152.231,38.539519999999996,-121.51444000000001,38.46467,-121.50501,2023-05-07_Butte_Blw_Sanborn_Rel,2023-05-07,5,7,3,4,Butte_Blw_Sanborn_Rel
Benicia,Freeport,0.997,0.002,0.987,0.999,152.231,52.144,Carquinez Strait,Freeport to Benicia,152.231 to 52.144,38.46467,-121.50501,38.0423015,-122.1236,2023-05-07_Butte_Blw_Sanborn_Rel,2023-05-07,7,5,3,5,Butte_Blw_Sanborn_Rel
GoldenGateE,Benicia,0.996,0.004,0.969,0.999,52.144,1.71,SF Bay,Benicia to GoldenGateE,52.144 to 1.71,38.0423015,-122.1236,37.82794,-122.46168,2023-05-07_Butte_Blw_Sanborn_Rel,2023-05-07,5,3,3,6,Butte_Blw_Sanborn_Rel
