reach_end,reach_start,estimate,se,lcl,ucl,rkm_start,rkm_end,Region,Reach,RKM,GenLat_start,GenLon_start,GenLat_end,GenLon_end,release,mean_rel_date,count_at_start,count_at_end,group,reach_num,release_site
Altube,RBDD_Rel,0.998,0.002,0.985,1,461.57,460.4,Upper Sac R,RBDD_Rel to Altube,461.57 to 460.4,40.15444,-122.20249,40.15348,-122.1887,2020-05-14_RBDD_Rel,2020-05-14,400,399,1,1,RBDD_Rel
Blw_Salt,Altube,1,0,1,1,460.4,456.88,Upper Sac R,Altube to Blw_Salt,460.4 to 456.88,40.15348,-122.1887,40.1464,-122.15246,2020-05-14_RBDD_Rel,2020-05-14,399,399,1,2,RBDD_Rel
Mill_Ck_Conf,Blw_Salt,1,0,0.998,1,456.88,441.31,Upper Sac R,Blw_Salt to Mill_Ck_Conf,456.88 to 441.31,40.1464,-122.15246,40.0327,-122.11987,2020-05-14_RBDD_Rel,2020-05-14,399,396,1,3,RBDD_Rel
Abv_WoodsonBr,Mill_Ck_Conf,0.999,0,0.998,1,441.31,425.15,Upper Sac R,Mill_Ck_Conf to Abv_WoodsonBr,441.31 to 425.15,40.0327,-122.11987,39.920094,-122.08446000000001,2020-05-14_RBDD_Rel,2020-05-14,396,391,1,4,RBDD_Rel
GCID,Abv_WoodsonBr,0.995,0.001,0.994,0.997,425.15,404.933,Upper Sac R,Abv_WoodsonBr to GCID,425.15 to 404.933,39.920094,-122.08446000000001,39.796839,-122.049394,2020-05-14_RBDD_Rel,2020-05-14,391,357,1,5,RBDD_Rel
Blw_IrvineFinch,GCID,0.984,0.002,0.979,0.988,404.933,394.66,Upper Sac R,GCID to Blw_IrvineFinch,404.933 to 394.66,39.796839,-122.049394,39.73146,-121.97483,2020-05-14_RBDD_Rel,2020-05-14,357,302,1,6,RBDD_Rel
Ord,Blw_IrvineFinch,0.992,0.001,0.99,0.994,394.66,371.65,Upper Sac R,Blw_IrvineFinch to Ord,394.66 to 371.65,39.73146,-121.97483,39.63447,-121.98959,2020-05-14_RBDD_Rel,2020-05-14,302,253,1,7,RBDD_Rel
BlwOrd,Ord,0.995,0.001,0.991,0.997,371.65,361.72,Upper Sac R,Ord to BlwOrd,371.65 to 361.72,39.63447,-121.98959,39.56548,-122.0018,2020-05-14_RBDD_Rel,2020-05-14,253,240,1,8,RBDD_Rel
ButteBr,BlwOrd,0.99,0.002,0.986,0.993,361.72,344.1,Lower Sac R,BlwOrd to ButteBr,361.72 to 344.1,39.56548,-122.0018,39.4569,-121.995,2020-05-14_RBDD_Rel,2020-05-14,240,193,1,9,RBDD_Rel
Colusa AC3,ButteBr,0.982,0.003,0.976,0.987,344.1,331.15,Lower Sac R,ButteBr to Colusa AC3,344.1 to 331.15,39.4569,-121.995,39.359877499999996,-122.01365999999999,2020-05-14_RBDD_Rel,2020-05-14,193,160,1,10,RBDD_Rel
Colusa AC2,Colusa AC3,0.982,0.003,0.974,0.987,331.15,318.61,Lower Sac R,Colusa AC3 to Colusa AC2,331.15 to 318.61,39.359877499999996,-122.01365999999999,39.28007,-122.01891,2020-05-14_RBDD_Rel,2020-05-14,160,127,1,11,RBDD_Rel
AbvColusaBr,Colusa AC2,0.988,0.003,0.98,0.993,318.61,307.73,Lower Sac R,Colusa AC2 to AbvColusaBr,318.61 to 307.73,39.28007,-122.01891,39.2205,-122.00847,2020-05-14_RBDD_Rel,2020-05-14,127,100,1,12,RBDD_Rel
Colusa BC4,AbvColusaBr,0.995,0.001,0.991,0.997,307.73,280.4,Lower Sac R,AbvColusaBr to Colusa BC4,307.73 to 280.4,39.2205,-122.00847,39.09362,-121.89405,2020-05-14_RBDD_Rel,2020-05-14,100,97,1,13,RBDD_Rel
Knights_RST,Colusa BC4,0.996,0.001,0.994,0.998,280.4,222.05,Lower Sac R,Colusa BC4 to Knights_RST,280.4 to 222.05,39.09362,-121.89405,38.79248,-121.69087,2020-05-14_RBDD_Rel,2020-05-14,97,79,1,14,RBDD_Rel
KnightsBlwRST,Knights_RST,1,0,1,1,222.05,221.58,Lower Sac R,Knights_RST to KnightsBlwRST,222.05 to 221.58,38.79248,-121.69087,38.78877,-121.694,2020-05-14_RBDD_Rel,2020-05-14,79,79,1,15,RBDD_Rel
Blw_FRConf,KnightsBlwRST,0.996,0.002,0.991,0.999,221.58,203.46,Lower Sac R,KnightsBlwRST to Blw_FRConf,221.58 to 203.46,38.78877,-121.694,38.78212,-121.61526,2020-05-14_RBDD_Rel,2020-05-14,79,74,1,16,RBDD_Rel
Blw_FR_GS2,Blw_FRConf,0.997,0.003,0.978,1,203.46,199,Lower Sac R,Blw_FRConf to Blw_FR_GS2,203.46 to 199,38.78212,-121.61526,38.735055,-121.603635,2020-05-14_RBDD_Rel,2020-05-14,74,73,1,17,RBDD_Rel
Blw_Elkhorn_GS1,Blw_FR_GS2,0.992,0.004,0.979,0.997,199,191.92,Lower Sac R,Blw_FR_GS2 to Blw_Elkhorn_GS1,199 to 191.92,38.735055,-121.603635,38.647935000000004,-121.578205,2020-05-14_RBDD_Rel,2020-05-14,73,69,1,18,RBDD_Rel
TowerBridge,Blw_Elkhorn_GS1,0.989,0.003,0.981,0.993,191.92,172,Lower Sac R,Blw_Elkhorn_GS1 to TowerBridge,191.92 to 172,38.647935000000004,-121.578205,38.5802,-121.508,2020-05-14_RBDD_Rel,2020-05-14,69,55,1,19,RBDD_Rel
I80-50_Br,TowerBridge,1,0,1,1,172,170.74,Lower Sac R,TowerBridge to I80-50_Br,172 to 170.74,38.5802,-121.508,38.571133,-121.5164,2020-05-14_RBDD_Rel,2020-05-14,55,55,1,20,RBDD_Rel
Benicia,I80-50_Br,0.967,0.008,0.947,0.979,170.74,52.14,Carquinez Strait,I80-50_Br to Benicia,170.74 to 52.14,38.571133,-121.5164,38.0423015,-122.1236,2020-05-14_RBDD_Rel,2020-05-14,55,1,1,21,RBDD_Rel
GoldenGateE,Benicia,1,0,1,1,52.14,1.71,SF Bay,Benicia to GoldenGateE,52.14 to 1.71,38.0423015,-122.1236,37.82794,-122.46168,2020-05-14_RBDD_Rel,2020-05-14,1,1,1,22,RBDD_Rel
Altube,RBDD_Rel,0.997,0.003,0.981,1,461.57,460.4,Upper Sac R,RBDD_Rel to Altube,461.57 to 460.4,40.15444,-122.20249,40.15348,-122.1887,2020-05-21_RBDD_Rel,2020-05-21,323,322,2,1,RBDD_Rel
Blw_Salt,Altube,0.995,0.002,0.988,0.998,460.4,456.88,Upper Sac R,Altube to Blw_Salt,460.4 to 456.88,40.15348,-122.1887,40.1464,-122.15246,2020-05-21_RBDD_Rel,2020-05-21,322,316,2,2,RBDD_Rel
Mill_Ck_Conf,Blw_Salt,0.993,0.001,0.99,0.995,456.88,441.31,Upper Sac R,Blw_Salt to Mill_Ck_Conf,456.88 to 441.31,40.1464,-122.15246,40.0327,-122.11987,2020-05-21_RBDD_Rel,2020-05-21,316,284,2,3,RBDD_Rel
Abv_WoodsonBr,Mill_Ck_Conf,0.989,0.002,0.985,0.992,441.31,425.15,Upper Sac R,Mill_Ck_Conf to Abv_WoodsonBr,441.31 to 425.15,40.0327,-122.11987,39.920094,-122.08446000000001,2020-05-21_RBDD_Rel,2020-05-21,284,234,2,4,RBDD_Rel
GCID,Abv_WoodsonBr,0.983,0.002,0.978,0.986,425.15,404.933,Upper Sac R,Abv_WoodsonBr to GCID,425.15 to 404.933,39.920094,-122.08446000000001,39.796839,-122.049394,2020-05-21_RBDD_Rel,2020-05-21,234,165,2,5,RBDD_Rel
Blw_IrvineFinch,GCID,0.974,0.004,0.964,0.981,404.933,394.66,Upper Sac R,GCID to Blw_IrvineFinch,404.933 to 394.66,39.796839,-122.049394,39.73146,-121.97483,2020-05-21_RBDD_Rel,2020-05-21,165,125,2,6,RBDD_Rel
Ord,Blw_IrvineFinch,0.99,0.002,0.985,0.993,394.66,371.65,Upper Sac R,Blw_IrvineFinch to Ord,394.66 to 371.65,39.73146,-121.97483,39.63447,-121.98959,2020-05-21_RBDD_Rel,2020-05-21,125,98,2,7,RBDD_Rel
BlwOrd,Ord,0.982,0.004,0.971,0.989,371.65,361.72,Upper Sac R,Ord to BlwOrd,371.65 to 361.72,39.63447,-121.98959,39.56548,-122.0018,2020-05-21_RBDD_Rel,2020-05-21,98,82,2,8,RBDD_Rel
ButteBr,BlwOrd,0.986,0.003,0.978,0.991,361.72,344.1,Lower Sac R,BlwOrd to ButteBr,361.72 to 344.1,39.56548,-122.0018,39.4569,-121.995,2020-05-21_RBDD_Rel,2020-05-21,82,64,2,9,RBDD_Rel
Colusa AC3,ButteBr,0.992,0.003,0.983,0.997,344.1,331.15,Lower Sac R,ButteBr to Colusa AC3,344.1 to 331.15,39.4569,-121.995,39.359877499999996,-122.01365999999999,2020-05-21_RBDD_Rel,2020-05-21,64,56,2,10,RBDD_Rel
