reach_end,reach_start,estimate,se,lcl,ucl,rkm_start,rkm_end,Region,Reach,RKM,GenLat_start,GenLon_start,GenLat_end,GenLon_end,release,mean_rel_date,count_at_start,count_at_end,group,reach_num,release_site
Colusa AC3,SacRiver_ButteCity_Rel,0.991,0.002,0.988,0.994,344.918,331.158,Lower Sac R,SacRiver_ButteCity_Rel to Colusa AC3,344.918 to 331.158,39.464386,-121.99266,39.36038,-122.01373,2021-03-27_SacRiver_ButteCity_Rel,2021-03-27,300,265,1,10,SacRiver_ButteCity_Rel
Colusa AC2,Colusa AC3,0.99,0.002,0.986,0.993,331.158,318.618,Lower Sac R,Colusa AC3 to Colusa AC2,331.158 to 318.618,39.36038,-122.01373,39.28007,-122.01891,2021-03-27_SacRiver_ButteCity_Rel,2021-03-27,265,235,1,11,SacRiver_ButteCity_Rel
AbvColusaBr,Colusa AC2,0.986,0.002,0.981,0.99,318.618,307.738,Lower Sac R,Colusa AC2 to AbvColusaBr,318.618 to 307.738,39.28007,-122.01891,39.2205,-122.00847,2021-03-27_SacRiver_ButteCity_Rel,2021-03-27,235,198,1,12,SacRiver_ButteCity_Rel
Colusa BC2,AbvColusaBr,0.996,0.001,0.993,0.998,307.738,296.278,Lower Sac R,AbvColusaBr to Colusa BC2,307.738 to 296.278,39.2205,-122.00847,39.184963,-121.943214,2021-03-27_SacRiver_ButteCity_Rel,2021-03-27,198,194,1,13,SacRiver_ButteCity_Rel
Colusa BC3,Colusa BC2,0.989,0.003,0.982,0.993,296.278,287.208,Lower Sac R,Colusa BC2 to Colusa BC3,296.278 to 287.208,39.184963,-121.943214,39.13132,-121.936554,2021-03-27_SacRiver_ButteCity_Rel,2021-03-27,194,175,1,14,SacRiver_ButteCity_Rel
AbvTisdale,Colusa BC3,0.994,0.001,0.99,0.996,287.208,269.238,Lower Sac R,Colusa BC3 to AbvTisdale,287.208 to 269.238,39.13132,-121.936554,39.0364,-121.82918,2021-03-27_SacRiver_ButteCity_Rel,2021-03-27,175,157,1,15,SacRiver_ButteCity_Rel
BlwTisdale,AbvTisdale,0.998,0.001,0.992,0.999,269.238,261.408,Lower Sac R,AbvTisdale to BlwTisdale,269.238 to 261.408,39.0364,-121.82918,38.98941,-121.80463,2021-03-27_SacRiver_ButteCity_Rel,2021-03-27,157,154,1,16,SacRiver_ButteCity_Rel
BlwChinaBend,BlwTisdale,0.997,0.001,0.994,0.998,261.408,240.618,Lower Sac R,BlwTisdale to BlwChinaBend,261.408 to 240.618,38.98941,-121.80463,38.88406,-121.81713,2021-03-27_SacRiver_ButteCity_Rel,2021-03-27,154,142,1,17,SacRiver_ButteCity_Rel
Knights_RST,BlwChinaBend,0.991,0.002,0.986,0.994,240.618,222.05,Lower Sac R,BlwChinaBend to Knights_RST,240.618 to 222.05,38.88406,-121.81713,38.79248,-121.69087,2021-03-27_SacRiver_ButteCity_Rel,2021-03-27,142,119,1,18,SacRiver_ButteCity_Rel
Blw_Elkhorn_GS1,Knights_RST,0.994,0.001,0.99,0.996,222.05,191.92,Lower Sac R,Knights_RST to Blw_Elkhorn_GS1,222.05 to 191.92,38.79248,-121.69087,38.64737,-121.57771,2021-03-27_SacRiver_ButteCity_Rel,2021-03-27,119,99,1,19,SacRiver_ButteCity_Rel
TowerBridge,Blw_Elkhorn_GS1,0.989,0.003,0.983,0.993,191.92,172,Lower Sac R,Blw_Elkhorn_GS1 to TowerBridge,191.92 to 172,38.64737,-121.57771,38.5802,-121.508,2021-03-27_SacRiver_ButteCity_Rel,2021-03-27,99,79,1,20,SacRiver_ButteCity_Rel
Freeport,TowerBridge,0.985,0.003,0.977,0.99,172,152.438,Lower Sac R,TowerBridge to Freeport,172 to 152.438,38.5802,-121.508,38.46467,-121.50501,2021-03-27_SacRiver_ButteCity_Rel,2021-03-27,79,59,1,21,SacRiver_ButteCity_Rel
Chipps,Freeport,0.984,0.003,0.978,0.988,152.438,71.486,West Delta,Freeport to Chipps,152.438 to 71.486,38.46467,-121.50501,38.046132,-121.912643,2021-03-27_SacRiver_ButteCity_Rel,2021-03-27,59,16,1,22,SacRiver_ButteCity_Rel
