reach_end,reach_start,estimate,se,lcl,ucl,CI,rkm_start,rkm_end,Region,Reach,RKM,GenLat_start,GenLon_start,GenLat_end,GenLon_end,release,mean_rel_date,count_at_start,count_at_end,group,reach_num,release_site
Colusa AC3,SacRiver_ButteCity_Rel,0.989,0.002,0.985,0.992,0.07966249999999997,344.918,331.158,Lower Sac R,SacRiver_ButteCity_Rel to Colusa AC3,344.918 to 331.158,39.464386,-121.99266,39.36038,-122.01373,2022-04-07_SacRiver_ButteCity_Rel,2022-04-07,300,257,1,10,SacRiver_ButteCity_Rel
Colusa AC2,Colusa AC3,0.988,0.002,0.984,0.992,0.08448469999999997,331.158,318.618,Lower Sac R,Colusa AC3 to Colusa AC2,331.158 to 318.618,39.36038,-122.01373,39.28007,-122.01891,2022-04-07_SacRiver_ButteCity_Rel,2022-04-07,257,221,1,11,SacRiver_ButteCity_Rel
AbvColusaBr,Colusa AC2,0.985,0.003,0.979,0.989,0.0955667,318.618,307.738,Lower Sac R,Colusa AC2 to AbvColusaBr,318.618 to 307.738,39.28007,-122.01891,39.2205,-122.00847,2022-04-07_SacRiver_ButteCity_Rel,2022-04-07,221,187,1,12,SacRiver_ButteCity_Rel
Colusa BC2,AbvColusaBr,0.995,0.002,0.991,0.997,0.07016080000000002,307.738,296.278,Lower Sac R,AbvColusaBr to Colusa BC2,307.738 to 296.278,39.2205,-122.00847,39.184963,-121.943214,2022-04-07_SacRiver_ButteCity_Rel,2022-04-07,187,177,1,13,SacRiver_ButteCity_Rel
Colusa BC3,Colusa BC2,0.984,0.003,0.976,0.989,0.10177259999999999,296.278,287.208,Lower Sac R,Colusa BC2 to Colusa BC3,296.278 to 287.208,39.184963,-121.943214,39.13132,-121.936554,2022-04-07_SacRiver_ButteCity_Rel,2022-04-07,177,153,1,14,SacRiver_ButteCity_Rel
AbvTisdale,Colusa BC3,0.989,0.002,0.984,0.992,0.12287159999999997,287.208,269.238,Lower Sac R,Colusa BC3 to AbvTisdale,287.208 to 269.238,39.13132,-121.936554,39.0364,-121.82918,2022-04-07_SacRiver_ButteCity_Rel,2022-04-07,153,125,1,15,SacRiver_ButteCity_Rel
BlwTisdale,AbvTisdale,0.987,0.004,0.978,0.993,0.10613419999999996,269.238,261.408,Lower Sac R,AbvTisdale to BlwTisdale,269.238 to 261.408,39.0364,-121.82918,38.98941,-121.80463,2022-04-07_SacRiver_ButteCity_Rel,2022-04-07,125,113,1,16,SacRiver_ButteCity_Rel
BlwChinaBend,BlwTisdale,0.985,0.003,0.979,0.99,0.16202680000000003,261.408,240.618,Lower Sac R,BlwTisdale to BlwChinaBend,261.408 to 240.618,38.98941,-121.80463,38.88406,-121.81713,2022-04-07_SacRiver_ButteCity_Rel,2022-04-07,113,83,1,17,SacRiver_ButteCity_Rel
Knights_RST,BlwChinaBend,0.988,0.003,0.98,0.992,0.17375410000000002,240.618,222.05,Lower Sac R,BlwChinaBend to Knights_RST,240.618 to 222.05,38.88406,-121.81713,38.79348,-121.6914625,2022-04-07_SacRiver_ButteCity_Rel,2022-04-07,83,66,1,18,SacRiver_ButteCity_Rel
TowerBridge,Knights_RST,0.987,0.002,0.981,0.991,0.23658430000000003,222.05,172,Lower Sac R,Knights_RST to TowerBridge,222.05 to 172,38.79348,-121.6914625,38.5802,-121.508,2022-04-07_SacRiver_ButteCity_Rel,2022-04-07,66,34,1,19,SacRiver_ButteCity_Rel
Freeport,TowerBridge,0.984,0.005,0.97,0.992,0.2915639,172,152.438,Lower Sac R,TowerBridge to Freeport,172 to 152.438,38.5802,-121.508,38.46467,-121.50501,2022-04-07_SacRiver_ButteCity_Rel,2022-04-07,34,25,1,20,SacRiver_ButteCity_Rel
Hood,Freeport,0.988,0.006,0.968,0.995,0.2955033,152.438,138.228,Lower Sac R,Freeport to Hood,152.438 to 138.228,38.46467,-121.50501,38.3617,-121.52033,2022-04-07_SacRiver_ButteCity_Rel,2022-04-07,25,21,1,21,SacRiver_ButteCity_Rel
Chipps,Hood,0.988,0.004,0.978,0.993,0.41676440000000003,138.228,71.486,West Delta,Hood to Chipps,138.228 to 71.486,38.3617,-121.52033,38.046132,-121.912643,2022-04-07_SacRiver_ButteCity_Rel,2022-04-07,21,9,1,22,SacRiver_ButteCity_Rel
Benicia,Chipps,0.987,0.011,0.936,0.998,0.6029245999999999,71.486,52.144,Carquinez Strait,Chipps to Benicia,71.486 to 52.144,38.046132,-121.912643,38.0423015,-122.1236,2022-04-07_SacRiver_ButteCity_Rel,2022-04-07,9,7,1,23,SacRiver_ButteCity_Rel
GoldenGateE,Benicia,0.989,0.007,0.963,0.997,0.6497082000000001,52.144,1.71,SF Bay,Benicia to GoldenGateE,52.144 to 1.71,38.0423015,-122.1236,37.82794,-122.46168,2022-04-07_SacRiver_ButteCity_Rel,2022-04-07,7,2,1,24,SacRiver_ButteCity_Rel
BattleCk3,BattleCk_CNFH_Rel,0.969,0.004,0.959,0.976,0.08520620000000001,517.344,511.454,Battle Ck,BattleCk_CNFH_Rel to BattleCk3,517.344 to 511.454,40.398155,-122.14556,40.38434,-122.17876,2022-04-05_BattleCk_CNFH_Rel,2022-04-05,300,249,2,1,BattleCk_CNFH_Rel
Blw_Paynes_Ck,BattleCk3,0.99,0.001,0.987,0.992,0.11442549999999996,511.454,476.278,Upper Sac R,BattleCk3 to Blw_Paynes_Ck,511.454 to 476.278,40.38434,-122.17876,40.25534,-122.17332,2022-04-05_BattleCk_CNFH_Rel,2022-04-05,249,172,2,2,BattleCk_CNFH_Rel
Altube,Blw_Paynes_Ck,0.988,0.002,0.983,0.992,0.11236029999999997,476.278,460.4,Upper Sac R,Blw_Paynes_Ck to Altube,476.278 to 460.4,40.25534,-122.17332,40.15348,-122.1887,2022-04-05_BattleCk_CNFH_Rel,2022-04-05,172,143,2,3,BattleCk_CNFH_Rel
Mill_Ck_Conf,Altube,0.988,0.002,0.983,0.992,0.13189360000000006,460.4,441.318,Upper Sac R,Altube to Mill_Ck_Conf,460.4 to 441.318,40.15348,-122.1887,40.0327,-122.11987,2022-04-05_BattleCk_CNFH_Rel,2022-04-05,143,114,2,4,BattleCk_CNFH_Rel
Abv_WoodsonBr,Mill_Ck_Conf,0.983,0.003,0.975,0.988,0.15748269999999998,441.318,425.158,Upper Sac R,Mill_Ck_Conf to Abv_WoodsonBr,441.318 to 425.158,40.0327,-122.11987,39.920094,-122.08446000000001,2022-04-05_BattleCk_CNFH_Rel,2022-04-05,114,86,2,5,BattleCk_CNFH_Rel
GCID,Abv_WoodsonBr,0.99,0.003,0.983,0.994,0.16514030000000002,425.158,405.273,Upper Sac R,Abv_WoodsonBr to GCID,425.158 to 405.273,39.920094,-122.08446000000001,39.798953499999996,-122.04724300000001,2022-04-05_BattleCk_CNFH_Rel,2022-04-05,86,70,2,6,BattleCk_CNFH_Rel
Blw_IrvineFinch,GCID,0.992,0.004,0.98,0.997,0.1575128,405.273,394.668,Upper Sac R,GCID to Blw_IrvineFinch,405.273 to 394.668,39.798953499999996,-122.04724300000001,39.73146,-121.97483,2022-04-05_BattleCk_CNFH_Rel,2022-04-05,70,59,2,7,BattleCk_CNFH_Rel
Ord,Blw_IrvineFinch,0.99,0.003,0.983,0.994,0.20561779999999996,394.668,371.658,Upper Sac R,Blw_IrvineFinch to Ord,394.668 to 371.658,39.73146,-121.97483,39.63447,-121.98959,2022-04-05_BattleCk_CNFH_Rel,2022-04-05,59,51,2,8,BattleCk_CNFH_Rel
BlwOrd,Ord,0.99,0.005,0.975,0.996,0.1733943,371.658,361.728,Upper Sac R,Ord to BlwOrd,371.658 to 361.728,39.63447,-121.98959,39.56548,-122.0018,2022-04-05_BattleCk_CNFH_Rel,2022-04-05,51,46,2,9,BattleCk_CNFH_Rel
Colusa AC3,BlwOrd,0.995,0.002,0.99,0.998,0.2015424,361.728,331.158,Lower Sac R,BlwOrd to Colusa AC3,361.728 to 331.158,39.56548,-122.0018,39.36038,-122.01373,2022-04-05_BattleCk_CNFH_Rel,2022-04-05,46,40,2,10,BattleCk_CNFH_Rel
Colusa AC2,Colusa AC3,0.989,0.005,0.975,0.996,0.21444990000000008,331.158,318.618,Lower Sac R,Colusa AC3 to Colusa AC2,331.158 to 318.618,39.36038,-122.01373,39.28007,-122.01891,2022-04-05_BattleCk_CNFH_Rel,2022-04-05,40,35,2,11,BattleCk_CNFH_Rel
