estimate,se,lcl,ucl,StudyID,reach_start,reach_end,rkm_start,rkm_end,Region,Reach,RKM,reach_num,count_at_start,count_at_end,GenLat_start,GenLon_start,GenLat_end,GenLon_end
0.9899169,0.005826,0.969014,0.9967659,Nimbus_Fall_2018,BattleCk_CNFH_Rel,Battle_Conf,517.34,507.48,Battle Ck,"BattleCk_CNFH_Rel to 
Battle_Conf",517.34 to 507.48,1,300,296,40.398155,-122.14556,40.35371,-122.17734
0.9945563,0.0024279,0.9869894,0.9977324,Nimbus_Fall_2018,Battle_Conf,Blw_Paynes_Ck,507.48,476.27,Upper Sac R,"Battle_Conf to 
Blw_Paynes_Ck",507.48 to 476.27,2,296,292,40.35371,-122.17734,40.25534,-122.17332
0.9911323,0.0039483,0.9788752,0.9963044,Nimbus_Fall_2018,Blw_Paynes_Ck,Blw_Salt,476.27,456.88,Upper Sac R,"Blw_Paynes_Ck to 
Blw_Salt",476.27 to 456.88,3,292,286,40.25534,-122.17332,40.1464,-122.15246
1,0,1,1,Nimbus_Fall_2018,Blw_Salt,Mill_Ck_Conf,456.88,441.31,Upper Sac R,"Blw_Salt to 
Mill_Ck_Conf",456.88 to 441.31,4,286,286,40.1464,-122.15246,40.0327,-122.11987
0.981404,0.0082999,0.9558355,0.9922893,Nimbus_Fall_2018,Mill_Ck_Conf,Abv_WoodsonBr,441.31,425.15,Upper Sac R,"Mill_Ck_Conf to 
Abv_WoodsonBr",441.31 to 425.15,5,286,215,40.0327,-122.11987,39.920094,-122.08446000000001
0.9767797,0.0059856,0.9616531,0.986026,Nimbus_Fall_2018,Abv_WoodsonBr,Blw_IrvineFinch,425.15,394.66,Upper Sac R,"Abv_WoodsonBr to 
Blw_IrvineFinch",425.15 to 394.66,6,215,257,39.920094,-122.08446000000001,39.73146,-121.97483
0.9760873,0.0055434,0.9624442,0.9848522,Nimbus_Fall_2018,Blw_IrvineFinch,BlwOrd,394.66,361.72,Upper Sac R,"Blw_IrvineFinch to 
BlwOrd",394.66 to 361.72,7,257,223,39.73146,-121.97483,39.56548,-122.0018
0.9719115,0.0085785,0.9492136,0.9846293,Nimbus_Fall_2018,BlwOrd,BlwButteBr,361.72,338.28,Upper Sac R,"BlwOrd to 
BlwButteBr",361.72 to 338.28,8,223,210,39.56548,-122.0018,39.41913,-122.00943
0.9999999,1.519432e-5,2.864608e-80,1,Nimbus_Fall_2018,BlwButteBr,AbvColusaBr,338.28,307.73,Lower Sac R,"BlwButteBr to 
AbvColusaBr",338.28 to 307.73,9,210,35,39.41913,-122.00943,39.2205,-122.00847
0.9622801,0.0656432,0.4242054,0.9988693,Nimbus_Fall_2018,AbvColusaBr,Abv Grimes,307.73,281.17,Lower Sac R,"AbvColusaBr to 
Abv Grimes",307.73 to 281.17,10,35,11,39.2205,-122.00847,39.0971,-121.89676
0.7667963,0.1185764,0.4726826,0.9234375,Nimbus_Fall_2018,Abv Grimes,AbvTisdale,281.17,269.23,Lower Sac R,"Abv Grimes to 
AbvTisdale",281.17 to 269.23,11,11,146,39.0971,-121.89676,39.0364,-121.82918
0.8594398,0.0468561,0.7408547,0.9289635,Nimbus_Fall_2018,AbvTisdale,BlwTisdale,269.23,261.4,Lower Sac R,"AbvTisdale to 
BlwTisdale",269.23 to 261.4,12,146,88,39.0364,-121.82918,38.98941,-121.80463
0.9013271,0.0235992,0.8444837,0.9388967,Nimbus_Fall_2018,BlwTisdale,BlwChinaBend,261.4,240.61,Lower Sac R,"BlwTisdale to 
BlwChinaBend",261.4 to 240.61,13,88,99,38.98941,-121.80463,38.88406,-121.81713
0.8696977,0.0275544,0.8056077,0.9148899,Nimbus_Fall_2018,BlwChinaBend,KnightsLanding,240.61,224.06,Lower Sac R,"BlwChinaBend to 
KnightsLanding",240.61 to 224.06,14,99,81,38.88406,-121.81713,38.82341,-121.72388
0.9138111,0.0305282,0.8322098,0.9577424,Nimbus_Fall_2018,KnightsLanding,Blw_FRConf,224.06,203.46,Lower Sac R,"KnightsLanding to 
Blw_FRConf",224.06 to 203.46,15,81,50,38.82341,-121.72388,38.78212,-121.61526
0.9019632,0.0253124,0.8399919,0.9416016,Nimbus_Fall_2018,Blw_FRConf,TowerBridge,203.46,172,Lower Sac R,"Blw_FRConf to 
TowerBridge",203.46 to 172,16,50,49,38.78212,-121.61526,38.5802,-121.508
0.9284794,0.0340612,0.8260985,0.9725859,Nimbus_Fall_2018,TowerBridge,FreeportDiv,172,153.13,Lower Sac R,"TowerBridge to 
FreeportDiv",172 to 153.13,17,49,24,38.5802,-121.508,38.47223,-121.50639
0.9968093,0.057604,1.196655e-13,1,Nimbus_Fall_2018,FreeportDiv,Hood,153.13,138.22,Lower Sac R,"FreeportDiv to 
Hood",153.13 to 138.22,18,24,38,38.47223,-121.50639,38.3617,-121.52033
0.9139554,0.0334108,0.8220361,0.9606694,Nimbus_Fall_2018,Hood,Benicia,138.22,52.04,Lower Sac R,"Hood to 
Benicia",138.22 to 52.04,19,38,15,38.3617,-121.52033,38.041233,-122.12382
0.726311,0.0745211,0.5600116,0.8469351,Nimbus_Fall_2018,Benicia,GoldenGateE,52.04,1.71,Carquinez Strait,"Benicia to 
GoldenGateE",52.04 to 1.71,20,15,4,38.041233,-122.12382,37.82794,-122.46168
