reach_end,reach_start,estimate,se,lcl,ucl,rkm_start,rkm_end,Region,Reach,RKM,GenLat_start,GenLon_start,GenLat_end,GenLon_end,release,mean_rel_date,count_at_start,count_at_end,group,reach_num,release_site
BattleCk4,BattleCk_CNFH_Rel,0.997,0.001,0.994,0.999,517.34,508.25,Battle Ck,BattleCk_CNFH_Rel to BattleCk4,517.34 to 508.25,40.398155,-122.14556,40.360744,-122.17268,2017-04-05_BattleCk_CNFH_Rel,2017-04-05,290,276,1,1,BattleCk_CNFH_Rel
ButteBr,BattleCk4,0.999,0,0.998,0.999,508.25,344.1,Lower Sac R,BattleCk4 to ButteBr,508.25 to 344.1,40.360744,-122.17268,39.4569,-121.995,2017-04-05_BattleCk_CNFH_Rel,2017-04-05,276,212,1,2,BattleCk_CNFH_Rel
Colusa AC3,ButteBr,0.992,0.002,0.986,0.995,344.1,331.15,Lower Sac R,ButteBr to Colusa AC3,344.1 to 331.15,39.4569,-121.995,39.359877499999996,-122.01365999999999,2017-04-05_BattleCk_CNFH_Rel,2017-04-05,212,199,1,3,BattleCk_CNFH_Rel
Chipps,Colusa AC3,0.996,0,0.995,0.997,331.15,71.48,West Delta,Colusa AC3 to Chipps,331.15 to 71.48,39.359877499999996,-122.01365999999999,38.046132,-121.912643,2017-04-05_BattleCk_CNFH_Rel,2017-04-05,199,76,1,4,BattleCk_CNFH_Rel
Benicia,Chipps,0.996,0.002,0.99,0.998,71.48,52.04,Carquinez Strait,Chipps to Benicia,71.48 to 52.04,38.046132,-121.912643,38.041233,-122.12382,2017-04-05_BattleCk_CNFH_Rel,2017-04-05,76,69,1,5,BattleCk_CNFH_Rel
GoldenGateE,Benicia,0.988,0.003,0.98,0.992,52.04,1.71,SF Bay,Benicia to GoldenGateE,52.04 to 1.71,38.041233,-122.12382,37.82794,-122.46168,2017-04-05_BattleCk_CNFH_Rel,2017-04-05,69,12,1,6,BattleCk_CNFH_Rel
BattleCk4,BattleCk_CNFH_Rel,0.995,0.002,0.991,0.997,517.34,508.25,Battle Ck,BattleCk_CNFH_Rel to BattleCk4,517.34 to 508.25,40.398155,-122.14556,40.360744,-122.17268,2017-04-21_BattleCk_CNFH_Rel,2017-04-21,290,275,2,1,BattleCk_CNFH_Rel
ButteBr,BattleCk4,0.998,0,0.998,0.998,508.25,344.1,Lower Sac R,BattleCk4 to ButteBr,508.25 to 344.1,40.360744,-122.17268,39.4569,-121.995,2017-04-21_BattleCk_CNFH_Rel,2017-04-21,275,156,2,2,BattleCk_CNFH_Rel
Colusa AC3,ButteBr,0.997,0.002,0.988,0.999,344.1,331.15,Lower Sac R,ButteBr to Colusa AC3,344.1 to 331.15,39.4569,-121.995,39.359877499999996,-122.01365999999999,2017-04-21_BattleCk_CNFH_Rel,2017-04-21,156,183,2,3,BattleCk_CNFH_Rel
Chipps,Colusa AC3,0.994,0.001,0.993,0.995,331.15,71.48,West Delta,Colusa AC3 to Chipps,331.15 to 71.48,39.359877499999996,-122.01365999999999,38.046132,-121.912643,2017-04-21_BattleCk_CNFH_Rel,2017-04-21,183,45,2,4,BattleCk_CNFH_Rel
Benicia,Chipps,0.997,0.002,0.988,0.999,71.48,52.04,Carquinez Strait,Chipps to Benicia,71.48 to 52.04,38.046132,-121.912643,38.041233,-122.12382,2017-04-21_BattleCk_CNFH_Rel,2017-04-21,45,42,2,5,BattleCk_CNFH_Rel
GoldenGateE,Benicia,0.997,0.003,0.978,1,52.04,1.71,SF Bay,Benicia to GoldenGateE,52.04 to 1.71,38.041233,-122.12382,37.82794,-122.46168,2017-04-21_BattleCk_CNFH_Rel,2017-04-21,42,19,2,6,BattleCk_CNFH_Rel
