reach_end,reach_start,estimate,se,lcl,ucl,rkm_start,rkm_end,Region,Reach,RKM,GenLat_start,GenLon_start,GenLat_end,GenLon_end,release,mean_rel_date,count_at_start,count_at_end,group,reach_num,release_site
BattleCk1,BattleCk_CNFH_Rel,0.801,0.045,0.699,0.875,517.34,516.98,Battle Ck,BattleCk_CNFH_Rel to BattleCk1,517.34 to 516.98,40.398155,-122.14556,40.39827,-122.14959,2017-12-21_BattleCk_CNFH_Rel,2017-12-21,228,206,1,1,BattleCk_CNFH_Rel
Blw_Paynes_Ck,BattleCk1,0.996,0.001,0.994,0.997,516.98,476.27,Upper Sac R,BattleCk1 to Blw_Paynes_Ck,516.98 to 476.27,40.39827,-122.14959,40.25534,-122.17332,2017-12-21_BattleCk_CNFH_Rel,2017-12-21,206,171,1,2,BattleCk_CNFH_Rel
Abv_RBPP,Blw_Paynes_Ck,0.996,0.001,0.992,0.998,476.27,463.22,Upper Sac R,Blw_Paynes_Ck to Abv_RBPP,476.27 to 463.22,40.25534,-122.17332,40.153008,-122.198235,2017-12-21_BattleCk_CNFH_Rel,2017-12-21,171,162,1,3,BattleCk_CNFH_Rel
Mill_Ck_Conf,Abv_RBPP,0.999,0.001,0.996,0.999,463.22,441.31,Upper Sac R,Abv_RBPP to Mill_Ck_Conf,463.22 to 441.31,40.153008,-122.198235,40.0327,-122.11987,2017-12-21_BattleCk_CNFH_Rel,2017-12-21,162,152,1,4,BattleCk_CNFH_Rel
Abv_WoodsonBr,Mill_Ck_Conf,0.997,0.001,0.994,0.999,441.31,425.15,Upper Sac R,Mill_Ck_Conf to Abv_WoodsonBr,441.31 to 425.15,40.0327,-122.11987,39.920094,-122.08446000000001,2017-12-21_BattleCk_CNFH_Rel,2017-12-21,152,150,1,5,BattleCk_CNFH_Rel
GCID,Abv_WoodsonBr,0.994,0.001,0.99,0.996,425.15,405.265,Upper Sac R,Abv_WoodsonBr to GCID,425.15 to 405.265,39.920094,-122.08446000000001,39.798953499999996,-122.04724300000001,2017-12-21_BattleCk_CNFH_Rel,2017-12-21,150,134,1,6,BattleCk_CNFH_Rel
Blw_IrvineFinch,GCID,0.986,0.003,0.977,0.991,405.265,394.66,Upper Sac R,GCID to Blw_IrvineFinch,405.265 to 394.66,39.798953499999996,-122.04724300000001,39.73146,-121.97483,2017-12-21_BattleCk_CNFH_Rel,2017-12-21,134,111,1,7,BattleCk_CNFH_Rel
BlwOrd,Blw_IrvineFinch,0.99,0.002,0.985,0.993,394.66,361.72,Upper Sac R,Blw_IrvineFinch to BlwOrd,394.66 to 361.72,39.73146,-121.97483,39.56548,-122.0018,2017-12-21_BattleCk_CNFH_Rel,2017-12-21,111,79,1,8,BattleCk_CNFH_Rel
ButteBr,BlwOrd,0.994,0.002,0.988,0.997,361.72,344.1,Lower Sac R,BlwOrd to ButteBr,361.72 to 344.1,39.56548,-122.0018,39.4569,-121.995,2017-12-21_BattleCk_CNFH_Rel,2017-12-21,79,60,1,9,BattleCk_CNFH_Rel
Colusa AC3,ButteBr,0.993,0.003,0.984,0.997,344.1,331.15,Lower Sac R,ButteBr to Colusa AC3,344.1 to 331.15,39.4569,-121.995,39.359877499999996,-122.01365999999999,2017-12-21_BattleCk_CNFH_Rel,2017-12-21,60,62,1,10,BattleCk_CNFH_Rel
Colusa AC2,Colusa AC3,0.998,0.002,0.989,0.999,331.15,318.61,Lower Sac R,Colusa AC3 to Colusa AC2,331.15 to 318.61,39.359877499999996,-122.01365999999999,39.28007,-122.01891,2017-12-21_BattleCk_CNFH_Rel,2017-12-21,62,62,1,11,BattleCk_CNFH_Rel
Colusa BC2,Colusa AC2,0.997,0.001,0.992,0.999,318.61,296.27,Lower Sac R,Colusa AC2 to Colusa BC2,318.61 to 296.27,39.28007,-122.01891,39.184963,-121.943214,2017-12-21_BattleCk_CNFH_Rel,2017-12-21,62,57,1,12,BattleCk_CNFH_Rel
Colusa BC4,Colusa BC2,0.995,0.002,0.987,0.998,296.27,280.4,Lower Sac R,Colusa BC2 to Colusa BC4,296.27 to 280.4,39.184963,-121.943214,39.09362,-121.89405,2017-12-21_BattleCk_CNFH_Rel,2017-12-21,57,54,1,13,BattleCk_CNFH_Rel
AbvTisdale,Colusa BC4,0.997,0.002,0.986,0.999,280.4,269.23,Lower Sac R,Colusa BC4 to AbvTisdale,280.4 to 269.23,39.09362,-121.89405,39.0364,-121.82918,2017-12-21_BattleCk_CNFH_Rel,2017-12-21,54,55,1,14,BattleCk_CNFH_Rel
BlwTisdale,AbvTisdale,0.994,0.004,0.974,0.999,269.23,261.4,Lower Sac R,AbvTisdale to BlwTisdale,269.23 to 261.4,39.0364,-121.82918,38.98941,-121.80463,2017-12-21_BattleCk_CNFH_Rel,2017-12-21,55,44,1,15,BattleCk_CNFH_Rel
Knights_RST,BlwTisdale,0.997,0.001,0.993,0.999,261.4,222.05,Lower Sac R,BlwTisdale to Knights_RST,261.4 to 222.05,38.98941,-121.80463,38.79248,-121.69087,2017-12-21_BattleCk_CNFH_Rel,2017-12-21,44,48,1,16,BattleCk_CNFH_Rel
Abv_FremontWeir,Knights_RST,1,0,1,1,222.05,215.18,Lower Sac R,Knights_RST to Abv_FremontWeir,222.05 to 215.18,38.79248,-121.69087,38.76009,-121.67145,2017-12-21_BattleCk_CNFH_Rel,2017-12-21,48,45,1,17,BattleCk_CNFH_Rel
Blw_Elkhorn_GS1,Abv_FremontWeir,0.999,0.001,0.988,1,215.18,191.92,Lower Sac R,Abv_FremontWeir to Blw_Elkhorn_GS1,215.18 to 191.92,38.76009,-121.67145,38.647935000000004,-121.578205,2017-12-21_BattleCk_CNFH_Rel,2017-12-21,45,37,1,18,BattleCk_CNFH_Rel
