estimate,se,lcl,ucl,reach_start,reach_end,rkm_start,rkm_end,Region,Reach,RKM,count_at_start,count_at_end,GenLat_start,GenLon_start,GenLat_end,GenLon_end,release,group,reach_num,mean_rel_date,release_site
1,0,1,1,BattleCk_CNFH_Rel,BattleCk250BlwFL,517.344,517.264,Battle Ck,BattleCk_CNFH_Rel to BattleCk250BlwFL,517.344 to 517.264,603,574,40.398155,-122.14556,40.39818,-122.14665,2019-12-05_BattleCk_CNFH_Rel,1,1,2019-12-05,BattleCk_CNFH_Rel
0.984,0.003,0.978,0.989,BattleCk250BlwFL,Blw_Paynes_Ck,517.264,476.278,Upper Sac R,BattleCk250BlwFL to Blw_Paynes_Ck,517.264 to 476.278,574,556,40.39818,-122.14665,40.25534,-122.17332,2019-12-05_BattleCk_CNFH_Rel,1,2,2019-12-05,BattleCk_CNFH_Rel
1,0,1,1,Blw_Paynes_Ck,RB_Elks,476.278,464.5,Upper Sac R,Blw_Paynes_Ck to RB_Elks,476.278 to 464.5,556,484,40.25534,-122.17332,40.17122,-122.22523,2019-12-05_BattleCk_CNFH_Rel,1,3,2019-12-05,BattleCk_CNFH_Rel
0.994,0.002,0.988,0.997,RB_Elks,Abv_WoodsonBr,464.5,425.158,Upper Sac R,RB_Elks to Abv_WoodsonBr,464.5 to 425.158,484,440,40.17122,-122.22523,39.920094,-122.08446000000001,2019-12-05_BattleCk_CNFH_Rel,1,4,2019-12-05,BattleCk_CNFH_Rel
0.978,0.005,0.966,0.986,Abv_WoodsonBr,GCID,425.158,405.273,Upper Sac R,Abv_WoodsonBr to GCID,425.158 to 405.273,440,525,39.920094,-122.08446000000001,39.798953499999996,-122.04724300000001,2019-12-05_BattleCk_CNFH_Rel,1,5,2019-12-05,BattleCk_CNFH_Rel
0.981,0.008,0.956,0.992,GCID,Blw_IrvineFinch,405.273,394.668,Upper Sac R,GCID to Blw_IrvineFinch,405.273 to 394.668,525,441,39.798953499999996,-122.04724300000001,39.73146,-121.97483,2019-12-05_BattleCk_CNFH_Rel,1,6,2019-12-05,BattleCk_CNFH_Rel
0.966,0.005,0.955,0.974,Blw_IrvineFinch,BlwOrd,394.668,361.728,Upper Sac R,Blw_IrvineFinch to BlwOrd,394.668 to 361.728,441,458,39.73146,-121.97483,39.56548,-122.0018,2019-12-05_BattleCk_CNFH_Rel,1,7,2019-12-05,BattleCk_CNFH_Rel
0.982,0.005,0.97,0.99,BlwOrd,ButteBr,361.728,344.108,Lower Sac R,BlwOrd to ButteBr,361.728 to 344.108,458,406,39.56548,-122.0018,39.4569,-121.995,2019-12-05_BattleCk_CNFH_Rel,1,8,2019-12-05,BattleCk_CNFH_Rel
0.987,0.006,0.968,0.995,ButteBr,Colusa AC3,344.108,331.158,Lower Sac R,ButteBr to Colusa AC3,344.108 to 331.158,406,324,39.4569,-121.995,39.36038,-122.01373,2019-12-05_BattleCk_CNFH_Rel,1,9,2019-12-05,BattleCk_CNFH_Rel
0.983,0.006,0.964,0.992,Colusa AC3,Colusa AC2,331.158,318.618,Lower Sac R,Colusa AC3 to Colusa AC2,331.158 to 318.618,324,427,39.36038,-122.01373,39.28007,-122.01891,2019-12-05_BattleCk_CNFH_Rel,1,10,2019-12-05,BattleCk_CNFH_Rel
0.995,0.004,0.977,0.999,Colusa AC2,AbvColusaBr,318.618,307.738,Lower Sac R,Colusa AC2 to AbvColusaBr,318.618 to 307.738,427,336,39.28007,-122.01891,39.2205,-122.00847,2019-12-05_BattleCk_CNFH_Rel,1,11,2019-12-05,BattleCk_CNFH_Rel
0.992,0.004,0.976,0.997,AbvColusaBr,Colusa BC2,307.738,296.278,Lower Sac R,AbvColusaBr to Colusa BC2,307.738 to 296.278,336,424,39.2205,-122.00847,39.184963,-121.943214,2019-12-05_BattleCk_CNFH_Rel,1,12,2019-12-05,BattleCk_CNFH_Rel
0.997,0.003,0.981,1,Colusa BC2,Colusa BC3,296.278,287.208,Lower Sac R,Colusa BC2 to Colusa BC3,296.278 to 287.208,424,422,39.184963,-121.943214,39.13132,-121.936554,2019-12-05_BattleCk_CNFH_Rel,1,13,2019-12-05,BattleCk_CNFH_Rel
0.984,0.005,0.972,0.991,Colusa BC3,AbvTisdale,287.208,269.238,Lower Sac R,Colusa BC3 to AbvTisdale,287.208 to 269.238,422,411,39.13132,-121.936554,39.0364,-121.82918,2019-12-05_BattleCk_CNFH_Rel,1,14,2019-12-05,BattleCk_CNFH_Rel
0.991,0.005,0.971,0.997,AbvTisdale,BlwTisdale,269.238,261.408,Lower Sac R,AbvTisdale to BlwTisdale,269.238 to 261.408,411,400,39.0364,-121.82918,38.98941,-121.80463,2019-12-05_BattleCk_CNFH_Rel,1,15,2019-12-05,BattleCk_CNFH_Rel
0.992,0.003,0.982,0.996,BlwTisdale,BlwChinaBend,261.408,240.618,Lower Sac R,BlwTisdale to BlwChinaBend,261.408 to 240.618,400,400,38.98941,-121.80463,38.88406,-121.81713,2019-12-05_BattleCk_CNFH_Rel,1,16,2019-12-05,BattleCk_CNFH_Rel
