estimate,se,lcl,ucl,StudyID,reach_start,reach_end,rkm_start,rkm_end,Region,Reach,RKM,count_at_start,count_at_end,GenLat_start,GenLon_start,GenLat_end,GenLon_end
0.8571277,0.0314679,0.78380590000000006,0.9084859,ColemanLateFall_2021,BattleCk_CNFH_Rel,BattleCk2,517.344,515.334,Battle Ck,"BattleCk_CNFH_Rel to 
BattleCk2",517.344 to 515.334,601,564,40.398155,-122.14556,40.3954,-122.16553
0.9111591,0.01896,0.8663184,0.9419665,ColemanLateFall_2021,BattleCk2,BattleCk3,515.334,511.454,Battle Ck,"BattleCk2 to 
BattleCk3",515.334 to 511.454,564,561,40.3954,-122.16553,40.38434,-122.17876
0.9912971,0.006311,0.9644821,0.9979114,ColemanLateFall_2021,BattleCk3,Battle_Conf,511.454,507.488,Battle Ck,"BattleCk3 to 
Battle_Conf",511.454 to 507.488,561,559,40.38434,-122.17876,40.35371,-122.17734
0.9825069,0.0031709,0.9750762,0.98775,ColemanLateFall_2021,Battle_Conf,Blw_Paynes_Ck,507.488,476.278,Upper Sac R,"Battle_Conf to 
Blw_Paynes_Ck",507.488 to 476.278,559,529,40.35371,-122.17734,40.25534,-122.17332
0.9736152,0.0055529,0.9602488,0.9825687,ColemanLateFall_2021,Blw_Paynes_Ck,Abv_Altube1,476.278,460.4,Upper Sac R,"Blw_Paynes_Ck to 
Abv_Altube1",476.278 to 460.4,529,507,40.25534,-122.17332,40.15348,-122.1887
0.9776862,0.0110315,0.9420721,0.9916,ColemanLateFall_2021,Abv_Altube1,Blw_Salt,460.4,456.888,Upper Sac R,"Abv_Altube1 to 
Blw_Salt",460.4 to 456.888,507,504,40.15348,-122.1887,40.1464,-122.15246
0.9553502,0.0052965,0.9437397,0.9646544,ColemanLateFall_2021,Blw_Salt,Abv_WoodsonBr,456.888,425.158,Upper Sac R,"Blw_Salt to 
Abv_WoodsonBr",456.888 to 425.158,504,436,40.1464,-122.15246,39.920094,-122.08446000000001
0.90956,0.0101751,0.887538,0.9276213,ColemanLateFall_2021,Abv_WoodsonBr,GCID_abv,425.158,406.118,Upper Sac R,"Abv_WoodsonBr to 
GCID_abv",425.158 to 406.118,436,364,39.920094,-122.08446000000001,39.806767,-122.05846
0.66791180000000006,0.0550361,0.5529074,0.765861,ColemanLateFall_2021,GCID_abv,GCID_blw,406.118,404.428,Upper Sac R,"GCID_abv to 
GCID_blw",406.118 to 404.428,364,340,39.806767,-122.05846,39.79114,-122.036026
0.9277402,0.0142069,0.8944587,0.9511004,ColemanLateFall_2021,GCID_blw,Blw_IrvineFinch,404.428,394.668,Upper Sac R,"GCID_blw to 
Blw_IrvineFinch",404.428 to 394.668,340,316,39.79114,-122.036026,39.73146,-121.97483
0.9340096,0.0094257,0.9129536,0.9502498,ColemanLateFall_2021,Blw_IrvineFinch,Ord,394.668,371.658,Upper Sac R,"Blw_IrvineFinch to 
Ord",394.668 to 371.658,316,269,39.73146,-121.97483,39.63447,-121.98959
0.9406926,0.0145371,0.9049237,0.9635469,ColemanLateFall_2021,Ord,BlwOrd,371.658,361.728,Upper Sac R,"Ord to 
BlwOrd",371.658 to 361.728,269,253,39.63447,-121.98959,39.56548,-122.0018
0.9244891,0.013057,0.8945767,0.9464226,ColemanLateFall_2021,BlwOrd,ButteBr,361.728,344.108,Upper Sac R,"BlwOrd to 
ButteBr",361.728 to 344.108,253,212,39.56548,-122.0018,39.4569,-121.995
0.8918303,0.0192455,0.8479427,0.9241834,ColemanLateFall_2021,ButteBr,Colusa AC3,344.108,331.158,Lower Sac R,"ButteBr to 
Colusa AC3",344.108 to 331.158,212,182,39.4569,-121.995,39.36038,-122.01373
0.9252481,0.0175619,0.882696,0.9531831,ColemanLateFall_2021,Colusa AC3,Colusa AC2,331.158,318.618,Lower Sac R,"Colusa AC3 to 
Colusa AC2",331.158 to 318.618,182,172,39.36038,-122.01373,39.28007,-122.01891
0.9090716,0.0211014,0.8583931,0.9428213,ColemanLateFall_2021,Colusa AC2,AbvColusaBr,318.618,307.738,Lower Sac R,"Colusa AC2 to 
AbvColusaBr",318.618 to 307.738,172,155,39.28007,-122.01891,39.2205,-122.00847
0.9548501,0.0156125,0.9122773,0.9772765,ColemanLateFall_2021,AbvColusaBr,Colusa BC2,307.738,296.278,Lower Sac R,"AbvColusaBr to 
Colusa BC2",307.738 to 296.278,155,147,39.2205,-122.00847,39.184963,-121.943214
0.9939687,0.0075631,0.9328956,0.9994884,ColemanLateFall_2021,Colusa BC2,Colusa BC3,296.278,287.208,Lower Sac R,"Colusa BC2 to 
Colusa BC3",296.278 to 287.208,147,145,39.184963,-121.943214,39.13132,-121.936554
0.9491209,0.013765,0.9143069,0.9702514,ColemanLateFall_2021,Colusa BC3,AbvTisdale,287.208,269.238,Lower Sac R,"Colusa BC3 to 
AbvTisdale",287.208 to 269.238,145,129,39.13132,-121.936554,39.0364,-121.82918
1,0,1,1,ColemanLateFall_2021,AbvTisdale,BlwTisdale,269.238,261.408,Lower Sac R,"AbvTisdale to 
BlwTisdale",269.238 to 261.408,129,129,39.0364,-121.82918,38.98941,-121.80463
